Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API,Selenium_Records,API_Records
ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,https://www.alfabeta.net/precio/abnoba-viscum-fraxini.html,selenium,no,no,0,0
ABRALUX,Valuge,https://www.alfabeta.net/precio/abralux.html,selenium,no,no,0,0
ABRAXANE,Bristol,https://www.alfabeta.net/precio/abraxane.html,selenium,no,no,0,0
ABRIKAT,Eczane,https://www.alfabeta.net/precio/abrikat.html,selenium,no,no,0,0
ABRILADA,Pfizer,https://www.alfabeta.net/precio/abrilada.html,selenium,no,no,0,0
ABRYSVO,Pfizer,https://www.alfabeta.net/precio/abrysvo.html,selenium,no,no,0,0
AC QUAXA,F & F Farma,https://www.alfabeta.net/precio/ac-quaxa.html,selenium,no,no,0,0
ACALASTATERA,Jayor,https://www.alfabeta.net/precio/acalastatera.html,selenium,no,no,0,0
ACALIX,Roemmers,https://www.alfabeta.net/precio/acalix.html,selenium,no,no,0,0
ACALIX AP,Roemmers,https://www.alfabeta.net/precio/acalix-ap.html,selenium,no,no,0,0
ACALIX CRONOS,Roemmers,https://www.alfabeta.net/precio/acalix-cronos.html,selenium,no,no,0,0
ACANTEX,Siegfried,https://www.alfabeta.net/precio/acantex.html,selenium,no,no,0,0
ACCELON,Olbia Pharma,https://www.alfabeta.net/precio/accelon.html,selenium,no,no,0,0
ACCESORIOS PARA FISTULAS,Coloplast,https://www.alfabeta.net/precio/accesorios-para-fistulas.html,selenium,no,no,0,0
ACCU-CHEK ACTIVE GLUCOSA,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-active-glucosa.html,selenium,no,no,0,0
ACCU-CHEK ACTIVE KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-active-kit.html,selenium,no,no,0,0
ACCU-CHEK FASTCLIX,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix.html,selenium,no,no,0,0
ACCU-CHEK FASTCLIX KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix-kit.html,selenium,no,no,0,0
ACCU-CHEK FASTCLIX KIT NP,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix-kit-np.html,selenium,no,no,0,0
ACCU-CHEK GUIDE,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide.html,selenium,no,no,0,0
ACCU-CHEK GUIDE CONTROL,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide-control.html,selenium,no,no,0,0
ACCU-CHEK GUIDE KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide-kit.html,selenium,no,no,0,0
ACCU-CHEK PERFORMA 25,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-25.html,selenium,no,no,0,0
ACCU-CHEK PERFORMA 50,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-50.html,selenium,no,no,0,0
ACCU-CHEK PERFORMA CONTROL,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-control.html,selenium,no,no,0,0
ACCU-CHEK SOFTCLIX NEW,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-softclix-new.html,selenium,no,no,0,0
ACCU-CHEK SOFTCLIX PUNZADOR,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-softclix-punzador.html,selenium,no,no,0,0
ACEITE DE ALMENDRAS EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-almendras-ewe.html,selenium,no,no,0,0
ACEITE DE ALMENDRAS EWE CON GOTERO,Sanitas,https://www.alfabeta.net/precio/aceite-de-almendras-ewe-con-gotero.html,selenium,no,no,0,0
ACEITE DE ARGAN EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-argan-ewe.html,selenium,no,no,0,0
ACEITE DE CHIA CORMILLOT,Sidus,https://www.alfabeta.net/precio/aceite-de-chia-cormillot.html,selenium,no,no,0,0
ACEITE DE COCO NEUTRO,San Ceferino,https://www.alfabeta.net/precio/aceite-de-coco-neutro.html,selenium,no,no,0,0
ACEITE DE JOJOBA EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-jojoba-ewe.html,selenium,no,no,0,0
ACEITE DE KRILL,Innovapharma,https://www.alfabeta.net/precio/aceite-de-krill.html,selenium,no,no,0,0
ACEITE DE LAVANDA EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-lavanda-ewe.html,selenium,no,no,0,0
ACEITE DE LORENZO,AMN,https://www.alfabeta.net/precio/aceite-de-lorenzo.html,selenium,no,no,0,0
ACEITE DE OREGANO,Provefarma,https://www.alfabeta.net/precio/aceite-de-oregano.html,selenium,no,no,0,0
ACEITE DE PESCADO 1000,Provefarma,https://www.alfabeta.net/precio/aceite-de-pescado-1000.html,selenium,no,no,0,0
ACEITE DE PESCADO GARDEN HOUSE,Garden House Argentina,https://www.alfabeta.net/precio/aceite-de-pescado-garden-house.html,selenium,no,no,0,0
ACEITE DE PESCADO OMEGANAT,Provefarma,https://www.alfabeta.net/precio/aceite-de-pescado-omeganat.html,selenium,no,no,0,0
ACEITE DE RICINO EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-ricino-ewe.html,selenium,no,no,0,0
ACEITE DE TEA TREE OIL EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-tea-tree-oil-ewe.html,selenium,no,no,0,0
ACEITE ESMERALDA MOONE,Laboratorio Dicofar,https://www.alfabeta.net/precio/aceite-esmeralda-moone.html,selenium,no,no,0,0
ACEMUK,Siegfried,https://www.alfabeta.net/precio/acemuk.html,selenium,no,no,0,0
ACEMUK BIOTIC,Siegfried,https://www.alfabeta.net/precio/acemuk-biotic.html,selenium,no,no,0,0
ACEMUK BIOTIC DUO,Siegfried,https://www.alfabeta.net/precio/acemuk-biotic-duo.html,selenium,no,no,0,0
ACEMUK DIA Y NOCHE,Siegfried,https://www.alfabeta.net/precio/acemuk-dia-y-noche.html,selenium,no,no,0,0
ACEMUK GRIP,Siegfried,https://www.alfabeta.net/precio/acemuk-grip.html,selenium,no,no,0,0
ACEMUK JARABE,Siegfried,https://www.alfabeta.net/precio/acemuk-jarabe.html,selenium,no,no,0,0
ACEMUK L,Siegfried,https://www.alfabeta.net/precio/acemuk-l.html,selenium,no,no,0,0
ACENOCOUMAROL ROSPAW,Rospaw,https://www.alfabeta.net/precio/acenocoumarol-rospaw.html,selenium,no,no,0,0
ACERPES,Siegfried,https://www.alfabeta.net/precio/acerpes.html,selenium,no,no,0,0
ACETA,Novoplos,https://www.alfabeta.net/precio/aceta.html,selenium,no,no,0,0
ACETILCISTEINA TEVA,Teva Argentina,https://www.alfabeta.net/precio/acetilcisteina-teva.html,selenium,no,no,0,0
ACI-TIP,Siegfried,https://www.alfabeta.net/precio/aci-tip.html,selenium,no,no,0,0
ACICLOVIR GEMEPE,Gemepe,https://www.alfabeta.net/precio/aciclovir-gemepe.html,selenium,no,no,0,0
ACICLOVIR PHARMAVIAL 500,IBC,https://www.alfabeta.net/precio/aciclovir-pharmavial-500.html,selenium,no,no,0,0
ACIDO AMINOCAPROICO DRAWER,Drawer,https://www.alfabeta.net/precio/acido-aminocaproico-drawer.html,selenium,no,no,0,0
ACIDO FOLICO,A.M. Farma Activ,https://www.alfabeta.net/precio/acido-folico.html,selenium,no,no,0,0
ACIDO FOLICO RICHMOND,Richmond,https://www.alfabeta.net/precio/acido-folico-richmond.html,selenium,no,no,0,0
ACIDO FOLICO VANNIER,Vannier,https://www.alfabeta.net/precio/acido-folico-vannier.html,selenium,no,no,0,0
ACIDO HIALURONICO,Provefarma,https://www.alfabeta.net/precio/acido-hialuronico.html,selenium,no,no,0,0
ACIDO HIALURONICO VITAMIN WAY,Pharmamerican S.R.L.,https://www.alfabeta.net/precio/acido-hialuronico-vitamin-way.html,selenium,no,no,0,0
ACIDO ZOLEDRONICO IMA,IMA,https://www.alfabeta.net/precio/acido-zoledronico-ima.html,selenium,no,no,0,0
ACIDO ZOLEDRONICO MICROSULES,Microsules Arg.,https://www.alfabeta.net/precio/acido-zoledronico-microsules.html,selenium,no,no,0,0
ACIDO ZOLEDRONICO RICHET,Richet,https://www.alfabeta.net/precio/acido-zoledronico-richet.html,selenium,no,no,0,0
ACIFOL,Domínguez,https://www.alfabeta.net/precio/acifol.html,selenium,no,no,0,0
ACIFOL 10,Domínguez,https://www.alfabeta.net/precio/acifol-10.html,selenium,no,no,0,0
ACIFOL 5,Domínguez,https://www.alfabeta.net/precio/acifol-5.html,selenium,no,no,0,0
ACIFOL B12,Domínguez,https://www.alfabeta.net/precio/acifol-b12.html,selenium,no,no,0,0
ACIFOL FE,Domínguez,https://www.alfabeta.net/precio/acifol-fe.html,selenium,no,no,0,0
ACIFOL GOTAS,Domínguez,https://www.alfabeta.net/precio/acifol-gotas.html,selenium,no,no,0,0
ACIFUSIN,Andrómaco,https://www.alfabeta.net/precio/acifusin.html,selenium,no,no,0,0
ACIFUSIN B,Andrómaco,https://www.alfabeta.net/precio/acifusin-b.html,selenium,no,no,0,0
ACILAC OMEGA 3-6,Novoplos,https://www.alfabeta.net/precio/acilac-omega-3-6.html,selenium,no,no,0,0
ACIMED,Lepetit,https://www.alfabeta.net/precio/acimed.html,selenium,no,no,0,0
ACIMED,Medisol,https://www.alfabeta.net/precio/acimed.html,selenium,no,no,0,0
ACIMED F,Sanitas,https://www.alfabeta.net/precio/acimed-f.html,selenium,no,no,0,0
ACIMED L,Lepetit,https://www.alfabeta.net/precio/acimed-l.html,selenium,no,no,0,0
ACIPOUN ORAL,Medipharma,https://www.alfabeta.net/precio/acipoun-oral.html,selenium,no,no,0,0
ACIVAL,Géminis Farmacéutica,https://www.alfabeta.net/precio/acival.html,selenium,no,no,0,0
ACLASTA,Biosidus S.A.U.,https://www.alfabeta.net/precio/aclasta.html,selenium,no,no,0,0
ACLER,Pharmatrix,https://www.alfabeta.net/precio/acler.html,selenium,no,no,0,0
ACLOSAN,Eurofarma,https://www.alfabeta.net/precio/aclosan.html,selenium,no,no,0,0
ACLOXIGENAC,Eczane,https://www.alfabeta.net/precio/acloxigenac.html,selenium,no,no,0,0
ACLOXIGENAC LP,Eczane,https://www.alfabeta.net/precio/acloxigenac-lp.html,selenium,no,no,0,0
ACLOXIGENAC PLUS,Eczane,https://www.alfabeta.net/precio/acloxigenac-plus.html,selenium,no,no,0,0
ACLUSIN,Casasco,https://www.alfabeta.net/precio/aclusin.html,selenium,no,no,0,0
ACNECLIN,Siegfried,https://www.alfabeta.net/precio/acneclin.html,selenium,no,no,0,0
ACNECLIN 100 AP,Siegfried,https://www.alfabeta.net/precio/acneclin-100-ap.html,selenium,no,no,0,0
ACNECLIN PBA,Siegfried,https://www.alfabeta.net/precio/acneclin-pba.html,selenium,no,no,0,0
ACNEIQUE,Cepage,https://www.alfabeta.net/precio/acneique.html,selenium,no,no,0,0
ACNEIQUE EXFOLIANT,Cepage,https://www.alfabeta.net/precio/acneique-exfoliant.html,selenium,no,no,0,0
ACNEIQUE GEL,Cepage,https://www.alfabeta.net/precio/acneique-gel.html,selenium,no,no,0,0
ACNEIQUE H2O,Cepage,https://www.alfabeta.net/precio/acneique-h2o.html,selenium,no,no,0,0
ACNEIQUE MAT,Cepage,https://www.alfabeta.net/precio/acneique-mat.html,selenium,no,no,0,0
ACNEIQUE SERUM,Cepage,https://www.alfabeta.net/precio/acneique-serum.html,selenium,no,no,0,0
ACNESAN,Fortbenton,https://www.alfabeta.net/precio/acnesan.html,selenium,no,no,0,0
ACNESAN DRY STICK,Fortbenton,https://www.alfabeta.net/precio/acnesan-dry-stick.html,selenium,no,no,0,0
ACNETROL,Lagos,https://www.alfabeta.net/precio/acnetrol.html,selenium,no,no,0,0
ACNOXIN,Andrómaco,https://www.alfabeta.net/precio/acnoxin.html,selenium,no,no,0,0
ACPAN,Gray,https://www.alfabeta.net/precio/acpan.html,selenium,no,no,0,0
ACROSS BAP,Novarum Pharma,https://www.alfabeta.net/precio/across-bap.html,selenium,no,no,0,0
ACROSS BID,Novarum Pharma,https://www.alfabeta.net/precio/across-bid.html,selenium,no,no,0,0
ACROSS BIDC,Novarum Pharma,https://www.alfabeta.net/precio/across-bidc.html,selenium,no,no,0,0
ACROSS ENERGY,Novarum Pharma,https://www.alfabeta.net/precio/across-energy.html,selenium,no,no,0,0
ACROSS GEL DEPORTIVO,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo.html,selenium,no,no,0,0
ACROSS GEL DEPORTIVO C/CAFEINA,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo-ccafeina.html,selenium,no,no,0,0
ACROSS LEUCINE,Novarum Pharma,https://www.alfabeta.net/precio/across-leucine.html,selenium,no,no,0,0
ACROSS SABA,Novarum Pharma,https://www.alfabeta.net/precio/across-saba.html,selenium,no,no,0,0
ACROSS SM,Novarum Pharma,https://www.alfabeta.net/precio/across-sm.html,selenium,no,no,0,0
ACROSS SMC,Novarum Pharma,https://www.alfabeta.net/precio/across-smc.html,selenium,no,no,0,0
ACROSS SP,Novarum Pharma,https://www.alfabeta.net/precio/across-sp.html,selenium,no,no,0,0
ACROSS SPBAC,Novarum Pharma,https://www.alfabeta.net/precio/across-spbac.html,selenium,no,no,0,0
ACROSS SPC,Novarum Pharma,https://www.alfabeta.net/precio/across-spc.html,selenium,no,no,0,0
ACROSS SR,Novarum Pharma,https://www.alfabeta.net/precio/across-sr.html,selenium,no,no,0,0
ACROSS SRC,Novarum Pharma,https://www.alfabeta.net/precio/across-src.html,selenium,no,no,0,0
ACRYLARM,Poen,https://www.alfabeta.net/precio/acrylarm.html,selenium,no,no,0,0
ACRYLARM PLUS,Poen,https://www.alfabeta.net/precio/acrylarm-plus.html,selenium,no,no,0,0
ACTEMIN,Lazar,https://www.alfabeta.net/precio/actemin.html,selenium,no,no,0,0
ACTEMRA,Roche,https://www.alfabeta.net/precio/actemra.html,selenium,no,no,0,0
ACTEMRA SC,Roche,https://www.alfabeta.net/precio/actemra-sc.html,selenium,no,no,0,0
ACTIFEDRIN NASAL,Siegfried,https://www.alfabeta.net/precio/actifedrin-nasal.html,selenium,no,no,0,0
ACTILUZOL,Bioprofarma Bagó,https://www.alfabeta.net/precio/actiluzol.html,selenium,no,no,0,0
ACTILYSE,Boehringer Ingelheim,https://www.alfabeta.net/precio/actilyse.html,selenium,no,no,0,0
ACTIMAX,Siegfried,https://www.alfabeta.net/precio/actimax.html,selenium,no,no,0,0
ACTIMIB,Filaxis Farmacéutica,https://www.alfabeta.net/precio/actimib.html,selenium,no,no,0,0
ACTINERVAL,Bagó,https://www.alfabeta.net/precio/actinerval.html,selenium,no,no,0,0
ACTIRELAX,Northia,https://www.alfabeta.net/precio/actirelax.html,selenium,no,no,0,0
ACTIRELAX NORTHIA,Northia,https://www.alfabeta.net/precio/actirelax-northia.html,selenium,no,no,0,0
ACTISON,Eurofarma,https://www.alfabeta.net/precio/actison.html,selenium,no,no,0,0
ACTIUM,Monserrat,https://www.alfabeta.net/precio/actium.html,selenium,no,no,0,0
ACTIVAMENT 5HTP,Framingham Pharma,https://www.alfabeta.net/precio/activament-5htp.html,selenium,no,no,0,0
ACTIVIL,Casasco,https://www.alfabeta.net/precio/activil.html,selenium,no,no,0,0
ACTIVIL MASTICABLE,Casasco,https://www.alfabeta.net/precio/activil-masticable.html,selenium,no,no,0,0
ACTOBIAN,Savant Generic,https://www.alfabeta.net/precio/actobian.html,selenium,no,no,0,0
ACTRON,Bayer Consumer,https://www.alfabeta.net/precio/actron.html,selenium,no,no,0,0
ACTRON 400 RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-400-rapida-accion-nf.html,selenium,no,no,0,0
ACTRON 600 RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion.html,selenium,no,no,0,0
ACTRON 600 RAPIDA ACCION NUEVA FORMULA,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion-nueva-formula.html,selenium,no,no,0,0
ACTRON FLEX,Bayer Consumer,https://www.alfabeta.net/precio/actron-flex.html,selenium,no,no,0,0
ACTRON GEL,Bayer Consumer,https://www.alfabeta.net/precio/actron-gel.html,selenium,no,no,0,0
ACTRON MIGRA,Bayer Consumer,https://www.alfabeta.net/precio/actron-migra.html,selenium,no,no,0,0
ACTRON MUJER RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-mujer-rapida-accion.html,selenium,no,no,0,0
ACTRON PEDIATRICO,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico.html,selenium,no,no,0,0
ACTRON PEDIATRICO 4%,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico-4.html,selenium,no,no,0,0
ACTRON PLUS,Bayer Consumer,https://www.alfabeta.net/precio/actron-plus.html,selenium,no,no,0,0
ACTRON RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-rapida-accion-nf.html,selenium,no,no,0,0
ACULAR,Abbvie,https://www.alfabeta.net/precio/acular.html,selenium,no,no,0,0
ACULAR LS,Abbvie,https://www.alfabeta.net/precio/acular-ls.html,selenium,no,no,0,0
ACUS,Roemmers,https://www.alfabeta.net/precio/acus.html,selenium,no,no,0,0
ADACEL,Sanofi Health Argentina S.A.,https://www.alfabeta.net/precio/adacel.html,selenium,no,no,0,0
ADAPNE,Oxapharma,https://www.alfabeta.net/precio/adapne.html,selenium,no,no,0,0
ADAPNE DUO,Oxapharma,https://www.alfabeta.net/precio/adapne-duo.html,selenium,no,no,0,0
ADAPNE DUO FORTE,Oxapharma,https://www.alfabeta.net/precio/adapne-duo-forte.html,selenium,no,no,0,0
ADCETRIS,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adcetris.html,selenium,no,no,0,0
ADDENTA,Richmond,https://www.alfabeta.net/precio/addenta.html,selenium,no,no,0,0
ADECONCE,Lafedar,https://www.alfabeta.net/precio/adeconce.html,selenium,no,no,0,0
ADEENE DRAWER,Drawer,https://www.alfabeta.net/precio/adeene-drawer.html,selenium,no,no,0,0
ADELGAFRUTA BATIDO SACIANTE,Pharmamerican S.R.L.,https://www.alfabeta.net/precio/adelgafruta-batido-saciante.html,selenium,no,no,0,0
ADELGAR SILUETA A.M.,A.M. Farma Activ,https://www.alfabeta.net/precio/adelgar-silueta-am.html,selenium,no,no,0,0
ADELGAZA-T,San Ceferino,https://www.alfabeta.net/precio/adelgaza-t.html,selenium,no,no,0,0
ADEMPAS,Bayer (PH),https://www.alfabeta.net/precio/adempas.html,selenium,no,no,0,0
ADENIL,Austral,https://www.alfabeta.net/precio/adenil.html,selenium,no,no,0,0
ADENOSINA BIOL,Biol,https://www.alfabeta.net/precio/adenosina-biol.html,selenium,no,no,0,0
ADENOSINA GEMEPE,Gemepe,https://www.alfabeta.net/precio/adenosina-gemepe.html,selenium,no,no,0,0
ADENOSINA GOBBI,Gobbi,https://www.alfabeta.net/precio/adenosina-gobbi.html,selenium,no,no,0,0
ADERMICINA,Elea,https://www.alfabeta.net/precio/adermicina.html,selenium,no,no,0,0
ADERMICINA A,Elea,https://www.alfabeta.net/precio/adermicina-a.html,selenium,no,no,0,0
ADERMICINA A 2X1,Elea,https://www.alfabeta.net/precio/adermicina-a-2x1.html,selenium,no,no,0,0
ADERMICINA AE,Elea,https://www.alfabeta.net/precio/adermicina-ae.html,selenium,no,no,0,0
ADERMICINA ANTI ACNE,Elea,https://www.alfabeta.net/precio/adermicina-anti-acne.html,selenium,no,no,0,0
ADERMICINA CUIDADO FACIAL,Elea,https://www.alfabeta.net/precio/adermicina-cuidado-facial.html,selenium,no,no,0,0
ADERMICINA JABON,Elea,https://www.alfabeta.net/precio/adermicina-jabon.html,selenium,no,no,0,0
ADERMITRIN,Laboratorio Merlino,https://www.alfabeta.net/precio/adermitrin.html,selenium,no,no,0,0
ADEROGYL,Laboratorio Millet,https://www.alfabeta.net/precio/aderogyl.html,selenium,no,no,0,0
ADESIAL,Savant Generic,https://www.alfabeta.net/precio/adesial.html,selenium,no,no,0,0
ADEVIT,Química Luar,https://www.alfabeta.net/precio/adevit.html,selenium,no,no,0,0
ADHESOL BIOL,Biol,https://www.alfabeta.net/precio/adhesol-biol.html,selenium,no,no,0,0
ADIKAN,Rossmore Pharma,https://www.alfabeta.net/precio/adikan.html,selenium,no,no,0,0
ADITIVOS PARENTERALES,Rivero,https://www.alfabeta.net/precio/aditivos-parenterales.html,selenium,no,no,0,0
ADIUVAN,Lazar,https://www.alfabeta.net/precio/adiuvan.html,selenium,no,no,0,0
ADIUVAN MET,Lazar,https://www.alfabeta.net/precio/adiuvan-met.html,selenium,no,no,0,0
ADRENALINA BIOL,Biol,https://www.alfabeta.net/precio/adrenalina-biol.html,selenium,no,no,0,0
ADRENALINA BIOQUIM,Duncan,https://www.alfabeta.net/precio/adrenalina-bioquim.html,selenium,no,no,0,0
ADRENALINA DRAWER,Drawer,https://www.alfabeta.net/precio/adrenalina-drawer.html,selenium,no,no,0,0
ADRENALINA LARJAN,Veinfar,https://www.alfabeta.net/precio/adrenalina-larjan.html,selenium,no,no,0,0
ADRENOL,Fabra,https://www.alfabeta.net/precio/adrenol.html,selenium,no,no,0,0
ADRENOL FORTE,Fabra,https://www.alfabeta.net/precio/adrenol-forte.html,selenium,no,no,0,0
ADROMUX,Ariston,https://www.alfabeta.net/precio/adromux.html,selenium,no,no,0,0
ADVATE,Takeda Argentina S.A.,https://www.alfabeta.net/precio/advate.html,selenium,no,no,0,0
ADYARD,Microsules Arg.,https://www.alfabeta.net/precio/adyard.html,selenium,no,no,0,0
ADYNOVATE 1000 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-1000-baxject-iii.html,selenium,no,no,0,0
ADYNOVATE 1500 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-1500-baxject-iii.html,selenium,no,no,0,0
ADYNOVATE 3000 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-3000-baxject-iii.html,selenium,no,no,0,0
ADYNOVATE 500 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-500-baxject-iii.html,selenium,no,no,0,0
AERIUS,Organon Arg.,https://www.alfabeta.net/precio/aerius.html,selenium,no,no,0,0
AEROCAMARA AEROCHAMBER,Silfab,https://www.alfabeta.net/precio/aerocamara-aerochamber.html,selenium,no,no,0,0
AEROCAMARA AEROSPACER ADULTO,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-adulto.html,selenium,no,no,0,0
AEROCAMARA AEROSPACER INFANTIL,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-infantil.html,selenium,no,no,0,0
AEROCAMARA AEROSPACER JUVENIL,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-juvenil.html,selenium,no,no,0,0
