PCID,Country,Product Group,Generic Name,Start Date,End Date,Currency,Ex-Factory Wholesale Price,Local Pack Description,LOCAL_PACK_CODE
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - cardboard boxes",4602824015923
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,34.24,"solution for intravenous and intramuscular administration 100 mg/ml, 5 ml - ampoules (10) /complete with an ampoule knife or scarifier, if necessary for this type of ampoules/ - cardboard packs",4602824015923
,Russia,Novocaine,Procaine,12.01.2026,,RUB,9.53,"2% injection solution (in RU - 20 mg/ml), 2 ml - ampoules (10) /complete with an ampoule knife or scarifier, if necessary for this type of ampoules/ - cardboard packs",4602824001292
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,29.68,"powder for the preparation of a solution for intravenous and intramuscular administration, 1 g, vials - cardboard packs",4660007810314
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,742.00,powder for solution for intravenous and intramuscular administration 1 g - vials (25) - cardboard boxes (hospital packaging),4660007810338
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,742.00,"Powder for solution for intravenous and intramuscular administration, 1 g, 25 pcs. - vials (1) - cardboard box (for hospitals)",4660007810338
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,742.00,"powder for solution for intravenous and intramuscular administration, 0.5 g, - vials (50) - cardboard boxes (for hospitals)",4660007812189
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,1484.00,"powder for the preparation of solution for intravenous and intramuscular administration, 1 g, - vials (50) - cardboard boxes (for hospitals)",4660007812196
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard pack",4602824023713
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - cardboard boxes",4602824015923
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard pack",4602824023713
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,742.00,"powder for the preparation of solution for intravenous and intramuscular administration, 1 g, - vials (25) - cardboard box (for hospitals)",4660007810338
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,742.00,"powder for solution for intravenous and intramuscular administration, 0.5 g, - vials (50) - cardboard boxes (for hospitals)",4660007812189
,Russia,Ceftriaxone,Ceftriaxone,12.01.2026,,RUB,1484.00,"powder for the preparation of solution for intravenous and intramuscular administration, 1 g, - vials (50) - cardboard boxes (for hospitals)",4660007812196
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard boxes",4602824015923
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard boxes",4602824015923
,Russia,Calcium gluconate,Calcium gluconate,12.01.2026,,RUB,36.43,"solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard packs",4602824023713
,Russia,Spazmonet,Drotaverine,29.12.2025,,RUB,120.06,"tablets, 40 mg, 10 pcs. - blister packs (10) - cardboard packs",4607055132135
,Russia,Spazmonet,Drotaverine,29.12.2025,,RUB,50.75,"tablets, 40 mg, 2 pcs. - blister packs (10) - cardboard packs",4607055132128
,Russia,Spazmonet,Drotaverine,29.12.2025,,RUB,120.06,"tablets, 40 mg, 10 pcs. - blister packs (10) - cardboard packs",4607055132135
,Russia,Spazmonet,Drotaverine,29.12.2025,,RUB,50.75,"tablets, 40 mg, 10 pcs. - blister packs (2) - cardboard packs",4607055132128
,Russia,Spazmonet®,Drotaverine,29.12.2025,,RUB,52.58,"tablets, 40 mg, 10 pcs. - blister packs (2) - cardboard packs",4607055132128
,Russia,Intelence,Etravirine,24.12.2025,,RUB,17486.84,"200 mg tablets, 60 pcs. - vials (1) - cardboard packs",4601808010282
,Russia,Intelence,Etravirine,24.12.2025,,RUB,17486.84,"tablets, 200 mg, 60 pcs. - vials (1) - cardboard packs",4601808010282
,Russia,Intelence,Etravirine,24.12.2025,,RUB,17486.84,"tablets, 100 mg, 120 pcs. - vials (1) - cardboard packs",4602243005628
,Russia,Intelence,Etravirine,24.12.2025,,RUB,7441.27,"tablets, 25 mg, 120 pcs. - vials (1) - cardboard packs",4602243005611
,Russia,Intelence,Etravirine,24.12.2025,,RUB,7024.12,"tablets, 25 mg, 120 pcs. - vials (1) - cardboard packs",4602243005611
,Russia,Intelence,Etravirine,24.12.2025,,RUB,17486.84,"tablets, 200 mg, 60 pcs. - vials (1) - cardboard packs",4602243006168
,Russia,Intelence®,Etravirine,24.12.2025,,RUB,17486.84,"tablets, 100 mg, 120 pcs. - vials (1) - cardboard packs",4602243006267
,Russia,Intelence®,Etravirine,24.12.2025,,RUB,7024.12,"tablets, 25 mg, 120 pcs. - vials (1) - cardboard packs",4602243006274
,Russia,Intelence,Etravirine,24.12.2025,,RUB,6265.46,"tablets, 25 mg, 120 pcs. - vials (1) - cardboard packs",4602243005611
,Russia,Intelence®,Etravirine,24.12.2025,,RUB,6265.46,"tablets, 25 mg, 120 pcs. - vials (1) - cardboard packs",4602243006274
,Russia,Calcium gluconate,Calcium gluconate,12.12.2025,,RUB,19.16,"tablets, 0.5 g, 10 pcs. - blister packs (2) - cardboard packs",4603182002181
,Russia,Betahistine Medisorb,Betahistine,12.12.2025,,RUB,197.40,"tablets, 16 mg, 14 pcs. - blister packs (2) - cardboard packs",4603182001429
,Russia,Betahistine Medisorb,Betahistine,12.12.2025,,RUB,232.40,"tablets, 24 mg, 14 pcs. - blister packs (2) - cardboard packs",4603182001450
,Russia,Sevoflurane Medisorb,Sevoflurane,12.12.2025,,RUB,6518.50,"liquid for inhalation, 250 ml - bottles (1) / complete with the Quik-Fil system/ / - cardboard packs (for hospitals)",4603182005458
,Russia,Calcium gluconate Medisorb,Calcium gluconate,12.12.2025,,RUB,19.16,"tablets, 0.5 g, 10 pcs. - blister packs (2) - cardboard packs",4603182007292
,Russia,Sevoflurane Medisorb,Sevoflurane,12.12.2025,,RUB,6518.50,"Liquid for inhalation, 250 ml - polymer bottles, closed with the Quik-Fil system (1) - cardboard packs",4603182005625
