Registration No,Product Name,Holder
MAL19870628AZ,DEXASONE TABLET 0.5MG,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL15095004N,N/A,N/A
MAL19900030AZ,AXCEL SALBUTAMOL-4 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20012730AZ,[TIMEOUT ERROR],
MAL05051063AZ,Metazine Tablet 20mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19940144AZ,DECAN TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19860850AZ,PK-MERZ TABLET 100MG,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD
MAL19872225AZ,AXCEL METRONIDAZOLE 400 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL11120003AZ,AXCEL AMLODIPINE-5MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20026044ARZ,Rexulti 1mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL21096009AZ,Moxifcin Film Coated Tablet 400mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06051310AZ,Melocam Tablet 7.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04030533X,Flavettes Vitamin C with Calcium Time Release 1000mg,Duopharma Marketing Sdn. Bhd.
MAL09072796AZ,ANPRO-ZOLPIDEM TABLETS 10 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06061696AZ,Ciprocep Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL19992139AZ,XANAPAM TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06021257X,Dofomin 500mg Tablet,IMEKS PHARMA SDN. BHD.
MAL19950145AZ,RIVOPAM TABLET 0.5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL21096008AZ,Coxeta FC tablets 120mg,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL11010029AZ,ASTHATOR 10MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19973001AZ,VIRLESS TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900629AZ,VASCOTEN 50MG TABLET,KOMEDIC SDN BHD
MAL20014203AZ,MOXICLAV 625MG TABLET,KOMEDIC SDN BHD
MAL20013984AZ,SII MEASLES VACCINE LIVE ATTENUATED (FREEZE- DRIED)-10 DOSES,SM PHARMACEUTICALS SDN. BHD.
MAL13075046N,APPETON MULTIVITAMIN OPTIGROW PLUS,KOTRA PHARMA (M) SDN. BHD.
MAL19860841AZ,MEDOFULVIN TABLET 125MG,KOMEDIC SDN BHD
MAL07061565X,Appeton Essentials MV21 Caplet,KOTRA PHARMA (M) SDN. BHD.
MAL19970681ARZ,VITALIPID N INFANT,FRESENIUS KABI MALAYSIA SDN. BHD
MAL16125034AZ,Visolone Tablet 1mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12050012XZ,Pinetarsol Gel Tar 1.6% w/w,EGO PHARM MALAYSIA SDN. BHD.
MAL23036031XC,Lyzodase Troche,Vismedic Sdn. Bhd.
MAL09100308X,OK Orang Kampung Bam Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL16125031AZ,Edyfil Film Coated Tablet 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014201AZ,SII DIPHTHERIA & TETANUS VACCINE ADSORBED (PEDIATRIC) 20 DOSE,SM PHARMACEUTICALS SDN. BHD.
MAL07122779AZ,Moxiclav 1G F.C Tablets,KOMEDIC SDN BHD
MAL20040925ACZ,ANTAROL TABLET 20MG,IMEKS PHARMA SDN. BHD.
MAL19871698AZ,ERYSON TABLET 250,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19987401X,AXE BRAND HEAT OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL19870138AZ,HEPARINOL 1000 IU/mL,AIN MEDICARE SDN. BHD.
MAL20116002ACRZ,Nocdurna Oral Lyophilisate for Sublingual 25 mcg,Ferring Sdn. Bhd.
MAL19880168AZ,TRIOSOLONE TABLET 5MG,TERAPUTICS SDN BHD
MAL20033496AZ,OLFEN-50,MEPHARM (MALAYSIA) SDN. BHD.
MAL19986084T,ARNICA COMP GEL,BIO-PHARMACEUTICALS SDN. BHD.
MAL19993049AZ,INFUSOL RG,AIN MEDICARE SDN. BHD.
MAL16075026AZ,Bisocor Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL09100265AZ,Garbose Tablet 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20041269AZ,[TIMEOUT ERROR],
MAL07061568XCZ,Metacin Tablet 650mg,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL20020256AZ,OFCIN FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987336ACSZ,SALOFALK 500MG GASTRO-RESISTANT TABLETS,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19992773AZ,INFUSOL D5,AIN MEDICARE SDN. BHD.
MAL20000381AZ,INFUSOL M20,AIN MEDICARE SDN. BHD.
MAL19900594AZ,FEDAC TABLET,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07081548XZ,UPHAMOL TABLET 500 MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19861325AZ,LORANS 1 TABLET,KOMEDIC SDN BHD
MAL19900184AZ,MODURIDE TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10120014ACRZ,EBIXA FILM-COATED TABLET 20 MG,Lundbeck Malaysia Sdn. Bhd.
MAL05101673AZ,Magurol 4 mg tablets,KOMEDIC SDN BHD
MAL19940208XCZ,PANAMOL 500MG TABLET,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL05101667AZ,KLERIMED 250MG TABLET,KOMEDIC SDN BHD
MAL04125505AZ,Zolterol SR Tablet 75mg,Duopharma Marketing Sdn. Bhd.
MAL17085014AZ,Mementor TABLETS 20 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL20091870AZ,SII Hepatitis-B Vaccine (rDNA)(Pediatric)-Single Dose 0.5ml,SM PHARMACEUTICALS SDN. BHD.
MAL20034609AZ,CLARITROX 500 TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL19990266AZ,VOKER FILM COATED TABLET 40MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14085055AZ,Axcel SILDENAFIL-100MG TABLETS,KOTRA PHARMA (M) SDN. BHD.
MAL12055037X,Axcel GLUCOSATIN TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20014355AZ,INFUSOL D30,AIN MEDICARE SDN. BHD.
MAL20000292AZ,CAFFOX TABLET,IMEKS PHARMA SDN. BHD.
MAL19861062AZ,ALMIRAL TABLET 25MG,KOMEDIC SDN BHD
MAL20002296XRZ,VITAMIN C-1000 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
MAL06071075AZ,ANZACK TABLETS 20 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL11050003AZ,Lignoral Oral Spray 10%W/V,Pharco Health Sdn. Bhd
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL19985963AZ,APUZIN TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15045130AZ,Nexpro Tablets 20mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL12025061X,[TIMEOUT ERROR],
