Registration No,Product Name,Holder
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL04030533X,Flavettes Vitamin C with Calcium Time Release 1000mg,Duopharma Marketing Sdn. Bhd.
MAL04080003XZ,Appeton A to Z Kid's Vitamin C 30mg Tablet (Blackcurrant),KOTRA PHARMA (M) SDN. BHD.
MAL04091675XZ,Appeton A To Z Kid's Vitamin C 30mg Tablet (Strawberry),KOTRA PHARMA (M) SDN. BHD.
MAL04103429T,DXN Zhimeko Ointment,DXN PHARMACEUTICAL SDN. BHD.
MAL04103438ARZ,Differin Cream 0.1%,Galderma Malaysia Sdn Bhd
MAL04103441AZ,Perinace Tablet 4 mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04112700X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN WITH TAURINE TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112701X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN PLUS LYSINE TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112702X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112704T,CENTRESS Chewable Tablet 25 mg,NOVA LABORATORIES SDN. BHD.
MAL04125482AZ,YSP Ibuprofen Suspension 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125483XZ,Aqua Cream,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04125484AZ,Foban Hydro Cream,HOE PHARMACEUTICALS SDN. BHD.
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125501X,GNC Natural E 400 IU Softgel,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04125502TC,CeleBeaute Spirulina 200mg Chewable Tablet,BIO-SCIENCE MARKETING SDN. BHD.
MAL04125504AZ,Zolterol SR Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL04125505AZ,Zolterol SR Tablet 75mg,Duopharma Marketing Sdn. Bhd.
MAL05012310AZ,IMDEX 60MG CR TABLET,Duopharma Marketing Sdn. Bhd.
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL05032522AZ,Promedyl DM Linctus,Duopharma Marketing Sdn. Bhd.
MAL05032527XCR,Decostriol 0.25 mcg capsule,IMEKS PHARMA SDN. BHD.
MAL05032538ACZ,Carin Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032545AZ,Carinox Capsule,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032550AZ,Ketovid Cream 2%,HOVID BERHAD
MAL05032554XC,Vicks Inhaler,PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.
MAL05032621T,DXN TEA TREE 80mg/1g CREAM,DXN PHARMACEUTICAL SDN. BHD.
MAL05032665T,E-PLUS OINTMENT NUTMEG COMPLEX,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL05041840XZ,Panadol Children Suspension 120mg/5ml,Haleon Malaysia Sdn. Bhd.
MAL05041842X,AVM-Artrisa 500mg Capsule,AV MANUFACTURING SDN.BHD
MAL05041855ACSZ,Salmax CR Tablet 4mg,Duopharma Marketing Sdn. Bhd.
MAL05041880AZ,Aseptone Syrup 5mg/ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05041940AZ,MUCO-AID LIQUID,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL05041947XZ,GNC Folic Acid 800 mcg,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041949AZ,Tidact Capsule 300mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05051054AZ,Enoxin Tablet 500mg,Duopharma Marketing Sdn. Bhd.
MAL05051063AZ,Metazine Tablet 20mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05051076AZ,Driminate Suppository 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05051105ACZ,Simtec Tablet 10mg,Duopharma Marketing Sdn. Bhd.
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061537XZ,Chewette C-100 Chewable Tablet Sour Plum Flavour,HOVID BERHAD
MAL05061552AZ,Frotin Pessaries,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL05072020ASZ,Curam Powder for oral suspension 156.25mg/5ml,SANDOZ PRODUCTS MALAYSIA SDN. BHD.
MAL05072028ASZ,Curam powder for oral suspension 312.5mg/5ml,SANDOZ PRODUCTS MALAYSIA SDN. BHD.
MAL05072029AZ,SOMIDEM TABLET 10 MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05072030AZ,Sonap 275mg Caplet,IMEKS PHARMA SDN. BHD.
MAL05072108XZ,Live-well™ XYLIVIT-™ 125 Children's Chewable Vitamin-C Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072112X,Live-well™ KIDZSENTIAL™ with Lysine Children's Chewable Multivitamin & Minerals Tablet,PAHANG PHARMACY SDN. BHD.
MAL05092207AZ,Salosone Ointment,PRIME PHARMACEUTICAL SDN. BHD.
MAL05092215ACZ,"Metoclopramide-hameln 5 mg/ml Injection, 2ml",IMEKS PHARMA SDN. BHD.
MAL05092217AZ,Medoflucon 150 mg capsules,KOMEDIC SDN BHD
MAL05092228AZ,Tidact Gel 1%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05092235XR,LAMISIL CREAM 1%,ZUELLIG PHARMA SDN. BHD.
MAL05092475TC,Hurix's Cool Inhaler (2ml),JIN BIN CORPORATION SDN. BHD.
MAL05101665AZ,Dapril 20mg tablets,KOMEDIC SDN BHD
MAL05101666AZ,Dapril 5mg tablets,KOMEDIC SDN BHD
MAL05101667AZ,KLERIMED 250MG TABLET,KOMEDIC SDN BHD
MAL05101672AZ,Magurol 2mg tablets,KOMEDIC SDN BHD
MAL05101673AZ,Magurol 4 mg tablets,KOMEDIC SDN BHD
