Country,Company,Local Product Name,Generic Name,Currency,Ex Factory Wholesale Price,Region,Marketing Authority,Local Pack Description,Formulation,Fill Size,Strength,Strength Unit,LOCAL_PACK_CODE
CANADA-QUEBEC,"2 1428,48",Humira (seringue) AbbVie,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,714.24,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 50 mg,Sol. Inj. S.C,,50,mg,02258595
CANADA-QUEBEC,"2 1428,48","Humira (stylo) AbbVie La personne doit avoir commencé un traitement et reçu un remboursement avant le 3 mars 2021.  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse",POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,714.24,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 50 mg,Sol. Inj. S.C,,50,mg,99100385
CANADA-QUEBEC,"1 330,00",Prolia Amgen Annexe IV.1 2,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C.(ser) - 60 mg,Sol. Inj. S.C.(ser),,60,mg,02343541
CANADA-QUEBEC,"1 538,45",Xgeva Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 7 novembre 2024.  pour la prévention des événements osseux chez les personnes atteintes d’un cancer de la prostate résistant,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. - 120 mg,Sol. Inj. S.C.,,120,mg,02368153
CANADA-QUEBEC,"4 1437,13",Enbrel (seringue) Amgen,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,359.2825,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 50 mg,Sol. Inj. S.C,,50,mg,02274728
CANADA-QUEBEC,"4 1437,13","Enbrel SureClick Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017 :  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse",POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,359.2825,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 50 mg,Sol. Inj. S.C,,50,mg,99100373
CANADA-QUEBEC,"10 1731,89",Neupogen Amgen,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,173.189,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. - 300 mcg,Sol. Inj.,,300,mcg,01968017
CANADA-QUEBEC,"10 2771,02",Neupogen Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 30 septembre 2020.  pour le traitement des personnes recevant des cycles de chimiothérapie moyennement ou hautement,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,277.102,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. - 300 mcg,Sol. Inj.,,300,mcg,99001454
CANADA-QUEBEC,"30 1 296,00",Copaxone Teva Innov La personne doit avoir commencé un traitement et reçu un remboursement avant le 5 juillet 2018.,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,43.2,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C.(ser) - 20 mg,Sol. Inj. S.C.(ser),,20,mg,02245619
CANADA-QUEBEC,"1 940,00","Remicade Janss. Inc La personne doit avoir commencé un traitement et reçu un remboursement avant le 19 août 2020.  pour le traitement des personnes atteintes de la maladie de Crohn intestinale modérée ou grave, à la",POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Pd. Perf. I.V. - 100 mg,Pd. Perf. I.V.,,100,mg,02244016
CANADA-QUEBEC,,Lantus SanofiAven,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,88.12,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 100 U - Pack of 5,Sol. Inj. S.C,5,100,U,02251930
CANADA-QUEBEC,,Lantus SoloStar SanofiAven La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017.  pour le traitement du diabète lorsqu’un essai préalable avec une insuline à action intermédiaire n’a pas permis,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,88.12,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C - 100 U - Pack of 5,Sol. Inj. S.C,5,100,U,02294338
CANADA-QUEBEC,,Lucentis Novartis,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,1575.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. - 10 mg - Pack of 1,Sol. Inj.,1,10,mg,02296810
CANADA-QUEBEC,,Lucentis Novartis La personne doit avoir commencé un traitement et reçu un remboursement avant le 13 décembre 2023.  pour le traitement de la dégénérescence maculaire liée à l’âge en présence de néovascularisation,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,1575.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. (ser) - 10 mg - Pack of 1,Sol. Inj. (ser),1,10,mg,02425629
CANADA-QUEBEC,,Fortéo Lilly La personne doit avoir commencé un traitement et reçu un remboursement avant le 15 décembre 2021.  pour le traitement de l’ostéoporose chez les femmes ménopausées qui sont exposées à un risque élevé de,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,809.73,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),( - 2.4 mL - Pack of 1,(,1,2.4,mL,02254689
CANADA-QUEBEC,,Actemra Roche,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,1420.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser) - 162 mg - Pack of 4,Sol. Inj. S.C. (ser),4,162,mg,02424770
CANADA-QUEBEC,,Actemra Roche,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,1420.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (stylo) - 162 mg - Pack of 4,Sol. Inj. S.C. (stylo),4,162,mg,02483327
CANADA-QUEBEC,,Actemra Roche,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,179.2,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Perf. I.V. - 20 mg - Pack of 1,Sol. Perf. I.V.,1,20,mg,02350092
CANADA-QUEBEC,,Actemra Roche,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,448.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Perf. I.V. - 20 mg - Pack of 1,Sol. Perf. I.V.,1,20,mg,02350106
CANADA-QUEBEC,,"Actemra Roche TOCILIZUMAB (ACTEMRA), Sol. Perf. I.V. : La personne doit avoir commencé un traitement et reçu un remboursement avant le 22 mai 2025.",POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,896.0,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Perf. I.V. - 20 mg - Pack of 1,Sol. Perf. I.V.,1,20,mg,02350114
CANADA-QUEBEC,Inc,Stelara Janss.,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,4311.72,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser) - 45 mg - Pack of 1,Sol. Inj. S.C. (ser),1,45,mg,02320673
CANADA-QUEBEC,Inc,Stelara Janss. La personne doit avoir commencé un traitement et reçu un remboursement avant le 23 mai 2024.,POUR LES PERSONNES EN COURS DE TRAITEMENT,CAD,4311.72,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser) - 90 mg - Pack of 1,Sol. Inj. S.C. (ser),1,90,mg,02320681
CANADA-QUEBEC,SanofiAven,Lovenox,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,62.9,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 30 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,30,mg,02012472
CANADA-QUEBEC,SanofiAven,Lovenox,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,83.3,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 40 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,40,mg,02236883
CANADA-QUEBEC,SanofiAven,Lovenox,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,124.97,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 60 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,60,mg,02378426
CANADA-QUEBEC,SanofiAven,Lovenox,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,166.6,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 80 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,80,mg,02378434
CANADA-QUEBEC,SanofiAven,Lovenox,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,208.28,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 100 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,100,mg,02378442
CANADA-QUEBEC,SanofiAven,Lovenox HP,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,249.9,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 120 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,120,mg,02242692
CANADA-QUEBEC,SanofiAven,Lovenox HP La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 15 décembre 2021.,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,312.4,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. (ser.) - 150 mg - Pack of 10,Sol. Inj. S.C. (ser.),10,150,mg,02378469
CANADA-QUEBEC,N.Nordisk,NovoRapid Flex Touch,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,50.79,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. - 100 U - Pack of 5,Sol. Inj. S.C.,5,100,U,02377209
CANADA-QUEBEC,N.Nordisk,NovoRapid Penfill La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 2 février 2022.,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,50.79,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. - 100 U - Pack of 5,Sol. Inj. S.C.,5,100,U,02244353
CANADA-QUEBEC,N.Nordisk,NovoRapid La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 4 juillet 2024.,CONDITIONS PRÉVUES AU POINT 4.2.3 DE LA LISTE DES MÉDICAMENTS,CAD,25.37,NORTH AMERICA,RAMQ (Régie de l'assurance maladie du Québec),Sol. Inj. S.C. - 100 U - Pack of 1,Sol. Inj. S.C.,1,100,U,02245397
