"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11055001AZ","NASONIDE Nasal Spray 55mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"2","MAL11105001AZ","Flutinide Nasal Spray 50mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"3","MAL12015004AZ","ELONIDE Nasal Spray 50 mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"4","MAL12065022T","Wantong Jingu Spray","TONGHUA DONG BAO (M) SDN. BHD."
"5","MAL13115224XZ","Three Legs Tinea-Kare Anti-Fungal Spray 1%w/v","SYARIKAT WEN KEN DRUG SDN. BHD."
"6","MAL16065020AZ","Besonin Aqua Nasal Spray 64mcg/dose","RIGEL PHARMA SDN. BHD."
"7","MAL14125126AZ","FLUTIMATE NS 50 (Fluticasone Nasal Spray BP 50mcg)","MEDISPEC (M) SDN. BHD."
"8","MAL15025037AZ","Budemate NS 32(Budesonide Aqueous Nasal Spray BP 32mcg)","MEDISPEC (M) SDN. BHD."
"9","MAL15025040AZ","Budemate NS 64 (Budesonide Aqueous Nasal Spray BP 64mcg)","MEDISPEC (M) SDN. BHD."
"10","MAL14025010AZ","AXCEL MOMETASONE 0.05%w/w NASAL SPRAY","KOTRA PHARMA (M) SDN. BHD."
"11","MAL16015071AZ","UNIREN Spray 1% w/w","MEDISPEC (M) SDN. BHD."
"12","MAL14055180XCZ","Betadine Dry Powder Spray 2.5% w/w","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"13","MAL15015062AZ","Momate Nasal Spray (Mometasone Furoate  50 mcg/spray)","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"14","MAL15065026XCZ","Betadine Sore Throat Spray 0.45%w/v","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"15","MAL18046159ACZ","Monitazone (Mometasone Furoate 50mcg/ actuation Nasal Spray)","HEALOL PHARMACEUTICALS SDN. BHD."
"16","MAL16085011N","NUTRIC REVOLUTIC� BIOSPRAY","HERBAL SCIENCE SDN. BHD."
"17","MAL18016032AZ","Apo-Mometasone Furoate Aqueous Nasal Spray 50mcg/metered spray","PHARMAFORTE (MALAYSIA) SDN. BHD."
"18","MAL19990951T","GOLDEN MEN SPRAY","PRIME PHARMACEUTICAL SDN. BHD."
"19","MAL19985332T","SORE THROAT POWDER SPRAY ""UNIFLEX""","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"20","MAL20061595XCRE","TIGER BALM MUSCLE SPRAY","TIGER BALM (M) SDN. BHD."
"21","MAL08010737XZ","Vinodine Spray","UNIMED SDN. BHD."
"22","MAL12020030X","RELISPRAY � PAIN RELIEF SPRAY","PAHANG PHARMACY SDN. BHD."
"23","MAL19971288ARZ","BECONASE AQUEOUS NASAL SPRAY","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"24","MAL19984346ARZ","MINIRIN NASAL SPRAY 0.1MG/ML (RTS)","Ferring Sdn. Bhd."
"25","MAL19990991ACRZ","MIACALCIC NASAL SPRAY 200 IU","ZUELLIG PHARMA SDN. BHD."
"26","MAL19988441ACZ","NASACORT AQ NASAL SPRAY","DKSH MALAYSIA SDN. BHD."
"27","MAL20001010AZ","NASONEX AQUEOUS NASAL SPRAY","ORGANON MALAYSIA SDN. BHD."
"28","MAL20031743ACRZ","FLIXONASE AQUEOUS NASAL SPRAY","Haleon Malaysia Sdn. Bhd."
"29","MAL20081823ARZ","AVAMYS NASAL SPRAY","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"30","MAL20102029ACRZ","OMNARIS NASAL SPRAY 50MCG 120 PUFFS","DKSH MALAYSIA SDN. BHD."
"31","MAL19910846AZ","XYLONOR SPRAY","N.K. LUCK SDN. BHD."
"32","MAL19973336AZ","BECLOMET NASAL AQUA 50MCG/DOSE NASAL SPRAY","ORION PHARMA (MY) SDN. BHD."
"33","MAL20020810AZ","OXY-NASE SPRAY 0.05%","HOE PHARMACEUTICALS SDN. BHD."
"34","MAL20020809AZ","OXY-NASE SPRAY 0.025%","HOE PHARMACEUTICALS SDN. BHD."
"35","MAL20051362AZ","BUDENIDE NASAL SPRAY","HOE PHARMACEUTICALS SDN. BHD."
"36","MAL08082702AZ","Besonin Aqua Nasal Spray 100 mcg/dose","RIGEL PHARMA SDN. BHD."
"37","MAL07090921AZ","Flomist Aqueous Nasal Spray 50 mcg","CIPLA MALAYSIA SDN BHD"
"38","MAL08051758AZ","Difflam Forte Anti-Inflammatory Throat Spray 0.3%w/v","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"39","MAL09032007AZ","Axcel Oxymetazoline 0.05% Nasal Spray","KOTRA PHARMA (M) SDN. BHD."
"40","MAL09122776AZ","NITROSOL SUBLINGUAL AEROSOL SPRAY 400mcg/actuation","Vitamode  Sdn.bhd"
"41","MAL10120020AZ","Co-Phenylcaine Forte Nasal Spray","ZIWELL MEDICAL SDN. BHD."
"42","MAL13030005AZ","LIDO Spray 4%W/V","Pharco Health Sdn. Bhd"
"43","MAL11100013ACZ","Ventacort Nasal Spray 64 mcg/actuation","HOVID BERHAD"
"44","MAL11050003AZ","Lignoral Oral Spray 10%W/V","Pharco Health Sdn. Bhd"
"45","MAL11030012AZ","Budenase AQ Nasal Spray 64 mcg /dose","CIPLA MALAYSIA SDN BHD"
"46","MAL19912925XZ","Wari Ethylchloride Spray","DCH AURIGA (MALAYSIA) SDN. BHD."
"47","MAL10100180XZ","MYCORIL SPRAY 1%","EUCOGEN SDN BHD"
"48","MAL15070052HX","BIOSPRAY 1% SOLUTION","RANGE PHARMA SDN. BHD."
"49","MAL16090005T","SPRAY 8 Wound Care Mist","FURLEY BIOEXTRACTS SDN. BHD."
"50","MAL20162658TE","Monit Spray","DOT GREEN LIFESCIENCES SDN. BHD."
"51","MAL07021392AZ","Nasehaler (Mometasone Furoate Nasal Spray 50 mcg)","CIPLA MALAYSIA SDN BHD"
"52","MAL17020013T","GreenHerbs Qian Li Zhui Feng Ji Spray","BIOFACT LIFE SDN. BHD."
"53","MAL20172772T","HEI � Wellness Ansep Spray","DOT GREEN LIFESCIENCES SDN. BHD."
"54","MAL18056065ACZ","Dymista Nasal Spray 137mcg/50mcg","MYLAN HEALTHCARE SDN. BHD."
"55","MAL17117036ACRE","hovid-Clefan Nasal Spray 0.05% w/v","HOVID BERHAD"
"56","MAL18116087AZ","Strepsils Max Pro Direct 8.75mg Spray","RB (HEALTH) MALAYSIA SDN BHD"
"57","MAL18116090AZ","Lenzetto 1.53 mg/spray transdermal spray, solution","PAHANG PHARMACY SDN. BHD."
"58","MAL18086095X","TEFIN Terbinafine HCl Spray 10mg/g","HOE PHARMACEUTICALS SDN. BHD."
"59","MAL18116119N","NUTRIC REVOLUTIC� BIOSPRAY COLOSTRUM PLUS LIQUID","HERBAL SCIENCE SDN. BHD."
"60","MAL19056056NCR","FOERDE f2-M Bac Liquid Spray","CELLPLUS LIFE SCIENCES SDN. BHD."
"61","MAL19106049TC","DZLAB MUSCLE LIQUID SPRAY","DZR PHARMA MANUFACTURE SDN. BHD."
"62","MAL20016241TC","Tai Yi Yuan Watermelon Plus Spray Powder","HEALTH WINNER ENTERPRISE SDN. BHD."
"63","MAL20106094T","TROPIKA TMED Fresh & Cool spray","Tropika TMed Sdn. Bhd."
"64","MAL20046137X","Three Legs Septyc-Kare Antiseptic Spray 1%w/v","SYARIKAT WEN KEN DRUG SDN. BHD."
"65","MAL21116009ACSZ","ClariClear Nasal Spray 0.05%","BAYER CO. (MALAYSIA) SDN. BHD."
"66","MAL20106086TC","Natural Life Propolis & Manuka Spray","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"67","MAL20066009XC","Ecoolax Pain Relieving Cool Spray 12%w/v","Ergosky Sdn. Bhd."
"68","MAL21036003ACZ","SPRAVATO 28mg Nasal Spray","JOHNSON & JOHNSON SDN. BHD."
"69","MAL20116078TC","FEREENA JOINT SPRAY","FEREENA BEAUTY & HEALTH SDN BHD"
"70","MAL21026091TC","Comfy Throat Spray","EXCEL HERBAL INDUSTRIES SDN. BHD."
"71","MAL21036047NC","Ocean Health D-Vita Vitamin D3 500IU Oral Spray","HYPHENS PHARMA SDN. BHD."
"72","MAL22096002AZ","Ryaltris (Olopatadine hydrochloride 600mcg/Mometasone furoate 25mcg) Nasal Spray","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"73","MAL22076021ACZ","MediThroat Spray 3.0 mg/ml","World Medicare Supplies Sdn Bhd"
"74","MAL21036011XCZ","AiPharma Trewound Antiseptic Spray 1%w/v","AIPHARMA HEALTHCARE SDN BHD"
"75","MAL21056104TC","Hurix's SoRelief Oral Spray","JIN BIN CORPORATION SDN. BHD."
"76","MAL22096027AZ","Zipelor Forte Benzydamine 0.3% w/v oromucosal spray","UNIMED SDN. BHD."
"77","MAL22036112T","GreenHerbs Watermelon Frost + Spray Powder","BIOFACT LIFE SDN. BHD."
"78","MAL23066012AZ","Lidonostrum 10% w/v Topical Spray","SCHMIDT BIOMEDTECH SDN. BHD."
"79","MAL22026015X","Three Legs Cool-Kare Muscle Pain Relief Spray 12%w/v","SYARIKAT WEN KEN DRUG SDN. BHD."
"80","MAL23026003ARZ","Nicorette QuickMist Freshmint 1mg/spray Mouthspray","JNTL (MALAYSIA) SDN. BHD."
"81","MAL22056029TC","V∞ V'TROX SPRAY","JASE HEALTHCARE SDN. BHD."
"82","MAL24026030AZ","ANSONIDE Nasal Spray 27.5 mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"83","MAL22086032XCZ","Cleawound Antiseptic Spray 1%w/v","SBL HEALTHCARE SDN BHD"
"84","MAL23056041XC","Salonpas Pain Relieving JET SPRAY","Hisamitsu Pharmaceutical Malaysia Sdn. Bhd."
"85","MAL24046021AZ","COOLORA FORTE (Benzydamine Oromucosal Spray BP 0.30% w/v)","HEALOL PHARMACEUTICALS SDN. BHD."
"86","MAL23106121T","MEGA We care Eugica Herbal Throat Spray","MEGA LIFESCIENCES SDN. BHD."
"87","MAL23126031HA","TRIAM-GUARD 0.15MG/ML TOPICAL SPRAY","RANGE PHARMA SDN. BHD."
"88","MAL24096047ACZ","TYMORA OROMUCOSAL SPRAY 0.3% W/V","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"89","MAL23106035XCZ","MK essentia healthcare series Antiseptic Spray 1%w/v","MegaLive BioSciences Sdn Bhd"
"90","MAL23106036XCZ","Topseal SeptiGras Spray 1% w/v","AA ALIVE SDN BHD"
"91","MAL25056026AZ","OXACAIN (Lidocaine 10% Oromucosal Spray)","MEDISPEC (M) SDN. BHD."
"92","MAL25016022AZ","FLUTIFLOW 120 (Fluticasone Nasal Spray BP 50mcg)","HEALOL PHARMACEUTICALS SDN. BHD."
"93","MAL24016101TC","Biobax Cooling Effect Spray","FN GLOBAL RESOURCES"
"94","MAL24086050TC","Lionball Tongkat Ali Plus Liquid Spray","Gab Sdn Bhd"
"95","MAL24086159HA","MICO-GUARD 10MG/ML TOPICAL SPRAY","RANGE PHARMA SDN. BHD."
"96","MAL25046013AZ","Finjuve for Men Cutaneous Spray Solution 2.275 mg/mL","A. MENARINI SINGAPORE PTE. LTD."
"97","MAL25026030XZ","SOLUZIONE FIRST AID PVP-IODINE 10%w/v SPRAY","PAHANG PHARMACY SDN. BHD."
"98","MAL24116002XCZ","Povishield Sore Throat Spray 0.45 %w/v","EP PLUS GROUP SDN. BHD."
"99","MAL25026029XCZ","Cortal Sore Throat Spray 0.45 %w/v","Aspen Medical Products Malaysia Sdn Bhd"
"100","MAL25116064HA","BETA-GUARD TOPICAL SPRAY","RANGE PHARMA SDN. BHD."
"101","MAL25026035XCZ","Therapex Anti-Fungal Clotrimazole Spray 1%w/v","Biofizz Marketing Sdn Bhd"
"102","MAL25036174HA","LIDO-GUARD 40MG/ML ANAESTHETIC SPRAY","RANGE PHARMA SDN. BHD."
"103","MAL25116054XZ","Three Legs TineaMed Anti-Fungal Spray 1%w/v","SYARIKAT WEN KEN DRUG SDN. BHD."
"104","MAL25116055XCZ","WeKare Terbinafine Spray 1%w/v","Wen Ken Marketing (M) Sdn Bhd"
