item_id,TN,INN,Manufacturer_Country,Release_Form,EAN,Registered_Price_RUB,Start_Date_Text
3856,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 10 ml - ampoules (5) - cardboard packs",,531.51,15.03.2010
3857,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 10 ml - dark glass bottles - cardboard packs",,106.39,15.03.2010
3858,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 100 ml - dark glass bottles - cardboard packs",,793.84,15.03.2010
3859,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 20 ml - dark glass bottles - cardboard packs",,182.44,15.03.2010
3860,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 5 ml - ampoules (5) - cardboard packs",,211.92,15.03.2010
3861,5-Fluorouracil-Ebeve,Fluorouracil,Ebewe Pharma Ges.m.b.H. Nfg. KG - Austria,"concentrate for the preparation of solution for infusion 50 mg/ml, 5 ml - dark glass bottles - cardboard packs",,55.54,15.03.2010
34064,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 5 ml - dark glass bottles (1) - cardboard packs",,55.54,07.11.2019
34065,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 5 ml - ampoules (5) - cardboard packs",,211.92,07.11.2019
34066,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 20 ml - dark glass bottles (1) - cardboard packs",,182.44,07.11.2019
34067,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 100 ml - dark glass bottles (1) - cardboard packs",,793.84,07.11.2019
34068,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 10 ml - dark glass bottles (1) - cardboard packs",,106.39,07.11.2019
34069,5-Fluorouracil-Ebeve,Fluorouracil,"Vl.Sandoz d.d., Slovenia (SI76665623); Issue of First.Up.Second.Up.Pr.Ebewe Pharma Ges.m.b.H. Nfg. KG, Austria (ATU52861808);","concentrate for the preparation of solution for infusion, 50 mg/ml, 10 ml - ampoules (1) - cardboard packs",,531.51,07.11.2019
3842,9 months Folic acid,Folic acid,"OJSC ""Valenta Pharmaceuticals"" - Russia","film-coated tablets 0.4 mg, 10 pcs. - contour cell packaging (3) - cardboard packs",,70.47,27.02.2010
9979,9 months Folic acid,Folic acid,"OJSC ""Valenta Pharmaceuticals"" - Russia","film-coated tablets 0.4 mg, 10 pcs. - contour cell packaging (3) - cardboard packs",,74.35,16.08.2013
10933,9 months Folic acid,Folic acid,"OJSC ""Valenta Pharmaceuticals"" - Russia","film-coated tablets 0.4 mg, 10 pcs. - contour cell packaging (3) - cardboard packs",,78.07,20.02.2014
13323,9 months Folic acid,Folic acid,"OJSC ""Valenta Pharmaceuticals"" - Russia","film-coated tablets 0.4 mg, 10 pcs. - contour cell packaging (3) - cardboard packs",,82.36,06.02.2015
17582,9 months Folic acid,Folic acid,"Owner: Open Joint Stock Company ""Valenta Pharmaceuticals"", Russia; Graduated.First.Up.Second.Up.Pr.JSC ""Valenta Pharmaceuticals"", Russia;","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,87.63,02.06.2016
20420,9 months Folic acid,Folic acid,"Owner: Open Joint Stock Company ""Valenta Pharmaceuticals"" (OJSC ""Valenta Pharm""), Russia (5050008117); Graduated.First.Up.Second.Up.Pr.JSC ""Valenta Pharmaceuticals"", Russia;","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,261.90,12.01.2017
20866,9 months Folic acid,Folic acid,"Owner: Public Joint Stock Company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117); Graduated.Primary Up.Secondary Up.Public Joint Stock Company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia;","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,261.90,22.02.2017
20867,9 months Folic acid,Folic acid,"Owner: Public Joint Stock Company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117); Graduated.Primary Up.Secondary Up.Public Joint Stock Company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia;","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,87.63,22.02.2017
21223,9 months Folic acid,Folic acid,"Owner: Open Joint Stock Company ""Valenta Pharmaceuticals"", Russia; Graduated.Primary Up.Secondary Up.Public Joint Stock Company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia;","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,91.14,24.03.2017
25893,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Public joint-stock company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,94.79,02.04.2018
25894,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Public joint-stock company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,272.38,02.04.2018
30676,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Public joint-stock company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,97.18,13.03.2019
30677,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Public joint-stock company ""Valenta Pharmaceuticals"" (PJSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,279.24,13.03.2019
31894,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Open Joint-Stock Company ""Valenta Pharmaceuticals"" (OJSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,97.18,24.05.2019
31908,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,279.24,24.05.2019
31909,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,97.18,24.05.2019
37972,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,100.10,06.05.2020
37973,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,286.78,06.05.2020
47284,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,103.42,27.04.2021
51031,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,296.33,21.05.2021
51267,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,100.10,24.12.2020
51268,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,286.78,24.12.2020
61216,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,106.92,25.02.2022
61217,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,306.71,25.02.2022
76854,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,321.52,09.03.2023
76916,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,112.07,15.03.2023
94311,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,334.54,14.03.2024
94855,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,116.60,11.03.2024
104605,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,116.60,14.10.2024
104606,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,334.54,14.10.2024
112474,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,121.32,06.03.2025
112475,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (3) - cardboard packs",,121.32,06.03.2025
112476,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,348.02,06.03.2025
112477,9 months Folic acid,Folic acid,"Ownership: First.Up.Secondary.Up.Pr. Joint Stock Company ""Valenta Pharmaceuticals"" (JSC ""Valenta Pharm""), Russia (5050008117);","film-coated tablets, 400 mcg, 10 pcs. - contour cell packaging (9) - cardboard packs",,348.02,06.03.2025
47131,L-Malate isotonic,Potassium chloride + Calcium chloride + Magnesium chloride + Sodium acetate + Sodium chloride + Malic acid,"Owner.Ed.K.First.Up.Second.Up.Pr. Limited Liability Company ""Scientific and technological pharmaceutical company ""POLYSAN"", Russia (7805023934);","solution for infusion, 500 ml - containers (10) - cardboard containers (for hospitals)",,649.34,21.04.2021
61177,L-Malate isotonic,Potassium chloride + Calcium chloride + Magnesium chloride + Sodium acetate + Sodium chloride + Malic acid,"Owner.Ed.K.First.Up.Second.Up.Pr. Limited Liability Company ""Scientific and technological pharmaceutical company ""POLYSAN"", Russia (7805023934);","solution for infusion, 500 ml - containers (10) - cardboard containers (for hospitals)",,671.42,24.02.2022
72391,L-Malate isotonic,Potassium chloride + Calcium chloride + Magnesium chloride + Sodium acetate + Sodium chloride + Malic acid,"Owner.Ed.K.First.Up.Second.Up.Pr. Limited Liability Company ""Scientific and technological pharmaceutical company ""POLYSAN"", Russia (7805023934);","solution for infusion, 500 ml - containers (20) - cardboard containers (for hospitals)",,1131.00,24.11.2022
79110,L-Malate isotonic,Potassium chloride + Calcium chloride + Magnesium chloride + Sodium acetate + Sodium chloride + Malic acid,"Vl.Vy.k.First.Up.Second.Up.Pr. Limited liability company ""Scientific and technological pharmaceutical company ""POLYSAN"" (LLC ""NTFF ""POLYSAN""), Russia (7805023934);","solution for infusion, 500 ml - containers (10) - cardboard containers (for hospitals)",,671.42,15.05.2023
2105,L-Thyroxine,Levothyroxine sodium,Ozon LLC - Russia,"tablets 0.1 mg, 50 pcs. - contour cellular packaging - cardboard packs",,84.24,07.07.2010
