Drug Code,Drug Code URL,licId,Name of the drug,Name of drug (Chinese),Ingredient name/ingredient content,Gauge quantity,Single compound,Price,Effective date,Effective start date,Effective end date,Pharmacists,dosage form,Classification of medicines,Taxonomy group name,ATC code
A000096100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000096,01000096,MENNA CAPSULES,明那膠囊,DIPHENHYDRAMINE HCL 50 MG,,單方,0.48,84.03.01- 迄今,84.03.01,,強生化學製藥廠股份有限公司,膠囊劑,一般學名藥,"DIPHENHYDRAMINE , 一般錠劑膠囊劑 , 50.00 MG",R06AA02
A001046100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001046,01001046,"Magnesium Oxide Tablets ""H.L""","""華琳""氧化鎂錠",MAGNESIUM OXIDE 250 MG,,單方,0.32,112.06.01- 迄今,112.06.01,,華琳實業有限公司,錠劑,一般學名藥,"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",A02AA02
A001584100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001584,01001584,"MAGNESIA TABLETS ""WASHINGTON""","""華盛頓""氧化鎂錠",MAGNESIUM OXIDE 250 MG,,單方,0.32,112.06.01- 迄今,112.06.01,,華盛頓製藥廠股份有限公司,錠劑,一般學名藥,"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",A02AA02
A001713100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001713,01001713,"ENZYME TABLETS ""H.C.T.""","""回春堂""複方酵素錠",AMYLASE ALPHA- 10 MG DIASTASE BIO- 5 MG,,複方,3.68,111.01.01- 迄今,111.01.01,,回春堂製藥廠股份有限公司,錠劑,一般學名藥,"AMYLASE 10MG + DIASTASE 5MG, 一般錠劑膠囊劑,",A09AA02
A003393100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01003393,01003393,"CHLORPROMAZINE HCL S.C. TABLETS 100MG ""VPP""",鹽酸氯普魯麻淨糖衣錠１００公絲,CHLORPROMAZINE (HCL) 100 MG,,單方,1.46,107.05.01- 迄今,107.05.01,,榮民製藥股份有限公司,糖衣錠,一般學名藥,"CHLORPROMAZINE , 一般錠劑膠囊劑 , 100.00 MG",N05AA01
A003727100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01003727,01003727,HITUS CAPSULES 25 MG,"""福元"" 彼使膠囊25毫克",DIPHENHYDRAMINE HCL 25 MG,,單方,0.45,89.04.01- 迄今,89.04.01,,福元化學製藥股份有限公司,膠囊劑,一般學名藥,"DIPHENHYDRAMINE , 一般錠劑膠囊劑 , 25.00 MG",R06AA02
A004189100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01004189,01004189,"RESERPINE TABLETS ""VPP""",蛇根鹼錠,RESERPINE 0.25 MG,,單方,0.08,103.07.01- 迄今,103.07.01,,榮民製藥股份有限公司,錠劑,一般學名藥,"RESERPINE , 一般錠劑膠囊劑 , 250.00 MCG",C02AA02
A005300100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01005300,01005300,"PHENOBARBITAL TABLETS 32MG ""VPP""","""榮民"" 苯巴比特魯錠３２公絲",PHENOBARBITAL 32 MG,,單方,0.68,103.07.01- 迄今,103.07.01,,榮民製藥股份有限公司,錠劑,一般學名藥,"PHENOBARBITAL , 一般錠劑膠囊劑 , 32.00 MG",N03AA02
A005869155,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01005869,01005869,OPIUM TINCTURE,阿片酊,MORPHINE 10 MG/ML,100 ML,單方,230.00,96.01.01- 迄今,96.01.01,,衛生福利部食品藥物管理署管制藥品製藥工廠,酊劑,一般學名藥,"MORPHINE ,口服液劑 , 10.00 MG/ML , 100.00 ML",N02AA01
A006194100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006194,01006194,PRONALOL TABLETS,整心律錠,PROPRANOLOL HCL 40 MG,,單方,0.87,103.07.01- 迄今,103.07.01,,豐田藥品股份有限公司,錠劑,一般學名藥,"PROPRANOLOL , 一般錠劑膠囊劑 , 40.00 MG",C07AA05
A006795100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006795,01006795,"MAGNESIUM OXIDE TABLETS ""HONTEN""","""豐田"" 氧化鎂錠",MAGNESIUM OXIDE 250 MG,,單方,0.32,112.06.01- 迄今,112.06.01,,豐田藥品股份有限公司,錠劑,一般學名藥,"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",A02AA02
A006819100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006819,01006819,"CHLORPROMAZINE HCL S.C. TABLETS 50MG ""VPP""",鹽酸氯普魯麻淨糖衣錠５０公絲,CHLORPROMAZINE (HCL) 50 MG,,單方,0.60,103.07.01- 迄今,103.07.01,,榮民製藥股份有限公司,糖衣錠,一般學名藥,"CHLORPROMAZINE , 一般錠劑膠囊劑 , 50.00 MG",N05AA01
A006822100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006822,01006822,"CHLORPROMAZINE HCL S.C. TABLETS 25MG ""VPP""",鹽酸氯普魯麻淨糖衣錠２５公絲,CHLORPROMAZINE (HCL) 25 MG,,單方,0.55,103.07.01- 迄今,103.07.01,,榮民製藥股份有限公司,糖衣錠,一般學名藥,"CHLORPROMAZINE , 一般錠劑膠囊劑 , 25.00 MG",N05AA01
A006943100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006943,01006943,TETOCYN CAPSULES,特得素膠囊,TETRACYCLINE (HCL) 250 MG,,單方,0.82,103.07.01- 迄今,103.07.01,,信東生技股份有限公司,膠囊劑,一般學名藥,"TETRACYCLINE , 一般錠劑膠囊劑 , 250.00 MG",J01AA07
A007679100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01007679,01007679,RESPLAMIN TABLETS,止癆血錠,AMINOCAPROIC ACID EPSILON- 500 MG,,單方,1.58,92.03.01- 迄今,92.03.01,,杏林新生製藥股份有限公司,錠劑,一般學名藥,"AMINOCAPROIC ACID EPSILON , 一般錠劑膠囊劑 , 500.00 MG",B02AA01
A007976100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01007976,01007976,RIKAPARIN CAPSULES,利卡巴林膠囊,TRANEXAMIC ACID 250 MG,,單方,1.27,106.04.01- 迄今,106.04.01,,東生華製藥股份有限公司,膠囊劑,一般學名藥,"TRANEXAMIC ACID , 一般錠劑膠囊劑 , 250.00 MG",B02AA02
A009397100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009397,01009397,"MIRACLIN CAPSULES ""Y.S.""","""陽生"" 永樂喜膠囊",DOXYCYCLINE (HCL) 100 MG,,單方,1.21,104.04.01- 迄今,104.04.01,,台灣陽生製藥工業股份有限公司,膠囊劑,一般學名藥,"DOXYCYCLINE , 一般錠劑膠囊劑 , 100.00 MG",J01AA02
A009480100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009480,01009480,RAMIN CAPSULES 25MG,"""豐田""豐樂敏膠囊２５毫克",DIPHENHYDRAMINE HCL 25 MG,,單方,0.43,86.04.01- 迄今,86.04.01,,豐田藥品股份有限公司,膠囊劑,一般學名藥,"DIPHENHYDRAMINE , 一般錠劑膠囊劑 , 25.00 MG",R06AA02
A012080100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01012080,01012080,PURINOL TABLETS,拔痛酸錠,ALLOPURINOL 100 MG,,單方,0.99,103.07.01- 迄今,103.07.01,,國信藥品股份有限公司,錠劑,一般學名藥,"ALLOPURINOL , 一般錠劑膠囊劑 , 100.00 MG",M04AA01
A012876100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01012876,01012876,"BIOTASE TABLETS ""YUNG SHIN""","""永信"" 妙化錠",DIASTASE BIO- 30 MG NEWLASE 10 MG LIPASE 5 MG,,複方,0.57,111.01.01- 迄今,111.01.01,,永信藥品工業股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A013126100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013126,01013126,HCNORITLE PIPRINHYDRINATE TABLETS,諾得敏聖(匹普林奈)錠,PIPRINHYDRINATE 3 MG,,單方,0.35,111.01.01- 迄今,111.01.01,,衛肯生技製藥股份有限公司,錠劑,一般學名藥,"PIPRINHYDRINATE , 一般錠劑膠囊劑 , 3.00 MG",R06AA07
A013382100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013382,01013382,"MAGNESIUM OXIDE TABLETS 250MG ""VPP""","""榮民""氧化鎂錠250毫克",MAGNESIUM OXIDE 250 MG,,單方,0.32,112.06.01- 迄今,112.06.01,,榮民製藥股份有限公司,錠劑,一般學名藥,"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",A02AA02
A013631100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013631,01013631,"CARBINOXAMINE TABLETS ""HONTEN""","""豐田""縮蘋酸卡比諾沙明錠",CARBINOXAMINE 4 MG,,單方,0.34,111.01.01- 迄今,111.01.01,,豐田藥品股份有限公司,錠劑,一般學名藥,"CARBINOXAMINE , 一般錠劑膠囊劑 , 4.00 MG",R06AA08
A015242100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015242,01015242,"STOMACHIC TABLETS ""PATRON""","""派頓""胃腸藥錠",DIASTASE 110 MG BELLADONNA EXTRACT 5 MG SCOPOLIA EXTRACT 5 MG BILE EXTRACT， OX 5 MG,,複方,2.00,113.04.01- 迄今,113.04.01,,臺灣派頓化學製藥股份有限公司,錠劑,一般學名藥,"BELLADONNA ALKALOID 5MG + BILE SALTS 5MG + DIASTASE 110MG, 一般錠劑膠囊劑,",A09AA
A015291100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015291,01015291,"CLEMASTINE TABLETS ""S.T.""",克雷滿汀錠,CLEMASTINE (FUMARATE) 1 MG,,單方,0.60,86.04.01- 迄今,86.04.01,,信東生技股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
A015436100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015436,01015436,"URSODEOXYCHOLIC ACID TABLETS ""Y.Y.""","""應元"" 吾膽利喜錠",URSODEOXYCHOLIC ACID 50 MG,,單方,1.71,113.04.01- 迄今,113.04.01,,應元化學製藥股份有限公司,錠劑,一般學名藥,"URSODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 50.00 MG",A05AA02
A016350100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016350,01016350,"ENDURE TABLETS (PROPRANOLOL) ""GCPC""","""人人"" 健心寧錠",PROPRANOLOL HCL 40 MG,,單方,0.87,103.07.01- 迄今,103.07.01,,人人化學製藥股份有限公司,錠劑,一般學名藥,"PROPRANOLOL , 一般錠劑膠囊劑 , 40.00 MG",C07AA05
A016353435,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016353,01016353,"EPHRINE NASAL SPRAY ""GCPC""","""人人""鼻復寧噴鼻液",OXYMETAZOLINE HCL 0.5 MG/ML,15 ML,單方,5.00,96.09.01- 迄今,96.09.01,,人人化學製藥股份有限公司,鼻用噴液劑,一般學名藥,"OXYMETAZOLINE , 耳鼻用液劑 , 0.5 MG/ML , 15 ML",R01AA05
A016503100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016503,01016503,"ISOPRIN TABLETS (ISOXSUPRINE) ""ATOBI""","""阿德比""宜血舒錠（伊速普寧）",ISOXSUPRINE HCL 10 MG,,單方,0.78,103.07.01- 迄今,103.07.01,,一成藥品股份有限公司,錠劑,一般學名藥,"ISOXSUPRINE , 一般錠劑膠囊劑 , 10.00 MG",C04AA01
A017121100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017121,01017121,"MIN'S TABLETS ""H.C.""","""回春""敏之錠",CLEMASTINE (FUMARATE) 1 MG,,單方,0.79,107.05.01- 迄今,107.05.01,,回春堂製藥廠股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
A018250100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018250,01018250,PRONOLOL TABLETS 40MG (PROPRANOLOL),"""優良""心律整錠40毫克（普潘奈）",PROPRANOLOL HCL 40 MG,,單方,0.87,103.07.01- 迄今,103.07.01,,優良化學製藥股份有限公司,錠劑,一般學名藥,"PROPRANOLOL , 一般錠劑膠囊劑 , 40.00 MG",C07AA05
A0182501G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018250,01018250,PRONOLOL TABLETS 40MG (PROPRANOLOL),"""優良""心律整錠40毫克（普潘奈）",PROPRANOLOL HCL 40 MG,,單方,1.50,103.02.01- 迄今,103.02.01,,優良化學製藥股份有限公司,錠劑,一般學名藥,"PROPRANOLOL , 一般錠劑膠囊劑 , 40.00 MG",C07AA05
A018597500,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018597,01018597,HEMODIN SUPPOSITORIES,痣可妥栓劑,BETAMETHASONE (VALERATE) 500 MCG PHENYLEPHRINE HCL 2 MG LIDOCAINE HCL 40 MG,,複方,5.50,84.03.01- 迄今,84.03.01,,臺灣派頓化學製藥股份有限公司,栓劑,一般學名藥,"LIDOCAINE 40MG + BETAMETHASONE 0.5MG + PHENYLEPHRINE 2MG, 栓劑",C05AA05
A018648100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018648,01018648,KORYNASE E.C. TABLETS 10MG,克林樂舒腸衣錠１０絲,SEAPROSE S 10 MG,,單方,2.69,113.04.01- 迄今,113.04.01,,杏林新生製藥股份有限公司,腸溶錠,一般學名藥,"SEAPROSE S , 一般錠劑膠囊劑 , 10.00 MG",B06AA93
A019144351,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019144,01019144,"DEHIST LOTION ""GCPC""","""人人"" 保膚洗液",DIPHENHYDRAMINE HCL 10 MG/ML CAMPHOR 11 MG/ML CALAMINE 80 MG/ML,60 ML,複方,16.30,105.04.01- 迄今,105.04.01,,人人化學製藥股份有限公司,洗劑,一般學名藥,"CALAMINE 80MG/ML + CAMPHOR 11MG/ML + DIPHENHYDRAMINE 10MG/ML, 外用液劑, 60.00ML",D04AA32
A019144355,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019144,01019144,"DEHIST LOTION ""GCPC""","""人人"" 保膚洗液",DIPHENHYDRAMINE HCL 10 MG/ML CAMPHOR 11 MG/ML CALAMINE 80 MG/ML,100 ML,複方,22.80,111.01.01- 迄今,111.01.01,,人人化學製藥股份有限公司,洗劑,一般學名藥,"CALAMINE 80MG/ML + CAMPHOR 11MG/ML + DIPHENHYDRAMINE 10MG/ML, 外用液劑, 100.00ML",D04AA32
A019353100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019353,01019353,"STAZYME F.C. TABLETS ""STANDARD""","""生達"" 速泰消膜衣錠",LIPASE 15 MG CELLULASE 10 MG DIASTASE BIO- 20 MG PROZYME 6 5 MG,,複方,1.66,111.01.01- 迄今,111.01.01,,生達化學製藥股份有限公司,膜衣錠,一般學名藥,"BIODIASTASE 20MG + LIPASE 15MG + PROZYME 5MG + CELLULASE 10MG, 一般錠劑膠囊劑,",A09AA02
A020455100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020455,01020455,"MAGNESIUM HYDROXIDE TABLETS 300MG ""CHEN TA""","""成大""氫氧化鎂錠３００毫克",MAGNESIUM HYDROXIDE 300 MG,,單方,0.18,111.01.01- 迄今,111.01.01,,成大藥品股份有限公司,錠劑,一般學名藥,"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",A02AA04
A020927100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020927,01020927,"PROPRALOL TABLETS ""Y.Y."" (PROPRANOLOL)","""應元""降壓錠(健心寧)",PROPRANOLOL HCL 20 MG,,單方,0.87,103.07.01- 迄今,103.07.01,,應元化學製藥股份有限公司,錠劑,一般學名藥,"PROPRANOLOL , 一般錠劑膠囊劑 , 20.00 MG",C07AA05
A021455335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021455,01021455,"XYLMOL OINTMENT ""SINPHAR""","""杏輝"" 喜癒痔軟膏",LIDOCAINE 50 MG/GM HYDROCORTISONE ACETATE 2.75 MG/GM ALUMINUM ACETATE 35 MG/GM ZINC OXIDE 180 MG/GM,15 GM,複方,38.50,113.04.01- 迄今,113.04.01,,杏輝藥品工業股份有限公司,軟膏劑,一般學名藥,"LIDOCAINE 50MG/GM + HYDROCORTISONE 2.5MG/GM + ZINC OXIDE 180MG/GM + ALUMINUM ACETATE 35MG/GM, 外用軟膏劑, 15.00GM",C05AA01
A021709212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021709,01021709,"TRANEXAMIC ACID INJECTION ""S.Y.""","""壽元""妥敏爽注射液（妥內散敏）",TRANEXAMIC ACID 50 MG/ML,2 ML,單方,4.55,90.04.01- 迄今,90.04.01,,壽元化學工業股份有限公司,注射劑,一般學名藥,"TRANEXAMIC ACID , 注射劑 , 100.00 MG",B02AA02
A022200500,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022200,01022200,"XYLMOL SUPPOSITORY ""SINPHAR""",喜癒痔栓劑,LIDOCAINE 60 MG HYDROCORTISONE ACETATE 5 MG ALUMINUM ACETATE 50 MG ZINC OXIDE 400 MG,,複方,3.24,98.10.01- 迄今,98.10.01,,杏輝藥品工業股份有限公司,栓劑,一般學名藥,"LIDOCAINE 60MG + HYDROCORTISONE 5MG + ZINC OXIDE 400MG + ALUMINUM ACETATE 50MG, 栓劑",C05AA01
A022467100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022467,01022467,"INCALM TABLETS ""SINPHAR""","""杏輝""暈克錠",DIMENHYDRINATE 50 MG CAFFEINE ANHYDROUS 40 MG,,複方,0.53,111.01.01- 迄今,111.01.01,,杏輝藥品工業股份有限公司,錠劑,一般學名藥,"DIPHENHYDRAMINE 50MG + CAFFEINE 40MG, 一般錠劑膠囊劑,",R06AA52
A022905100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022905,01022905,TRANZANSHOW CAPSULES,斷斬血膠囊,TRANEXAMIC ACID 250 MG,,單方,1.27,106.04.01- 迄今,106.04.01,,約克製藥股份有限公司,膠囊劑,一般學名藥,"TRANEXAMIC ACID , 一般錠劑膠囊劑 , 250.00 MG",B02AA02
A023230229,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023230,01023230,"RASEMIN INJECTION 10％ ""Y.Y.""(TRANEXAMIC ACID)","""應元""血明注射液10％（妥內散敏）",TRANEXAMIC ACID 100 MG/ML,10 ML,單方,31.50,109.10.01- 迄今,109.10.01,,應元化學製藥股份有限公司,注射劑,一般學名藥,"TRANEXAMIC ACID , 注射劑 , 1000.00 MG",B02AA02
A023284100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023284,01023284,"NEWZYME TABLETS ""STANDARD""","""生達""速化錠",DIASTASE BIO- 30 MG NEWLASE 10 MG LIPASE 5 MG,,複方,0.57,109.10.01- 迄今,109.10.01,,生達化學製藥股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A023319100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023319,01023319,"CLEMASTINE TABLETS ""CHINTENG""","""井田"" 克敏達錠（延胡索酸可利汀）",CLEMASTINE (FUMARATE) 1 MG,,單方,0.79,107.05.01- 迄今,107.05.01,,井田國際醫藥廠股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
