Product,Company,Source,URL,IsDuplicate
+50,ISA,selenium,https://www.alfabeta.net/precio/50.html,false
100% WHEY PROTEIN,Laboratorio ENA,selenium,https://www.alfabeta.net/precio/100-whey-protein.html,false
102 FOCUS,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-focus.html,false
102 MAGNESIO,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio.html,false
102 MAGNESIO CITRATO,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio-citrato.html,false
102 MAGNESIO GUMMIES,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio-gummies.html,false
102 MUJER,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-mujer.html,false
102 PLUS,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-plus.html,false
102 PLUS EFERVESCENTE,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-plus-efervescente.html,false
102 SPORT BCAA,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-sport-bcaa.html,false
102 VITAMINA C,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-vitamina-c.html,false
3 TC,GlaxoSmithKline Biopharma,selenium,https://www.alfabeta.net/precio/3-tc.html,false
3 TC + AZT ELEA,Elea,selenium,https://www.alfabeta.net/precio/3-tc--azt-elea.html,false
3 TC COMPLEX,GlaxoSmithKline Biopharma,selenium,https://www.alfabeta.net/precio/3-tc-complex.html,false
4 x 4,ISA,selenium,https://www.alfabeta.net/precio/4-x-4.html,false
420 CBD BEAUTY,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-beauty.html,false
420 CBD RELAX,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-relax.html,false
420 CBD TETITA FELIZ PACK,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,false
5 FU,Cassará,selenium,https://www.alfabeta.net/precio/5-fu.html,false
5-ASA 1000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-1000.html,false
5-ASA 2000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-2000.html,false
5-ASA 400,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-400.html,false
5-ASA 4000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-4000.html,false
5-ASA 500,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-500.html,false
5-ASA 800,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-800.html,false
5XR 1000,Ariston,selenium,https://www.alfabeta.net/precio/5xr-1000.html,false
5XR 500,Ariston,selenium,https://www.alfabeta.net/precio/5xr-500.html,false
8 HORAS,Elea,selenium,https://www.alfabeta.net/precio/8-horas.html,false
A ACIDO,Domínguez,selenium,https://www.alfabeta.net/precio/a-acido.html,false
A ACIDO EMOLIENTE,Domínguez,selenium,https://www.alfabeta.net/precio/a-acido-emoliente.html,false
A ACIDO VITAL,Domínguez,selenium,https://www.alfabeta.net/precio/a-acido-vital.html,false
A-VITEL,Medipharma,selenium,https://www.alfabeta.net/precio/a-vitel.html,false
A-VITEL E,Medipharma,selenium,https://www.alfabeta.net/precio/a-vitel-e.html,false
A.H.A,Sempre Giovane,selenium,https://www.alfabeta.net/precio/aha.html,false
ABACAVIR ELEA,Elea,selenium,https://www.alfabeta.net/precio/abacavir-elea.html,false
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,selenium,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,false
ABARAX,Elea,selenium,https://www.alfabeta.net/precio/abarax.html,false
ABAXON,Roemmers,selenium,https://www.alfabeta.net/precio/abaxon.html,false
ABELCET,Teva Argentina,selenium,https://www.alfabeta.net/precio/abelcet.html,false
ABERIC,Biotechno Pharma,selenium,https://www.alfabeta.net/precio/aberic.html,false
ABINTRA,B-Life,selenium,https://www.alfabeta.net/precio/abintra.html,false
ABIRANOVA,Celnova Argentina,selenium,https://www.alfabeta.net/precio/abiranova.html,false
ABIRATERON-A,Lafedar,selenium,https://www.alfabeta.net/precio/abirateron-a.html,false
ABIRATERONA GLENMARK,Glenmark,selenium,https://www.alfabeta.net/precio/abiraterona-glenmark.html,false
ABLOOM,Duncan,selenium,https://www.alfabeta.net/precio/abloom.html,false
ABLOOM 5,Duncan,selenium,https://www.alfabeta.net/precio/abloom-5.html,false
ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,selenium,https://www.alfabeta.net/precio/abnoba-viscum-fraxini.html,false
ABRALUX,Valuge,selenium,https://www.alfabeta.net/precio/abralux.html,false
ABRAXANE,Bristol,selenium,https://www.alfabeta.net/precio/abraxane.html,false
ABRIKAT,Eczane,selenium,https://www.alfabeta.net/precio/abrikat.html,false
ABRILADA,Pfizer,selenium,https://www.alfabeta.net/precio/abrilada.html,false
ABRYSVO,Pfizer,selenium,https://www.alfabeta.net/precio/abrysvo.html,false
AC QUAXA,F & F Farma,selenium,https://www.alfabeta.net/precio/ac-quaxa.html,false
ACALASTATERA,Jayor,selenium,https://www.alfabeta.net/precio/acalastatera.html,false
ACALIX,Roemmers,selenium,https://www.alfabeta.net/precio/acalix.html,false
ACALIX AP,Roemmers,selenium,https://www.alfabeta.net/precio/acalix-ap.html,false
ACALIX CRONOS,Roemmers,selenium,https://www.alfabeta.net/precio/acalix-cronos.html,false
ACANTEX,Siegfried,selenium,https://www.alfabeta.net/precio/acantex.html,false
ACCELON,Olbia Pharma,selenium,https://www.alfabeta.net/precio/accelon.html,false
ACCESORIOS PARA FISTULAS,Coloplast,selenium,https://www.alfabeta.net/precio/accesorios-para-fistulas.html,false
ACCU-CHEK ACTIVE GLUCOSA,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-active-glucosa.html,false
ACCU-CHEK ACTIVE KIT,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-active-kit.html,false
ACCU-CHEK FASTCLIX,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-fastclix.html,false
ACCU-CHEK FASTCLIX KIT,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-fastclix-kit.html,false
ACCU-CHEK FASTCLIX KIT NP,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-fastclix-kit-np.html,false
ACCU-CHEK GUIDE,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-guide.html,false
ACCU-CHEK GUIDE CONTROL,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-guide-control.html,false
ACCU-CHEK GUIDE KIT,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-guide-kit.html,false
ACCU-CHEK PERFORMA 25,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-performa-25.html,false
ACCU-CHEK PERFORMA 50,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-performa-50.html,false
ACCU-CHEK PERFORMA CONTROL,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-performa-control.html,false
ACCU-CHEK SOFTCLIX NEW,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-softclix-new.html,false
ACCU-CHEK SOFTCLIX PUNZADOR,Roche Diabetes,selenium,https://www.alfabeta.net/precio/accu-chek-softclix-punzador.html,false
ACEITE DE ALMENDRAS EWE,Sanitas,selenium,https://www.alfabeta.net/precio/aceite-de-almendras-ewe.html,false
ACEITE DE ALMENDRAS EWE CON GOTERO,Sanitas,selenium,https://www.alfabeta.net/precio/aceite-de-almendras-ewe-con-gotero.html,false
ACEITE DE ARGAN EWE,Sanitas,selenium,https://www.alfabeta.net/precio/aceite-de-argan-ewe.html,false
ACEITE DE CHIA CORMILLOT,Sidus,selenium,https://www.alfabeta.net/precio/aceite-de-chia-cormillot.html,false
ACEITE DE COCO NEUTRO,San Ceferino,selenium,https://www.alfabeta.net/precio/aceite-de-coco-neutro.html,false
ACEITE DE JOJOBA EWE,Sanitas,selenium,https://www.alfabeta.net/precio/aceite-de-jojoba-ewe.html,false
ACEITE DE KRILL,Innovapharma,selenium,https://www.alfabeta.net/precio/aceite-de-krill.html,false
ACEITE DE LAVANDA EWE,Sanitas,selenium,https://www.alfabeta.net/precio/aceite-de-lavanda-ewe.html,false
