"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11065014T","Tradi Pimple Cream","IE Lab Traditional Sdn Bhd"
"2","MAL12035002AZ","Betalin Cream 0.05%w/w","AVERROES PHARMACEUTICALS SDN. BHD."
"3","MAL11105004AZ","DEFUZIN CREAM 2% W/W","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"4","MAL11105005AZ","DEFUZIN-B CREAM","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"5","MAL12055038X","TERBISIL CREAM 1% w/w","AVERROES PHARMACEUTICALS SDN. BHD."
"6","MAL13035057XC","HIRUDOID FORTE CREAM 0.445G/100G","DKSH MALAYSIA SDN. BHD."
"7","MAL12075081XC","Metsal cream","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"8","MAL13115221XZ","Three Legs Tinea-Kare Anti-Fungal Cream 1%w/w","SYARIKAT WEN KEN DRUG SDN. BHD."
"9","MAL13085052AZ","Axcel MOMETASONE 0.1% CREAM","KOTRA PHARMA (M) SDN. BHD."
"10","MAL12095099X","Binafine Cream 1% w/w","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"11","MAL12065088X","Voltex Cream","DKSH MALAYSIA SDN. BHD."
"12","MAL14015020XCRZ","Canesten Clotrimazole Cream 1%w/w","BAYER CO. (MALAYSIA) SDN. BHD."
"13","MAL16025040ACZ","Canesten HC Cream","BAYER CO. (MALAYSIA) SDN. BHD."
"14","MAL14085053XCRZ","Canesten V Cream 1% w/w","BAYER CO. (MALAYSIA) SDN. BHD."
"15","MAL15025041AZ","FUSIDASOL CREAM","Y.S.P. INDUSTRIES (M) SDN. BHD."
"16","MAL14125074AZ","FUSTADIN CREAM 2% w/w","Y.S.P. INDUSTRIES (M) SDN. BHD."
"17","MAL14035052T","NR P'lis Cream","MISB RESOURCES SDN. BHD."
"18","MAL14075045X","Shine J-CARE Cream","Y.S.P. INDUSTRIES (M) SDN. BHD."
"19","MAL14035052XCZ","Betadine Antiseptic Cream 5% w/w","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"20","MAL16075024AZ","HYDROSONE CREAM 1% W/W","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"21","MAL16025044AZ","XORSONE 1:10 Cream","Xorix Sdn Bhd"
"22","MAL18046152AZ","CLOBESOL CREAM 0.05% W/W","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"23","MAL16065050AZ","Creobic DA (Double Action) Cream","KOTRA PHARMA (M) SDN. BHD."
"24","MAL17015014XCZ","Combitem Cream 1% w/w","Gab Sdn Bhd"
"25","MAL15065027XZ","WINA AQUEOUS CREAM","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"26","MAL17035018XCZ","Guardian Anti-Fungal Cream 1% w/w","GUARDIAN HEALTH AND BEAUTY SDN. BHD."
