"#","Registration No / Notification No","Product Name","Holder"
"1","MAL14055152AZ","IOPROST Latanoprost Eye Drops Solution 0.005% w/v","UNIMED SDN. BHD."
"2","MAL12115063AZ","SHINACOL EYE DROPS 0.5%","Y.S.P. INDUSTRIES (M) SDN. BHD."
"3","MAL12115064AZ","SHINADEX EYE DROPS","Y.S.P. INDUSTRIES (M) SDN. BHD."
"4","MAL13125012AZ","OCUDOR Dorzolamide Hydrochloride Eye Drops 2% w/v","UNIMED SDN. BHD."
"5","MAL13085021N","Vita-Strath Drops","NGL TRADING SDN BHD"
"6","MAL15065034AZ","IOBRIM EYE DROPS ( Brimonidine Tartrate 0.2% w/v )","UNIMED SDN. BHD."
"7","MAL17035029AZ","TRAVO EYE DROPS 0.004% W/V","Gopharma Sdn. Bhd."
"8","MAL15085079AZ","Cetraxal Plus Ear Drops Solution","HYPHENS PHARMA SDN. BHD."
"9","MAL15065020AZ","Cetraxal 2mg/ml Ear Drops Solution","HYPHENS PHARMA SDN. BHD."
"10","MAL17015019AZ","OPTIHIST EYE DROPS 0.05% w/v","Gopharma Sdn. Bhd."
"11","MAL16105031AZ","OPTICLATE EYE DROPS 2.0% W/V","Gopharma Sdn. Bhd."
"12","MAL15085075AZ","B-MYCIN EYE & EAR DROPS","Y.S.P. INDUSTRIES (M) SDN. BHD."
"13","MAL18121003ARZ","GANFORT PF Eye Drops","ABBVIE SDN BHD"
"14","MAL16015044AZ","ZANAFLOX EYE DROPS 0.5% W/V","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"15","MAL18016022AZ","Latanostill 50mcg/ml Eye Drops Solution","IMAGE PHARMA SDN BHD"
"16","MAL17015025ACZ","PROSDROP 0.05mg/ml EYE DROPS, SOLUTION","LOTUS HEALTHCARE MALAYSIA SDN. BHD."
"17","MAL16085016ARZ","SIMBRINZA 10mg/ml + 2mg/ml eye drops, suspension","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"18","MAL17085069ARZ","IZBA 30 micrograms/mL eye drops, solution","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"19","MAL17075029ACZ","Xalaprost 0.005%w/v Eye Drops","Aspen Medical Products Malaysia Sdn Bhd"
"20","MAL17075028ACZ","Combi-Prost Eye Drops","Aspen Medical Products Malaysia Sdn Bhd"
"21","MAL17015027AZ","Xylocon 0.025% Nasal Drops","MEDISPEC (M) SDN. BHD."
"22","MAL17015028AZ","Xylocon 0.05% Nasal Drops","MEDISPEC (M) SDN. BHD."
"23","MAL16105018X","Optishine Vitreo Eye Drops","Y.S.P. INDUSTRIES (M) SDN. BHD."
"24","MAL18026001ACZ","Ikervis 1mg/mL eye drops, emulsion","SANTEN PHARMA MALAYSIA SDN. BHD."
"25","MAL18106141AZ","ZOLAMIDOL (Dorzolamide 2% + Timolol 0.5% Eye Drops)","ARMS PHARMA SDN. BHD."
"26","MAL15010008TC","Hurix's Toothache Drops (With Clove Oil)","JIN BIN CORPORATION SDN. BHD."
"27","MAL20031768X","APPETON MULTIVITAMIN PLUS INFANT DROPS","KOTRA PHARMA (M) SDN. BHD."
"28","MAL06091463XC","BioGaia Probiotic drops","Pharma Ace Sdn. Bhd."
"29","MAL19890184AZ","Alcon Atropine Sulfate 1% Eye Drops","ALCON LABORATORIES (MALAYSIA) SDN. BHD."
"30","MAL19890539AZ","CLOPIXOL DROPS 20MG/ML","Lundbeck Malaysia Sdn. Bhd."
"31","MAL19913211ACZ","FUCITHALMIC VISCOUS EYE-DROPS","DKSH MALAYSIA SDN. BHD."
"32","MAL19940322ARZ","ZYRTEC ORAL DROPS 10MG/ML","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"33","MAL19990992ACRZ","CATAFLAM 1.5% DROPS","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"34","MAL20000037ACRZ","XALATAN 0.005% EYE DROPS","VIATRIS SDN. BHD."
"35","MAL20081812ARZ","COMBIGAN EYE DROPS (Brimonidine tartrate 2mg/ml and timolol 5mg/ml opthalmic solution)","ABBVIE SDN BHD"
"36","MAL20081836ARZ","GANFORT EYE DROPS","ABBVIE SDN BHD"
"37","MAL20081848ARZ","DUO TRAV EYE DROPS","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"38","MAL20091944ARZ","AZARGA 10MG/ML + 5MG/ML EYE DROPS, SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"39","MAL19860033AZ","ENCLOR EAR DROPS 5% W/V","INSPIRAPHARMA SDN. BHD."
"40","MAL19870792AZ","ILIADIN  0.025% DECONGESTANT NASAL DROPS","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"41","MAL19870787AZ","ILIADIN 0.05%  DECONGESTANT NASAL DROPS","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"42","MAL19860741AZ","XEPANICOL EAR DROPS 5% W/V","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"43","MAL19860736AZ","XEPANICOL EYE DROPS 0.5%","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"44","MAL19871175AZ","DEXTRACIN EYE/EAR DROPS","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"45","MAL19871130AZ","OTEK-P EAR DROPS","UNIMED SDN. BHD."
"46","MAL19871220AZ","POCIN H EAR DROPS","DUOPHARMA MANUFACTURING (BANGI) SDN. BHD."
"47","MAL19900407AZ","GENTA-DEX EYE DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"48","MAL19900055AZ","ALLERSINE EYE DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"49","MAL19910022AZ","OPTIZOLINE EYE DROPS","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"50","MAL19950530AZ","ANTILERG-F EYE DROPS","PAHANG PHARMACY SDN. BHD."
"51","MAL19986455ACZ","TIMOLOL-POS 0.5% EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"52","MAL19986456ACZ","ALLERGOCROM EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"53","MAL19985521ACZ","GENTAMICIN-POS EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"54","MAL19990571AZ","IOTIM EYE DROPS 0.5%","IDAMAN PHARMA SDN. BHD."
"55","MAL19988443AZ","DEXA-GENTAMICIN EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"56","MAL19987337ACZ","TIMO-COMOD 0.5% EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"57","MAL20000024ACZ","ALLERGO-COMOD EYE DROPS","PHARMAFORTE (MALAYSIA) SDN. BHD."
"58","MAL20040821AZ","AXCEL OXYMETAZOLINE 0.025% NASAL DROPS","KOTRA PHARMA (M) SDN. BHD."
"59","MAL20021172ACZ","ILIADIN 0.01% DECONGESTANT NASAL DROPS","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"60","MAL06091353AZ","BACTIGEN  EYE  DROPS  0.3%W/V","UNIMED SDN. BHD."
"61","MAL06091354AZ","IOBET  EYE  DROPS 0.5% W/V","UNIMED SDN. BHD."
"62","MAL08111769AZ","Vanmycetin Eye Drops (Chloramphenicol Eye Drops 0.5% w/v)","UNIMED SDN. BHD."
"63","MAL14050001AZ","Dexatrol Eye Drops","AVERROES PHARMACEUTICALS SDN. BHD."
"64","MAL10021807AZ","Zoxan Eye Drops 0.3% w/v","UNIMED SDN. BHD."
"65","MAL12020006AZ","PYRICORT  EYE DROPS","UNIMED SDN. BHD."
"66","MAL10110022AZ","NICOL EYE DROPS 0.5%W/V","DUOPHARMA (M) SENDIRIAN BERHAD"
"67","MAL10110024AZ","BETACIN EYE/EAR DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"68","MAL10110025AZ","NEO DECA EYE/EAR DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"69","MAL10110027AZ","BETAGEN EYE/EAR DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"70","MAL10033194AZ","LATANDROPS 0.005%W/V EYE DROPS","MMS PHARMA (MALAYSIA) SDN. BHD."
"71","MAL20132336AZ","Allercrom Eye drops 2% W/V","UNIMED SDN. BHD."
"72","MAL20152476AEZ","Myopine Eye Drops 0.01% w/v","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"73","MAL19900331AZ","CANDID EAR DROPS 1%","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"74","MAL19911464X","SOLUWAX EAR DROPS","HOE PHARMACEUTICALS SDN. BHD."
"75","MAL19913212XC","ONE-ALPHA DROPS","DKSH MALAYSIA SDN. BHD."
"76","MAL19973559XC","EYE MO REGULAR EYE DROPS","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"77","MAL10043701XZ","Saferon Drops 50mg/ml","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"78","MAL10120046X","EYE GLO PLUS EYE DROPS","DUOPHARMA (M) SENDIRIAN BERHAD"
"79","MAL11010035X","EYE GLO RELIEF EYE DROPS 0.25%w/v","DUOPHARMA (M) SENDIRIAN BERHAD"
"80","MAL14110181HAC","Clavamox Drops","Zoetis Malaysia Sdn. Bhd."
"81","MAL06071054AZ","Cipmax Eye Drops 0.3%W/V, 5 ml bottle","PHARMAFORTE (MALAYSIA) SDN. BHD."
"82","MAL11030096AZ","BEAGENTA EYE/EAR DROPS 0.3%W/V","DUOPHARMA (M) SENDIRIAN BERHAD"
"83","MAL17107036ACREZ","hovid Ciprofloxacin Eye Drops 0.3% w/v","HOVID BERHAD"
"84","MAL17107038ACREZ","hovid Ofloxacin Eye Drops 0.3% w/v","HOVID BERHAD"
"85","MAL17117033ACRE","hovid Gentamicin Eye Drops 0.3% w/v","HOVID BERHAD"
"86","MAL19056112AZ","PROSTACOM (LATANOPROST 0.05 MG/ML AND TIMOLOL  5MG/ML, EYE DROPS)","ARMS PHARMA SDN. BHD."
"87","MAL19056031AZ","Xalanol Eye Drops","Vitamode  Sdn.bhd"
"88","MAL19056032AZ","Bexiprost  0.005%w/v Eye Drops","Vitamode  Sdn.bhd"
"89","MAL19036013AZ","Olopan 0.1%w/v Eye Drops","Vitamode  Sdn.bhd"
