Product,Company,Source,URL,IsDuplicate
TANVIMIL EBA,Megalabs Argentina,selenium,https://www.alfabeta.net/precio/tanvimil-eba.html,FALSE
100% WHEY PROTEIN,Laboratorio ENA,selenium,https://www.alfabeta.net/precio/100-whey-protein.html,FALSE
102 FOCUS,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-focus.html,FALSE
102 MAGNESIO,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio.html,FALSE
102 MAGNESIO CITRATO,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio-citrato.html,FALSE
102 MAGNESIO GUMMIES,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-magnesio-gummies.html,FALSE
102 MUJER,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-mujer.html,FALSE
102 PLUS,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-plus.html,FALSE
102 PLUS EFERVESCENTE,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-plus-efervescente.html,FALSE
102 SPORT BCAA,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-sport-bcaa.html,FALSE
102 VITAMINA C,Laboratorio Millet,selenium,https://www.alfabeta.net/precio/102-vitamina-c.html,FALSE
3 TC,GlaxoSmithKline Biopharma,selenium,https://www.alfabeta.net/precio/3-tc.html,FALSE
3 TC + AZT ELEA,Elea,selenium,https://www.alfabeta.net/precio/3-tc--azt-elea.html,FALSE
3 TC COMPLEX,GlaxoSmithKline Biopharma,selenium,https://www.alfabeta.net/precio/3-tc-complex.html,FALSE
4 x 4,ISA,selenium,https://www.alfabeta.net/precio/4-x-4.html,FALSE
420 CBD BEAUTY,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-beauty.html,FALSE
420 CBD RELAX,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-relax.html,FALSE
420 CBD TETITA FELIZ PACK,IQUISA,selenium,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,FALSE
5 FU,Cassará,selenium,https://www.alfabeta.net/precio/5-fu.html,FALSE
5-ASA 1000,Domínguez,selenium,https://www.alfabeta.net/precio/5-asa-1000.html,FALSE
