"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12035009X","Maalox oral suspension in sachet","DKSH MALAYSIA SDN. BHD."
"2","MAL15045058AZ","Azithromycin Powder For Oral Suspension 200mg/5ml Lesvi Lab","ZIWELL MEDICAL SDN. BHD."
"3","MAL12065067AZ","Clopine 50mg/ml oral suspension","SCHMIDT BIOMEDTECH SDN. BHD."
"4","MAL13015035AZ","Z MOX 125 ORAL SUSPENSION","UNIMED SDN. BHD."
"5","MAL11085006X","Laxstoo Oral Suspension 800mg/5ml","HOE PHARMACEUTICALS SDN. BHD."
"6","MAL12065070AZ","Telfast 30mg/5ml Oral Suspension","DKSH MALAYSIA SDN. BHD."
"7","MAL13115134ASZ","Mixtard� 30 100 IU/ml Suspension for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"8","MAL13115135ASZ","Insulatard� 100 IU/ml Suspension for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"9","MAL14115024X","FOTAGEL SUSPENSION 3g/20ml  (DIOCTAHEDRAL SMECTITE)","IMEKS PHARMA SDN. BHD."
"10","MAL12085088X","Enterogermina 2 Billions/5 ml oral suspension","DKSH MALAYSIA SDN. BHD."
"11","MAL16025032ARZ","Pamorelin Powder for Suspension for Injection 3.75 mg","Orient Europharma (M) Sdn Bhd"
"12","MAL13035045AZ","DIPHERELINE P.R. POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION 11.25 mg/vial","ZUELLIG PHARMA SDN. BHD."
"13","MAL13085059AZ","Infasurf Intratracheal Suspension 35mg/mL","Transmedic Healthcare Sdn. Bhd."
"14","MAL12055031ACRZ","Dilantin Oral Suspension 125mg/5ml","VIATRIS SDN. BHD."
"15","MAL13045046AZ","Hidrasec Infants 10mg Granules for Oral Suspension","ABBOTT LABORATORIES (M) SDN. BHD."
"16","MAL13045048AZ","Hidrasec Children 30mg Granules for Oral Suspension","ABBOTT LABORATORIES (M) SDN. BHD."
"17","MAL14095051AZ","AXCEL CEFUROXIME-125 FOR ORAL SUSPENSION (125MG/5ML)","KOTRA PHARMA (M) SDN. BHD."
"18","MAL13025033ARZ","IMOJEV� Powder and diluent* for suspension for injection Japanese encephalitis vaccine (live, attenuated) * 0.4 % Sterile Sodium chloride solution","ZUELLIG PHARMA SDN. BHD."
"19","MAL14085017AZ","Zynomax Powder For Oral Suspension 200mg/5ml","Duopharma Marketing Sdn. Bhd."
"20","MAL13075068ARZ","Hexaxim Suspension for Injection","SANOFI-AVENTIS (MALAYSIA) SDN. BHD."
"21","MAL15045153HAR","Cofamox 15 LA Suspension for Injection","Rhone Ma Malaysia Sdn Bhd"
"22","MAL14125061ACRZ","Abraxane for Injectable Suspension 100mg","DKSH MALAYSIA SDN. BHD."
"23","MAL14125170HA","Trissen 48 Oral Suspension","LAI NGIT SEN SDN. BHD."
"24","MAL18016081XZ","Paracap Paracetamol 120mg/5ml Oral Suspension","Health Pharm Marketing Sdn Bhd"
"25","MAL16035027AZ","Axcel Cephalexin-250 Suspension","KOTRA PHARMA (M) SDN. BHD."
"26","MAL17035048ASZ","NovoMix 30 FlexPen 100U/ML Suspension for injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"27","MAL15055036X","FlameX Suspension","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"28","MAL18016021AZ","Megex-I Suspension 800mg/20ml","IMEKS PHARMA SDN. BHD."
"29","MAL16105048ARZ","Signifor LAR 20mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"30","MAL16105049ARZ","Signifor LAR 40mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"31","MAL16105050ARZ","Signifor LAR 60mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"32","MAL15095032XZ","hovid-Paracetamol Suspension 250mg/5ml (Sugar Free)","HOVID BERHAD"
"33","MAL16085016ARZ","SIMBRINZA 10mg/ml + 2mg/ml eye drops, suspension","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"34","MAL18121001AZ","Nurofen for Children Orange Sugar Free Suspension 200mg/5ml","RECKITT BENCKISER (MALAYSIA) SDN. BHD."
"35","MAL16015032HA","Hanceft 5% w/v Suspension for Injection","Nam Pharma Sdn. Bhd."
"36","MAL18116081AZ","BLES (bovine lipid extract surfactant) 27 mg/ml Suspension for Intratracheal Instillation","AVERROES PHARMACEUTICALS SDN. BHD."
"37","MAL18026186AZ","Abilify Maintena 400 mg powder and solvent for prolonged-release suspension for injection","Lundbeck Malaysia Sdn. Bhd."
"38","MAL17107008ASZ","Insulatard 100 IU/ml Suspension for Injection in Vial","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"39","MAL17107009ASZ","Mixtard 30 100 IU/ml Suspension for Injection in Vial","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"40","MAL18016051AZ","Avoxred (Azacitidine) powder for suspension for injection 100 mg/vial","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"41","MAL18116082ARZ","Pamorelin 11.25 mg powder for suspension for injection.","Orient Europharma (M) Sdn Bhd"
"42","MAL18116083ARZ","Pamorelin 22.5 mg powder for suspension for injection.","Orient Europharma (M) Sdn Bhd"
"43","MAL19940588XC","WORMNIL SUSPENSION 250MG/5ML","ZONTRON PHARMACEUTICALS SDN. BHD."
"44","MAL19910645X","DYNA PAR (WORM SUSPENSION) 125MG/5ML","DYNAPHARM (M) SDN. BHD."
"45","MAL19988504XZ","IDAMAN PHARMA ALBENDAZOLE SUSPENSION 200MG/5ML","INSPIRAPHARMA SDN. BHD."
"46","MAL19871425ARZ","Engerix-B 20 Adult Dose Suspension for Injection","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"47","MAL19880327ARZ","Engerix-B 10 Junior Dose Suspension for Injection","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"48","MAL19986464AZ","Mixtard� 30 100 IU/ml Suspension for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"49","MAL19987352AZ","Insulatard� 100 IU/ml Suspension for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"50","MAL20001541ARZ","AVAXIM-SUSPENSION FOR INJ IN A PREFILLED SYRINGE","SANOFI-AVENTIS (MALAYSIA) SDN. BHD."
"51","MAL20040739AZ","NOVOMIX� 30 FLEXPEN�  SUSPENSION FOR INJECTION","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"52","MAL20061478ARZ","AVAXIM 80U PEDIATRIC SUSPENSION FOR INJECTION","SANOFI-AVENTIS (MALAYSIA) SDN. BHD."
"53","MAL20061585ARZ","Influvac Suspension for Injection","ABBOTT LABORATORIES (M) SDN. BHD."
"54","MAL20061596ARZ","GARDASIL SUSPENSION FOR INJECTION","MERCK SHARP & DOHME (MALAYSIA) SDN. BHD."
"55","MAL20071726ARZ","CERVARIX SUSPENSION FOR INJECTION","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"56","MAL20071722ARZ","ADACEL SUSPENSION FOR INJECTION","SANOFI-AVENTIS (MALAYSIA) SDN. BHD."
"57","MAL20102047AZ","PREVENAR 13 SUSPENSION FOR INJECTION","PFIZER (MALAYSIA) SDN. BHD."
"58","MAL19870511AZ","DEPO-MEDROL Sterile Aqueous Suspension 40mg/mL","PFIZER (MALAYSIA) SDN. BHD."
"59","MAL19890182ARZ","MAXIDEX OPHTHALMIC SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"60","MAL19890183ACRZ","MAXITROL SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"61","MAL19880350ACRZ","ZOVIRAX SUSPENSION 200MG/5ML","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"62","MAL19872253AZ","MOTILIUM ORAL SUSPENSION 1MG/ML","JOHNSON & JOHNSON SDN. BHD."
"63","MAL19890346ARZ","PRED FORTE STERILE OPHTHALMIC SUSPENSION","ABBVIE SDN BHD"
"64","MAL19920042ARZ","TOBRADEX OPHTHALMIC SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"65","MAL19921571ARZ","Zinnat Suspension 125mg/5ml","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"66","MAL19930547ARZ","SURVANTA INTRATRACHEAL SUSPENSION","ABBVIE SDN BHD"
"67","MAL19950176AZ","KLACID GRANULES FOR ORAL SUSPENSION","ABBOTT LABORATORIES (M) SDN. BHD."
"68","MAL19970271ACZ","ZITHROMAX POWDER FOR ORAL SUSPENSION","PFIZER (MALAYSIA) SDN. BHD."
"69","MAL19986950ARZ","AUGMENTIN SUSPENSION 228MG/5ML","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"70","MAL20000728ARZ","ZINNAT SUSPENSION 250MG/5ML","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"71","MAL20013757AZ","KLACID GRANULES 250MG/5ML PEDIATRIC SUSPENSION","ABBOTT LABORATORIES (M) SDN. BHD."
"72","MAL20041107ARSZ","AZOPT 10MG/ML OPHTHALMIC SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"73","MAL20071704AZ","LOTEMAX STERILE OPHTHALMIC SUSPENSION","Bausch & Lomb (Malaysia) Sdn. Bhd."
"74","MAL20071669ACZ","VFEND POWDER FOR ORAL SUSPENSION 40MG/ML","PFIZER (MALAYSIA) SDN. BHD."
"75","MAL08042445AZ","Brufen� Suspension 100mg/5ml","ABBOTT LABORATORIES (M) SDN. BHD."
"76","MAL20081732ARZ","NEVANAC OPHTHALMIC SUSPENSION 0.1%","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"77","MAL20091932ACRZ","NOXAFIL ORAL SUSPENSION","MERCK SHARP & DOHME (MALAYSIA) SDN. BHD."
"78","MAL20091944ARZ","AZARGA 10MG/ML + 5MG/ML EYE DROPS, SUSPENSION","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"79","MAL20101997ACRZ","VIDAZA POWDER FOR SUSPENSION FOR INJECTION 100 MG /VIAL","DKSH MALAYSIA SDN. BHD."
"80","MAL20102031AZ","INVEGA SUSTENNA 50 MG PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION","JOHNSON & JOHNSON SDN. BHD."
"81","MAL20102032AZ","INVEGA SUSTENNA 75 MG PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION","JOHNSON & JOHNSON SDN. BHD."
"82","MAL20102033AZ","INVEGA SUSTENNA 100 MG PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION","JOHNSON & JOHNSON SDN. BHD."
"83","MAL20102034AZ","INVEGA SUSTENNA 150 MG PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION","JOHNSON & JOHNSON SDN. BHD."
"84","MAL19860047AZ","ERICIN FOR ORAL SUSPENSION 200MG/5ML","INSPIRAPHARMA SDN. BHD."
"85","MAL19860234AZ","B.S. SUSPENSION","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"86","MAL19860231AZ","SUPRIM SUSPENSION","HOVID BERHAD"
"87","MAL19860675AZ","ERYSOL FOR ORAL SUSPENSION 200MG/5*","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"88","MAL19861036AZ","FENAGESIC SUSPENSION 125MG/5ML","SUNWARD PHARMACEUTICAL SDN. BHD."
"89","MAL19861035AZ","MEFA SUSPENSION 50MG/5ML","ROYCE PHARMA MANUFACTURING SDN. BHD."
"90","MAL19860670AZ","ETTROCIN FOR SUSPENSION 200MG/5ML","ROYCE PHARMA MANUFACTURING SDN. BHD."
"91","MAL19890408AZ","Ampicilla Powder for Oral Suspension 125mg/5ml","INSPIRAPHARMA SDN. BHD."
