"#","Registration No / Notification No","Product Name","Holder"
"1","MAL15015046AZ","Tapicin Powder For Injection 4.5g","Y.S.P. INDUSTRIES (M) SDN. BHD."
"2","MAL16025030AZ","Cefim Powder for Injection 0.5g","Y.S.P. INDUSTRIES (M) SDN. BHD."
"3","MAL12045005AZ","Posicaine 200 (Articaine Hydrochloride 4% with Epinephrine/Adrenaline 1:200,000 Injection)","Galla Dental Corporation Sdn Bhd"
"4","MAL14125063AZ","CEFMEX 500MG POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"5","MAL14125064AZ","CEFMEX 1G POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"6","MAL12085058AZ","HuMoG   150IU Powder for Injection","BSV BIOSCIENCE MALAYSIA SDN. BHD."
"7","MAL12055017AZ","Foliculin Injection 150IU (Urofollitropin for injection BP-Freeze Dried)","BSV BIOSCIENCE MALAYSIA SDN. BHD."
"8","MAL15095019ACZ","Ultiva Injection 1mg","Aspen Medical Products Malaysia Sdn Bhd"
"9","MAL12055029AZ","Octocaine 100 (Lidocaine HCl 2% and Epinephrine (Adrenaline) 1:100,000 Injection)","Galla Dental Corporation Sdn Bhd"
"10","MAL13035046AZ","ARASID INJECTION BP 100MG/ML","ACCORD HEALTHCARE SDN.BHD."
"11","MAL12025082ACRZ","SIMPONI SOLUTION FOR INJECTION","JOHNSON & JOHNSON SDN. BHD."
"12","MAL14035050ACZ","XINCLAV 1.2g (Amoxicillin and Clavulanate potassium for Injection 1.2 g)","HEALOL PHARMACEUTICALS SDN. BHD."
"13","MAL12085052AZ","Somatuline Autogel 60mg, prolonged-release solution for injection in a pre-filled syringe","ZUELLIG PHARMA SDN. BHD."
"14","MAL13085046AZ","DUOPERAZONE 1G POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"15","MAL13055075ARZ","Firmagon 80mg Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"16","MAL13055074ARZ","Firmagon 120mg Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"17","MAL14055016AZ","Dexamed Injection 8mg/2ml","KOMEDIC SDN BHD"
"18","MAL12085053AZ","Somatuline Autogel 90mg, prolonged-release solution for injection in a pre-filled syringe","ZUELLIG PHARMA SDN. BHD."
"19","MAL12085051AZ","Somatuline Autogel 120mg, prolonged-release solution for injection in a pre-filled syringe","ZUELLIG PHARMA SDN. BHD."
"20","MAL13115202ACZ","Burinex Injection 0.5mg/ml (4ml)","DKSH MALAYSIA SDN. BHD."
"21","MAL12035084ACZ","Zarzio 30 MU/0.5 ml solution for injection or infusion","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"22","MAL14055149AZ","Eurythmic 50mg/ml Injection","UNIMED SDN. BHD."
