Registration No,Product Name,Holder
MAL07101253AZ,Axcel Cimetidine 200 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL19962087AZ,INFUSOL NS,AIN MEDICARE SDN. BHD.
MAL18116078AZ,Fucon Solution for Injection 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19913261AZ,BETAWIN TABLET 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014217AZ,AXCEL CEPHALEXIN-500 CAPSULE,KOTRA PHARMA (M) SDN. BHD.
MAL20032425AZ,MELOX 7.5MG TABLETS,KOMEDIC SDN BHD
MAL19988555XZ,APPETON ESSENTIALS FOLIC ACID TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19871725AZ,DIPHENDRYL EXPECTORANT,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL20096012AZ,Rosuvor Film Coated Tablet 20mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19950161AZ,ACUGESIC CAPSULE 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014493AZ,CEF-3 INJECTION IV (500MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL19910599XC,HURIX'S ANTACID TABLET,JIN BIN CORPORATION SDN. BHD.
MAL20014496AZ,CEF-3 INJECTION IM (500MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL06071077AZ,Sonap Forte Caplet 550mg,IMEKS PHARMA SDN. BHD.
MAL19900184AZ,MODURIDE TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19870696AZ,DUINUM TABLET 50MG,KOMEDIC SDN BHD
MAL14095051AZ,AXCEL CEFUROXIME-125 FOR ORAL SUSPENSION (125MG/5ML),KOTRA PHARMA (M) SDN. BHD.
MAL12055023AZ,Ceritec Syrup 1mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08021472AZ,Vesyca Injection 25mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19986501AZ,VIRLESS TABLET 800MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19992588AZ,AXCEL SALBUTAMOL SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL08042477AZ,GEMITA for Injection 1G,FRESENIUS KABI MALAYSIA SDN. BHD
MAL05101673AZ,Magurol 4 mg tablets,KOMEDIC SDN BHD
MAL14075045X,Shine J-CARE Cream,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10021802AZ,PANTOR 40MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19984125XC,NIXODERM OINTMENT,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD
MAL22076018AZ,TAMINFATE (Protamine Sulfate 10mg/mL Solution for Injection),AIN MEDICARE SDN. BHD.
MAL17117043XZ,UniRINS CG (Chlorhexidine Gluconate 0.05% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL19986498AZ,YUCOMY TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21016018XCZ,BioWell TERRAFAST 500mg TABLET,Vismedic Sdn. Bhd.
MAL20033520XZ,Paracil Tablet 650mg,SM PHARMACEUTICALS SDN. BHD.
MAL19987004AZ,VOREN SUPPOSITORIES 12.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09011420AZ,Brot 850mg Tablets,KOMEDIC SDN BHD
MAL10053666AZ,EPIMATE 100 TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL20040824X,DERMAFIN CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19993045AZ,INFUSOL D20,AIN MEDICARE SDN. BHD.
MAL20013770AZ,AXCEL MEFENAMIC ACID SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL19962584AZ,ASUMALIFE SYRUP (1MG/5ML KETOTIFEN),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09032007AZ,Axcel Oxymetazoline 0.05% Nasal Spray,KOTRA PHARMA (M) SDN. BHD.
MAL13035064AZ,SII Tetanus Toxoid Vaccine Adsorbed,SM PHARMACEUTICALS SDN. BHD.
MAL20040565AZ,MEDOPRAZOLE CAPSULE 20MG,KOMEDIC SDN BHD
MAL19940561X,QUEMOX TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
