detail_url,brand_full,ddd_text,currency,price_per_day,price_per_week,price_per_month,price_per_six_months,reimbursed_per_day,extra_payment_per_day
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml","€ 6,46",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 10 ml INJECTIEVLOEISTOF 50 mg / ml","€ 6,69",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 20 ml INJECTIEVLOEISTOF 50 mg / ml","€ 8,44",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 50 ml INJECTIEVLOEISTOF 50 mg / ml","€ 21,10",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 100 ml INJECTIEVLOEISTOF 50 mg / ml","€ 42,20",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml","€ 6,46",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 10 ml INJECTIEVLOEISTOF 50 mg / ml","€ 6,69",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 20 ml INJECTIEVLOEISTOF 50 mg / ml","€ 8,44",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 50 ml INJECTIEVLOEISTOF 50 mg / ml","€ 21,10",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 100 ml INJECTIEVLOEISTOF 50 mg / ml","€ 42,20",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"ZIAGEN ,
        DRANK 20 mg / ml","0,6 g",€,11.28,78.96,338.4,,11.28,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"GENERIEK ,
        TABLET 300 mg","0,6 g",€,7.73,54.11,231.9,,7.73,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"ZIAGEN ,
        TABLET 300 mg","0,6 g",€,7.8,54.6,234.0,,7.8,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,"GENERIEK ,
        TABLET 600/300 mg",1 stuks,€,2.09,14.63,62.7,380.38,2.09,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,"KIVEXA ,
        TABLET 600/300 mg",1 stuks,€,9.39,65.73,281.7,,9.39,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine_zidovudine,"TRIZIVIR ,
        TABLET 300/150/300 mg",2 stuks,€,14.91,104.37,447.3,,14.91,0.0
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abaloparatide,"ELADYNOS , 1,5 ml INJECTIEVLOEISTOF 2 mg / ml","€ 272,11",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 1 ml INJECTIEVLOEISTOF 125 mg / ml","€ 262,79",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 0,4 ml INJECTIEVLOEISTOF 125 mg / ml","€ 105,11",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 0,7 ml INJECTIEVLOEISTOF 125 mg / ml","€ 183,95",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 1 ml INJECTIEVLOEISTOF 125 mg / ml","€ 262,79",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 250 mg POEDER VOOR OPLOSSING VOOR INFUSIE 250 mg","€ 355,42",,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,"VERZENIOS ,
        TABLET 100 mg","0,3 g",€,111.06,777.42,,,0.0,111.06
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,"VERZENIOS ,
        TABLET 150 mg","0,3 g",€,73.96,517.72,,,0.0,73.96
