Tender ID,Tender Title,TENDERING AUTHORITY,PROVINCE,Closing Date,Price Evaluation ratio,Quality Evaluation ratio,Other Evaluation ratio,Lot Number,Unique Lot ID,Generic name,Lot Title,Quantity,Source URL
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,1.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,70 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,2.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,70 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,3.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,32 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,4.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,29 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,5.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,24 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,6.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LAJUELAS. SEGUN EE.TT ADJUNTAS.,21 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,7.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA LICEO TECNICO PUENTE ÑUBLE. SEGUN EE.TT ADJUNTAS.,151 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,8.0,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS. SEGUN EE.TT ADJUNTAS.,82 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,San Nicolás,23-06-2025 15:01:00,,,100.0,9.0,53101801,Abrigos y chaquetas para niño,"PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS ""ANEXO"". SEGUN EE.TT ADJUNTAS.",266 Unidad,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
564953-71-LE25,PROGRAMA DE CAPACITACIÓN Y FORMACIÓN CORP LC 2025,CORP DE EDUCACION Y SALUD DE LAS CONDES,Las Condes,10-06-2025 13:30:00,,,100.0,1.0,80111504,"Formación, capacitación y entrenamiento de personal",GRUPO DE CAPACITACIÓN 1: - Curso Manejo del estrés y autocuidado - Trato al usuario en APS - Herramientas para el trabajo en equipo y liderazgo,1 Unidad no definida,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
