award_date,source_url,lot_number,un_classification_code,item_title,buyer_specifications,lot_quantity,lot_total_line_raw,lot_total_line,HAS_AWARD,LOT_RESULT,AWARDED_SUPPLIER,AWARDED_UNIT_PRICE,AWARDED_AMOUNT,source_tender_url
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,1,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,70,2.226.000,2226000.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,2,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,70,2.226.000,2226000.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,3,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,32,1.017.600,1017600.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,1017600.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,4,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,29,922.200,922200.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,922200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,5,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,24,763.200,763200.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,763200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,6,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LAJUELAS. SEGUN EE.TT ADJUNTAS.,21,667.800,667800.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,667800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,7,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA LICEO TECNICO PUENTE ÑUBLE. SEGUN EE.TT ADJUNTAS.,151,4.801.800,4801800.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,4801800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,8,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS. SEGUN EE.TT ADJUNTAS.,82,2.607.600,2607600.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,2607600.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,9,53101801,Abrigos y chaquetas para niño,"PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS ""ANEXO"". SEGUN EE.TT ADJUNTAS.",266,8.458.800,8458800.0,YES,Awarded,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,31800.0,8458800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,1,80111504,"Formación, capacitación y entrenamiento de personal",GRUPO DE CAPACITACIÓN 1: - Curso Manejo del estrés y autocuidado - Trato al usuario en APS - Herramientas para el trabajo en equipo y liderazgo,1,6.280.000,6280000.0,YES,Awarded,76.028.883-7 LIZANA Y LIZANA CAPACITACION LIMITADA,6280000.0,6280000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,2,80111504,"Formación, capacitación y entrenamiento de personal",GRUPO DE CAPACITACIÓN 2: - Procedimientos generales de enfermería - Curación avanzada de heridas - Actualización en patologías ginecológicas e ITS,1,3.227.000,3227000.0,YES,Awarded,76.532.024-0 Quinta Capacitación SpA,3227000.0,3227000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,3,80111504,"Formación, capacitación y entrenamiento de personal",GRUPO DE CAPACITACIÓN 3: - Salud mental en APS - Psiconutrición: Técnicas y herramientas para la alimentación y el bienestar - Intervención en salud a víctimas de violencia: NNA y personas mayores,1,3.585.000,3585000.0,YES,Awarded,76.593.297-1 ADVANCE CAPACITACIONES LIMITADA,3585000.0,3585000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
