award_date,source_url,lot_number,un_classification_code,item_title,buyer_specifications,lot_quantity,supplier,supplier_specifications,unit_price_offer_raw,unit_price_offer,awarded_quantity_raw,awarded_quantity,total_net_awarded_raw,total_net_awarded,state,is_awarded,awarded_unit_price,lot_total_line_raw,lot_total_line,source_tender_url
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,1,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,70,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,$ 31800,31800.0,70,70.0,2226000,2226000.0,Adjudicada,YES,31800.0,2.226.000,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,1,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,70,15.097.359-7 ISABELA PAZ MARTINEZ APABLAZA,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,$ 30000,30000.0,0,0.0,0,0.0,No Adjudicada,NO,,2.226.000,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,2,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,70,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,$ 31800,31800.0,70,70.0,2226000,2226000.0,Adjudicada,YES,31800.0,2.226.000,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,2,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,70,15.097.359-7 ISABELA PAZ MARTINEZ APABLAZA,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,$ 30000,30000.0,0,0.0,0,0.0,No Adjudicada,NO,,2.226.000,2226000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,3,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,32,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,$ 31800,31800.0,32,32.0,1017600,1017600.0,Adjudicada,YES,31800.0,1.017.600,1017600.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,3,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,32,15.097.359-7 ISABELA PAZ MARTINEZ APABLAZA,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,$ 30000,30000.0,0,0.0,0,0.0,No Adjudicada,NO,,1.017.600,1017600.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,4,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,29,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,$ 31800,31800.0,29,29.0,922200,922200.0,Adjudicada,YES,31800.0,922.200,922200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,4,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,29,15.097.359-7 ISABELA PAZ MARTINEZ APABLAZA,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,$ 30000,30000.0,0,0.0,0,0.0,No Adjudicada,NO,,922.200,922200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,5,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,24,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,$ 31800,31800.0,24,24.0,763200,763200.0,Adjudicada,YES,31800.0,763.200,763200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
2025-06-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,5,53101801,Abrigos y chaquetas para niño,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,24,15.097.359-7 ISABELA PAZ MARTINEZ APABLAZA,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,$ 30000,30000.0,0,0.0,0,0.0,No Adjudicada,NO,,763.200,763200.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
