IDLicitacion,NombreLicitacion,Tipo,Estado,FechaPublicacion,Descripcion,Moneda,TipoPresupuesto,TipoMonto,MontoLicitacion,Organismo
4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,LE,Adjudicada a uno o varios proveedores,16/06/2025 08:44:58,ADQUISICIÓN DE 745 PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025 DE ACUERDO A LO ESTABLECIDO EN BASES ADMINISTRATIVAS ESPECIALES.,CLP,PUBLICADO,DISPONIBLE,30.000.000,I MUNICIPALIDAD DE SAN NICOLAS
564953-71-LE25,PROGRAMA DE CAPACITACIÓN Y FORMACIÓN CORP LC 2025,LE,Adjudicada a uno o varios proveedores,30/05/2025 11:06:58,"Las presentes bases establecen las disposiciones, condiciones, procedimientos y términos que regularán las exigencias mínimas requeridas para la adquisición de nueve Cursos del Programa de Capacitación y Formación del año 2025, incluido en el Plan Anual de Capacitación Comunal del área de Salud de Atención Primaria de la Corporación de Educación y Salud de Las Condes",CLP,PUBLICADO,ESTIMADO,20.525.412,Corporación de Educación y Salud de Las Condes
1411-5-LE25,Cámara Refrigeración Alimentación CDP Puente Alto,LE,Adjudicada a uno o varios proveedores,24/04/2025 12:06:33,"Se llama a licitación pública la adquisición de 1 cámara de refrigeración para el servicio de alimentación del CDP Puente Alto, solicitado por la Oficina de Alimentación Regional. Bases administrativas, técnicas, económicas y anexos adjuntos al proceso, Resolución N 1673 de fecha 24 de abril 2025.",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,DIRECCION GENERAL DE GENDARMERIA DE CHIL
4328-13-LP25,CONTRATO DE SUMINISTRO CUPONES DE GAS LICUADO,LP,Adjudicada a uno o varios proveedores,04/06/2025 16:23:24,"Debido a la necesidad del municipio de Ñiquén de brindar una mejor atención a la comunidad local, se requiere licitar el “CONTRATO DE SUMINISTRO ADQUISICIÓN DE CUPONES DE GAS LICUADO - COMUNA DE ÑIQUÉN” de tal forma de contar con uno o más proveedores que entreguen de manera rápida y eficiente los servicios requeridos por la Unidad Técnica, de acuerdo a lo indicado en las especificaciones técnicas.",CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 1.000 UTM e inferior a 2.000 UTM,Ilustre Municipalidad de Ñiquen
3508-26-LE25,ADQUISICION DE LUMINARIAS LED PARA ALUMBRADO PUBLICO,LE,Adjudicada a uno o varios proveedores,03/06/2025 09:48:00,"La I. Municipalidad de Chonchi solicita ofertas para la adquisición de Luminarias Led para Alumbrado Público y que complementarán a los ya existentes en la Comuna de Chonchi, conforme a los requerimientos descritos en las presentes Bases Administrativas y Términos Técnicos de Referencia. ",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE CHONCHI
1075963-160-LE25,CONVENIO DE CIRUGÍAS OFTALMOLÓGICAS CATARATAS HJNC,LE,Adjudicada a uno o varios proveedores,15/04/2025 10:41:31,"El Hospital llama a Licitación Pública a través del Portal Mercado Público, para contratar “CONVENIO DE CIRUGÍAS OFTALMOLÓGICAS CATARATAS HJNC” para dar cobertura y permitir la atención oportuna de sus usuarios en los horarios en el que el Hospital, no cuente con los Recursos Humanos especializados del establecimiento.",CLP,PUBLICADO,DISPONIBLE,64.800.000,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI
621-234-LP25,AFATINIB 30 MG CM REC 1000020862,LP,Adjudicada a uno o varios proveedores,14/03/2025 11:44:59," BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD ",CLP,PUBLICADO,ESTIMADO,118.304.574,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
621-294-LQ25,FLUTAMIDA 250 MG CMCM RECCP 1000020775,LQ,Adjudicada a uno o varios proveedores,26/03/2025 15:54:03,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,216.405.946,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
1951-23-LE25,CONVENIO SUMINISTRO DE APOSITOS”,LE,Adjudicada a uno o varios proveedores,02/06/2025 16:44:26,"El Hospital Carahue requiere adquirir los siguientes productos para uso de curaciones en pacientes que se atienden diariamente en el Hospital ubicado en Alcalde Floody N°1360. Los que estarán sujetos a necesidad del establecimiento, por lo tanto, se estimarán cantidades aproximadas a solicitar de manera mensual.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE
2013-26-LQ24,ADQUISICIÓN EQUIPOS MULTIFUNCIONALES Y PLOTTER,LQ,Adjudicada a uno o varios proveedores,03/07/2024 10:34:00,"La Universidad Arturo Prat en adelante también UNAP o la Universidad invita a todos los proveedores habilitados para contratar con el Estado a participar en la licitación pública denominada “ADQUISICIÓN EQUIPOS MULTIFUNCIONALES Y PLOTTER, INSUMOS Y SOFTWARE PARA LA UNIVERSIDAD ARTURO PRAT”.  Esta tiene por objeto convocar a los proveedores que presten los servicios o suministren los bienes o servicios materia de la presente licitación, esto es para ser para ser destinados a la Universidad Arturo Prat, de acuerdo a lo dispuesto en las respectivas bases técnicas.",CLP,NO PUBLICADO,ESTIMADO,Igual o superior a 2.000 UTM e inferior a 5.000 UTM ,UNIVERSIDAD ARTURO PRAT
4469-79-L125,SC 36963-980-968-976-975-974-967-996-985-989 (DS) COMPRA UPA 22991,L1,Adjudicada a uno o varios proveedores,23/05/2025 10:56:53,SC 36963-980-968-976-975-974-967-996-985-989 (DS) COMPRA UPA 22991COMPRA CON LA LEY 21.094 ARTICULO 38 DE UNIVERSIDADES ESTATALES ,CLP,PUBLICADO,ESTIMADO,3.698.841,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION
2277-18-LP25,INSTALACIÓN LUMINARIAS PEATONALES EN ACERAS DE MANZANA CIVICA CÓDIGO BIP 40063470,LP,Adjudicada a uno o varios proveedores,07/03/2025 10:46:48,"Contratación de las obras para la Instalación de Luminarias Peatonales en aceras de Manzana Cívica de la comuna, según los requerimientos expresados en Especificaciones Técnicas.",CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 1.000 UTM e inferior a 2.000 UTM,MUNICIPALIDAD DE PUDAHUEL
5240-52-LQ25,ADQUISICIÓN DE CAMIÓN 4X4 CON ESTANQUE PARA EL TRANSPORTE Y ABASTECIMIENTO DE COMBUSTIBLE DE AVIACIÓN JET A-1 PARA CARABINEROS DE CHILE CON CARGO AL FONDO ROTATIVO DE ABASTECIMIENTO F.O.R.A,LQ,Adjudicada a uno o varios proveedores,06/05/2025 12:10:08,"MATERIALIZAR: LA ADQUISICIÓN DE CAMIÓN 4X4 CON ESTANQUE PARA EL TRANSPORTE Y ABASTECIMIENTO DE COMBUSTIBLE DE AVIACIÓN JET A-1 PARA CARABINEROS DE CHILE, CON CARGO AL FONDO ROTATIVO DE ABASTECIMIENTO (F.O.R.A)",CLP,PUBLICADO,DISPONIBLE,165.669.750,DIRECCION DE LOGISTICA DE CARABINEROS
2669-115-L125,PTR S - 95  ELECTROCARDIOGRAMA,L1,Adjudicada a uno o varios proveedores,07/06/2025 08:50:02,COMPRA  DE UN ELECTROCARDIOGRAMA PARA LA UNIDAD SAPU DEL CESFAM VITACURA,CLP,NO PUBLICADO,ESTIMADO,Menor a 100 UTM,I MUNICIPALIDAD DE VITACURA
687236-2-O124,Conservación Ruta A-27,O1,Adjudicada a uno o varios proveedores,22/04/2024 09:02:13,"Conservación de la Red Vial Ruta A-27, Sector Ausipar – Paradero Las Peñas, Dm. 40.200,00 al Dm. 52.387,00, Provincia de Arica, Región de Arica y Parinacota",CLP,NO PUBLICADO,NO ES POSIBLE DE ESTIMAR,No público,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2780-32-LE25,ADQUISICION DE LENTES OPTICOS,LE,Adjudicada a uno o varios proveedores,06/06/2025 12:24:00,"ADQUISICION DE LENTES OPTICOS POR EL PROGRAMA DE RESOLUTIVIDAD EN APS 2025, PARA USUARIOS DE LA COMUNA LA LIGUA.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE LA LIGUA
1004823-15-LE25,ADQUISICIÓN DE PLATAFORMA DE SOFTWARE PARA LA GESTIÓN DE LA CALIDAD DEL CENTRO DE FORMACIÓN TÉCNICA DE LA REGIÓN DE COQUIMBO,LE,Adjudicada a uno o varios proveedores,09/06/2025 15:14:57,SEGUNDO LLAMADO: ADQUISICIÓN DE PLATAFORMA DE SOFTWARE PARA LA GESTIÓN DE LA CALIDAD DEL CENTRO DE FORMACIÓN TÉCNICA DE LA REGIÓN DE COQUIMBO,CLP,PUBLICADO,DISPONIBLE,15.000.000,CENTRO DE FORMACION TECNICA DE LA REGION DE COQUIMBO
1028871-28-LR25,UNIFORMES ESCOLARES E INSTITUCIONALES SLEPH,LR,Adjudicada a uno o varios proveedores,15/05/2025 14:14:40,"Proporcionar un convenio de ejecución en el tiempo, para la adquisición de uniformes escolares e institucionales, para el correcto funcionamiento de todos los Establecimientos Educacionales y Jardines Infantiles VTF de la provincia del Huasco y otras dependencias de este servicio. Con una duración máxima de 18 meses o hasta concluir con el presupuesto disponible.",CLP,PUBLICADO,DISPONIBLE,525.000.000,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE HUASCO
1979-106-LQ25,115.25 “SERVICIO DE MANTENCION PREVENTIVA Y CORRECTIVA PARA EQUIPOS DE CLIMATIZACION PARA NODO COSTERO: HOSPITAL DE NUEVA IMPERIAL.”,LQ,Adjudicada a uno o varios proveedores,27/05/2025 18:02:51,"Se requiere licitar en el marco del mantenimiento de los equipos industriales del Hospital de Nueva Imperial, la realización de la Mantención Preventiva y Correctiva al equipamiento descrito en las presentes bases  donde la mantención preventiva deberá tener una frecuencia semestral (2 veces al año) y la mantención correctiva se deberá realizar toda vez que el equipo quede fuera de servicio, sin poder prestar la utilidad para lo cual fue adquirido  situación que el mandante informará de inmediato al adjudicatario, mediante una llamada telefónica y a través de un e-mail  a este tipo de comunicaciones se le denominarán llamados de emergencia.  La descripción del equipamiento Industrial instalado en el Hospital, Modulo Mapuche y Unidad de Diálisis ",CLP,NO PUBLICADO,ESTIMADO,Igual o superior a 2.000 UTM e inferior a 5.000 UTM ,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL
3268-14-LE25,400 413 GU 055-2025 DA. ADQ. CALCETÍN TÉRMICO.,LE,Adjudicada a uno o varios proveedores,23/05/2025 09:09:17,"EL DEPARTAMENTO ANTÁRTICO DE LA IVª BRIGADA AÉREA, REQUIERE LA ADQUISICIÓN DE CALCETINES TÉRMICOS, PARA LA OPERACIÓN CONJUNTA GLACIAR UNIÓN 2025.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,FUERZA AEREA DE CHILE COMANDO LOGISTICO
4469-22-L125,SC 36987-999-938-958-979-993-988 (PC) ADQ. .ARTICULOS COMPUTACIONALES  PROYECTO UPA2393 - UPA22991.,L1,Adjudicada a uno o varios proveedores,26/03/2025 08:59:19,SC 36987-999-938-958-979-993-988 (PC) ADQ. .ARTICULOS COMPUTACIONALES  PROYECTO UPA2393 - UPA22991. ARTICULO 38 LEY 21094 DE UNIVERSIDADES ESTATALES.,CLP,NO PUBLICADO,ESTIMADO,Menor a 100 UTM,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION
3938-12-B225,Licitación Privada Mejoramiento Sistemas Sanitarios Escuelas y Postas ,B2,Adjudicada a uno o varios proveedores,30/05/2025 15:37:00,"Ejecución del proyecto Mejoramiento de Sistemas Sanitarios Escuelas y Postas Rurales, comuna de Curarrehue, según bases.",CLP,PUBLICADO,DISPONIBLE,71.345.000,ILUSTRE MUNICIPALIDAD DE CURARREHUE
4074-27-LE25,Capacitación docentes LGG,LE,Adjudicada a uno o varios proveedores,18/06/2025 12:32:59,"SE REQUIERE LA CONTRATACION DE UN SERVICIO DE CAPACITACIÓN EN GESTION DE CONVIVENCIA ESCOLAR Y RESOLUCIÓN PACÍFICA DE CONFLICTOS PARA 50 FUNCIONARIOS DOCENTES DEL LICEO GONZALO GUGLIELMI DE YUMBEL ESTACIÓN. CON CARGO A FONDOS DE SUBVENCIÓN ESCOLAR PREFERENCIAL SEP, INSERTO EN SU PLAN DE ACCIÓN “POTENCIANDO EL LIDERAZGO Y QUEAHCER PEDAGÓGICO”",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE YUMBEL
2098-47-LQ25,CONVENIO MEDICAMENTOS CARDIOVASCULAR,LQ,Adjudicada a uno o varios proveedores,15/04/2025 10:01:00,"Conforme a Ley de Compras Públicas Nº19.886, el reglamento, sus modificaciones y su modernización, el Hospital Dr. Rafael Avaria Valenzuela de Curanilahue a través del Departamento de Abastecimiento y Logística, invita a los oferentes, personas naturales o jurídicas y Uniones Temporales de Proveedores, a participar en la licitación pública para contar con una Empresa externa, que provea de bienes o servicios, para el Hospital de Curanilahue y la red del Servicio de Salud, determinado los requisitos administrativos mínimos para participar en la propuesta y garantizar con este mismo instrumento la calidad y entrega del servicio requerido. Las Bases Administrativas, Anexos y todas las contempladas en el ID 2098-47-LQ25, establecen las condiciones que regirán la Licitación y el posterior convenio que se celebre para dar cumplimiento a este objeto. ",CLP,PUBLICADO,DISPONIBLE,261.748.000,SERVICIO NACIONAL DE SALUD HOSPITAL DE C
