COUNTRY,PROVINCE,SOURCE,Source Tender Id,Tender Title,Unique Lot ID,Lot Number,Sub Lot Number,Lot Title,Est Lot Value Local,Local Currency,Deadline Date,TENDERING AUTHORITY,Tendering Authority Type,Tender Procedure Type,CN Document Number,Original_Publication_Link_Notice,Ceiling Unit Price,MEAT,Price Evaluation ratio,Quality Evaluation ratio,Other Evaluation ratio,CAN Document Number,Award Date,Bidder,Lot_Award_Value_Local,Awarded Unit Price,Original_Publication_Link_Award
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,1.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LA LOMA. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,2226000.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,2.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA MONTELEON. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,2226000.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,3.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA PUENTE EL ALA. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,1017600.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,4.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA DADINCO. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,922200.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,5.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA EL PEUMO. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,763200.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,6.0,,PARKAS ESCOLARES REVERSIBLES PARA ESCUELA LAJUELAS. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,667800.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,7.0,,PARKAS ESCOLARES REVERSIBLES PARA LICEO TECNICO PUENTE ÑUBLE. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,4801800.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,8.0,,PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS. SEGUN EE.TT ADJUNTAS.,,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,2607600.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,San Nicolás,MERCADOPUBLICO,4596-23-LE25,PARKAS ESCOLARES PARA ESTUDIANTES DE LA COMUNA DE SAN NICOLÁS AÑO 2025,53101801.0,9.0,,"PARKAS ESCOLARES REVERSIBLES PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE DE SAN NICOLAS ""ANEXO"". SEGUN EE.TT ADJUNTAS.",,CLP,23-06-2025 15:01:00,I. MUNICIPALIDAD DE SAN NICOLÁS D. EDUCACIÓN,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==,,,,,100.0,,2025-06-26,6.416.093-1 ELÍAS JOEL CHÁVEZ GUTIÉRREZ,8458800.0,31800.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4X97hi66L2uV4cx5e5Gm1Q==
CHILE,Las Condes,MERCADOPUBLICO,564953-71-LE25,PROGRAMA DE CAPACITACIÓN Y FORMACIÓN CORP LC 2025,80111504.0,1.0,,GRUPO DE CAPACITACIÓN 1: - Curso Manejo del estrés y autocuidado - Trato al usuario en APS - Herramientas para el trabajo en equipo y liderazgo,,CLP,10-06-2025 13:30:00,CORP DE EDUCACION Y SALUD DE LAS CONDES,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,,,,,100.0,,2025-06-26,76.028.883-7 LIZANA Y LIZANA CAPACITACION LIMITADA,6280000.0,6280000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
CHILE,Las Condes,MERCADOPUBLICO,564953-71-LE25,PROGRAMA DE CAPACITACIÓN Y FORMACIÓN CORP LC 2025,80111504.0,2.0,,GRUPO DE CAPACITACIÓN 2: - Procedimientos generales de enfermería - Curación avanzada de heridas - Actualización en patologías ginecológicas e ITS,,CLP,10-06-2025 13:30:00,CORP DE EDUCACION Y SALUD DE LAS CONDES,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,,,,,100.0,,2025-06-26,76.532.024-0 Quinta Capacitación SpA,3227000.0,3227000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
CHILE,Las Condes,MERCADOPUBLICO,564953-71-LE25,PROGRAMA DE CAPACITACIÓN Y FORMACIÓN CORP LC 2025,80111504.0,3.0,,GRUPO DE CAPACITACIÓN 3: - Salud mental en APS - Psiconutrición: Técnicas y herramientas para la alimentación y el bienestar - Intervención en salud a víctimas de violencia: NNA y personas mayores,,CLP,10-06-2025 13:30:00,CORP DE EDUCACION Y SALUD DE LAS CONDES,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==,,,,,100.0,,2025-06-26,76.593.297-1 ADVANCE CAPACITACIONES LIMITADA,3585000.0,3585000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=kYE7W6BBe+gkMaXHD6QV2w==
CHILE,Til Til,MERCADOPUBLICO,1411-5-LE25,Cámara Refrigeración Alimentación CDP Puente Alto,24131501.0,1.0,,Se llama a licitación pública para adquirir 1 cámara de refrigeración para el servicio de alimentación del CDP Puente Alto según lo indicado en las bases y anexos adjuntos Res.n°1673,,CLP,07-05-2025 15:30:00,Dirección Regional de Gendarmeria - Metropolitana,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=q5jzE8TJ1GZdvMMvNPdHrg==,,,,,100.0,,2025-06-30,76.903.202-9 VXFULLMAIN LIMITADA,7400000.0,7400000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=q5jzE8TJ1GZdvMMvNPdHrg==
CHILE,Ñiquén,MERCADOPUBLICO,4328-13-LP25,CONTRATO DE SUMINISTRO CUPONES DE GAS LICUADO,15111507.0,1.0,,CONTRATO DE SUMINISTRO ADQUISICIÓN CUPONES DE GAS LICUADO COMUNA DE ÑIQUÉN,,CLP,16-06-2025 15:00:00,I MUNICIPALIDAD DE NIQUEN,,LP,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=jueyu5PExU6hKKgBze6CSA==,,,60.0,,40.0,,2025-06-23,91.806.000-6 ABASTIBLE S.A.,1.0,1.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=jueyu5PExU6hKKgBze6CSA==
CHILE,Chonchi,MERCADOPUBLICO,3508-26-LE25,ADQUISICION DE LUMINARIAS LED PARA ALUMBRADO PUBLICO,39111603.0,1.0,,"La I. Municipalidad de Chonchi solicita ofertas para la adquisición de Luminarias Led para Alumbrado Público y que complementarán a los ya existentes en la Comuna de Chonchi, conforme a los requerimientos descritos en las presentes Bases Administrativas y",,CLP,17-06-2025 15:00:00,I MUNICIPALIDAD DE CHONCHI,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=JTqyr9QnYMcTk4loYVHAkg==,,,,,100.0,,2025-06-27,76.592.405-7 SULUZ ILUMINACION SPA,16951500.0,16951500.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=JTqyr9QnYMcTk4loYVHAkg==
CHILE,Arica,MERCADOPUBLICO,1075963-160-LE25,CONVENIO DE CIRUGÍAS OFTALMOLÓGICAS CATARATAS HJNC,85121609.0,1.0,,Cirugías de Cataratas. Facoéresis extracapsular con implante de lente intraocular (no incluye el valor de la prótesis). Considerar en el Valor de su propuesta el Equipo Médico y NO Médico.(SER1241),,CLP,25-04-2025 15:31:00,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=QV8dMIMARwqcNmJ+MJ4uSA==,,,,,100.0,,2025-06-27,77.535.124-1 CIRUOF SPA,66495000.0,341000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=QV8dMIMARwqcNmJ+MJ4uSA==
CHILE,Santiago Centro,MERCADOPUBLICO,621-234-LP25,AFATINIB 30 MG CM REC 1000020862,51111606.0,1.0,,AFATINIB 30 MG CM REC (100004984),,CLP,07-04-2025 16:00:00,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,,LP,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=L9p2FpJsKwkb7dsTg6NDUA==,,,,,100.0,,2025-06-04,76.042.903-1 COMERCIALIZADORA DE INSUMOS MEDICOS SPA,92820000.0,34000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=L9p2FpJsKwkb7dsTg6NDUA==
CHILE,Santiago Centro,MERCADOPUBLICO,621-294-LQ25,FLUTAMIDA 250 MG CMCM RECCP 1000020775,51111804.0,1.0,,100000653 FLUTAMIDA 250 MG CM/CM REC/CP,,CLP,21-04-2025 16:00:00,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,,LQ,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=8JicyJ5n+flxit2iSQ2Qmw==,,,,,100.0,,2025-06-04,76.598.564-1 BLAU FARMACEUTICA CHILE SPA,96704850.0,215.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=8JicyJ5n+flxit2iSQ2Qmw==
CHILE,Carahue,MERCADOPUBLICO,1951-23-LE25,CONVENIO SUMINISTRO DE APOSITOS”,42311505.0,1.0,,ADHESIVO DE SILICONA FIXOMULL SKIN SENSITIVE 5CM X 5 M,,CLP,10-06-2025 15:00:00,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==,,,,,100.0,,2025-06-19,86.383.300-0 MEDIPLEX S.A.,4200.0,1400.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==
CHILE,Carahue,MERCADOPUBLICO,1951-23-LE25,CONVENIO SUMINISTRO DE APOSITOS”,42311505.0,2.0,,APOSITO CARBOXIMETILCELULOSA 10 X 10 CM CON PLATA,,CLP,10-06-2025 15:00:00,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==,,,,,100.0,,2025-06-19,77.980.215-9 DROGUERIA ISIMED SPA,289000.0,2890.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==
CHILE,Carahue,MERCADOPUBLICO,1951-23-LE25,CONVENIO SUMINISTRO DE APOSITOS”,42311505.0,3.0,,APOSITO COLAGENO 10 X 10 CM UNIDAD,,CLP,10-06-2025 15:00:00,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE,,LE,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==,,,,,100.0,,2025-06-19,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,181283.4,9064.17,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Bgv7MtNVtYH3JZmSBj3qSA==
