detail_url,product_name,product_type,manufacturer,administration_form,strengths_raw
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,Efudix,,Mylan bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,Fluorouracil,(als Na-zout),Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aardbeiblad_wijnstokblad,Hepatodoron,,Weleda,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,Abacavir,,Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,Abacavir/lamivudine,,Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine_zidovudine,Trizivir,,ViiV Healthcare bv.,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abaloparatide,Eladynos,,Theramex Ireland Limited,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,Orencia,,Bristol-Myers Squibb,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,Verzenios,,Lilly Nederland bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,Abirateron,(acetaat),Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abrocitinib,Cibinqo,,Pfizer bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acalabrutinib,Calquence,,AstraZeneca bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acamprosaat,Campral,,Merck bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acebutolol,Acebutolol,(als hydrochloride),Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aceclofenac,Aceclofenac,,Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acenocoumarol,Acenocoumarol,,Diverse fabrikanten,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetazolamide,Acetazolamide suspensie FNA,,Formularium der Nederlandse Apothekers,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__bij_paracetamolintoxicatie_,Fluimucil,,Zambon Nederland bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,Fluimucil inhalatievloeistof,,Zambon Nederland bv,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,Acetylcysteïne,,Diverse fabrikanten,,
