detail_url,brand_full,brand_name,pack_presentation,ddd_text,currency,price_per_day,price_per_week,price_per_month,price_per_six_months,reimbursed_per_day,extra_payment_per_day,table_type,unit_type,unit_amount
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,5 ml INJECTIEVLOEISTOF 50 mg / ml,,€,6.46,,,,1.88,4.58,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 10 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,10 ml INJECTIEVLOEISTOF 50 mg / ml,,€,6.69,,,,3.76,2.93,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 20 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,20 ml INJECTIEVLOEISTOF 50 mg / ml,,€,8.44,,,,7.52,0.92,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 50 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,50 ml INJECTIEVLOEISTOF 50 mg / ml,,€,21.1,,,,18.8,2.31,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"GENERIEK , 100 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,100 ml INJECTIEVLOEISTOF 50 mg / ml,,€,42.2,,,,37.59,4.61,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"TOLAK ,
        CREME 40 mg /G",TOLAK,CREME 40 mg /G,,€,27.12,,,,1.81,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,"EFUDIX ,
        CREME 50 mg /G",EFUDIX,CREME 50 mg /G,,€,17.23,,,,1.15,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,5 ml INJECTIEVLOEISTOF 50 mg / ml,,€,6.46,,,,1.88,4.58,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 10 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,10 ml INJECTIEVLOEISTOF 50 mg / ml,,€,6.69,,,,3.76,2.93,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 20 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,20 ml INJECTIEVLOEISTOF 50 mg / ml,,€,8.44,,,,7.52,0.92,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 50 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,50 ml INJECTIEVLOEISTOF 50 mg / ml,,€,21.1,,,,18.8,2.31,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"GENERIEK , 100 ml INJECTIEVLOEISTOF 50 mg / ml",GENERIEK,100 ml INJECTIEVLOEISTOF 50 mg / ml,,€,42.2,,,,37.59,4.61,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"TOLAK ,
        CREME 40 mg /G",TOLAK,CREME 40 mg /G,,€,27.12,,,,1.81,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,"EFUDIX ,
        CREME 50 mg /G",EFUDIX,CREME 50 mg /G,,€,17.23,,,,1.15,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"ZIAGEN ,
        DRANK 20 mg / ml",ZIAGEN,DRANK 20 mg / ml,"0,6 g",€,11.28,78.96,338.4,,11.28,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"GENERIEK ,
        TABLET 300 mg",GENERIEK,TABLET 300 mg,"0,6 g",€,7.73,54.11,231.9,,7.73,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,"ZIAGEN ,
        TABLET 300 mg",ZIAGEN,TABLET 300 mg,"0,6 g",€,7.8,54.6,234.0,,7.8,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,"GENERIEK ,
        TABLET 600/300 mg",GENERIEK,TABLET 600/300 mg,1 stuks,€,2.09,14.63,62.7,380.38,2.09,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,"KIVEXA ,
        TABLET 600/300 mg",KIVEXA,TABLET 600/300 mg,1 stuks,€,9.39,65.73,281.7,,9.39,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine_zidovudine,"TRIZIVIR ,
        TABLET 300/150/300 mg",TRIZIVIR,TABLET 300/150/300 mg,2 stuks,€,14.91,104.37,447.3,,14.91,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abaloparatide,"ELADYNOS , 1,5 ml INJECTIEVLOEISTOF 2 mg / ml",ELADYNOS,"1,5 ml INJECTIEVLOEISTOF 2 mg / ml",,€,272.11,,,,0.0,272.11,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 1 ml INJECTIEVLOEISTOF 125 mg / ml",ORENCIA,1 ml INJECTIEVLOEISTOF 125 mg / ml,,€,262.79,,,,0.0,262.79,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 0,4 ml INJECTIEVLOEISTOF 125 mg / ml",ORENCIA,"0,4 ml INJECTIEVLOEISTOF 125 mg / ml",,€,105.11,,,,0.0,105.11,parenteralia,,
