input_company,input_product_name,company,product_name,active_ingredient,therapeutic_class,description,price_ars,date,scraped_at,SIFAR_detail,PAMI_AF,IOMA_detail,IOMA_AF,IOMA_OS,import_status,coverage_json
Laboratorio Millet,102 FOCUS,Laboratorio Millet,102 FOCUS,magnesio+asoc.,Suplemento dietario,comp. rec. x 30 (VL),22272.4,03-12-2025,2026-01-02T16:25:21,,,,,,,{}
Laboratorio Millet,102 MAGNESIO CITRATO,Laboratorio Millet,102 MAGNESIO CITRATO,magnesio citrato,Suplemento dietario,comp. x 30 (VL),16120.24,03-12-2025,2026-01-02T16:25:22,,,,,,,{}
Laboratorio Millet,102 MAGNESIO,Laboratorio Millet,102 MAGNESIO,vit.+minerales+asoc.,Suplemento dietario,comp. rec. x 30 (VL),15195.58,03-12-2025,2026-01-02T16:25:24,,,,,,,{}
Laboratorio Millet,102 MAGNESIO GUMMIES,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesio+asoc.,Suplemento dietario,gomitas x 90 (VL),18873.81,03-12-2025,2026-01-02T16:25:37,,,,,,,{}
Laboratorio Millet,102 MUJER,Laboratorio Millet,102 MUJER,vit.+minerales,Suplemento dietario,cáps.bl.x 30 (VL),20642.22,03-12-2025,2026-01-02T16:25:47,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 30 (VL),17166.38,03-12-2025,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 60 (VL),29872.91,03-12-2025,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 90 (VL),41610.3,03-12-2025,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS EFERVESCENTE,Laboratorio Millet,102 PLUS EFERVESCENTE,vit.+minerales,Suplemento dietario,sob.x 15 (VL),14472.24,03-12-2025,2026-01-02T16:26:07,,,,,,,{}
Laboratorio Millet,102 SPORT BCAA,Laboratorio Millet,102 SPORT BCAA,vit.+minerales,Suplemento dietario,sob.x 30 (VL),35939.19,03-12-2025,2026-01-02T16:26:17,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+asoc.,Suplemento dietario,comp.rec. x 30 (VL),17328.83,12-11-2025,2026-01-02T16:26:26,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+asoc.,Suplemento dietario,sobres x 30 (VL),19442.25,12-11-2025,2026-01-02T16:26:26,,,,,,,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudina,Antiviral contra HIV,150 mg comp.rec.x 60,219142.56,29-12-2025,2026-01-02T16:26:36,,,,,,Importado,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudina,Antiviral contra HIV,sol.x 240 ml,95978.22,29-12-2025,2026-01-02T16:26:36,,,,,,Importado,{}
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 15 (VL),3750,30-05-2025,2026-01-02T16:26:39,Producto Reconocido,,Cobertura Monto Fijo,1308.87,2441.13,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 2441.13, ""AF"": 1308.87}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 30 (VL),7500,30-05-2025,2026-01-02T16:26:39,Producto Reconocido,,Cobertura Monto Fijo,0,8619.34,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 8619.34, ""AF"": 0.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,40 mg cáps.x 15 (VL),19520,26-06-2025,2026-01-02T16:26:40,,,Cobertura Monto Fijo,6101,13419,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 13419.0, ""AF"": 6101.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,40 mg cáps.x 30 (VL),35560,27-10-2025,2026-01-02T16:26:40,,,Cobertura Monto Fijo,9610.93,25949.07,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 25949.07, ""AF"": 9610.93}}"
GlaxoSmithKline Biopharma,3 TC COMPLEX,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudina+zidovudina,Antiviral contra HIV,comp.rec.x 60,496962.79,29-12-2025,2026-01-02T16:27:08,,,,,,Importado,{}
IQUISA,420 CBD BEAUTY,IQUISA,420 CBD BEAUTY,cannabidiol,Producto Cosmético,crema fac. x 50 ml (VL),23375,03-12-2024,2026-01-02T16:27:19,,,,,,,{}
IQUISA,420 CBD RELAX,IQUISA,420 CBD RELAX,cannabidiol,Producto Cosmético,env.x 16 ml (VL),15215,03-12-2024,2026-01-02T16:27:27,,,,,,,{}
IQUISA,420 CBD TETITA FELIZ PACK,IQUISA,420 CBD TETITA FELIZ PACK,cannabidiol,Producto Cosmético,cr. 75 g + aceite 75 ml (VL),49150,03-12-2024,2026-01-02T16:27:37,,,,,,,{}
Medisol,ACIMED,Medisol,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 28 (VL),6900,06-06-2025,2026-01-02T16:27:40,,,Cobertura Monto Fijo,1873.73,5026.27,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 5026.27, ""AF"": 1873.73}}"
Cassará,5 FU,Cassará,5 FU,fluorouracilo,Antineoplásico,ung.x 20 g,53000,15-12-2025,2026-01-02T16:27:47,,,Cobertura Monto Fijo,,,,{"IOMA": {"detail": "Cobertura Monto Fijo"}}
Klonal,AGUA DESTILADA,Klonal,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,438703.7,23-10-2025,2026-01-02T16:28:40,,,,,,,{}
Ariston,5XR 1000,Ariston,5XR 1000,mesalazina,Antiinflam.intestinal,1000 mg comp.x 30,141152.44,03-12-2025,2026-01-02T16:29:06,,,Cobertura Monto Fijo,,,,{"IOMA": {"detail": "Cobertura Monto Fijo"}}
Ariston,5XR 1000,Ariston,5XR 1000,mesalazina,Antiinflam.intestinal,1000 mg comp.x 60,279378.32,03-12-2025,2026-01-02T16:29:06,,,Cobertura Monto Fijo,,,,{"IOMA": {"detail": "Cobertura Monto Fijo"}}
Ariston,5XR 500,Ariston,5XR 500,mesalazina,Antiinflam.intestinal,500 mg comp.x 100,238803.69,03-12-2025,2026-01-02T16:29:06,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 500,Ariston,5XR 500,mesalazina,Antiinflam.intestinal,500 mg comp.x 50,130963.27,03-12-2025,2026-01-02T16:29:06,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclona,Hipnótico,2 mg comp.x 30,22392.79,17-12-2025,2026-01-02T16:29:16,Producto Reconocido,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclona,Hipnótico,3 mg comp.x 30,27989.65,17-12-2025,2026-01-02T16:29:16,Producto Reconocido,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
Domínguez,A ACIDO,Domínguez,A ACIDO,"retinoico,ác.",Queratolítico,0.05% cr.x 10 g,6422.79,30-12-2025,2026-01-02T16:29:26,Producto Reconocido,,,,,,{"SIFAR": {"detail": "Producto Reconocido"}}
Domínguez,A ACIDO,Domínguez,A ACIDO,"retinoico,ác.",Queratolítico,0.1% cr.x 10 g,7602.14,30-12-2025,2026-01-02T16:29:26,Producto Reconocido,,,,,,{"SIFAR": {"detail": "Producto Reconocido"}}
Domínguez,A ACIDO,Domínguez,A ACIDO,"retinoico,ác.",Queratolítico,0.2% cr.x 10 g,8326.16,30-12-2025,2026-01-02T16:29:26,Producto Reconocido,,,,,,{"SIFAR": {"detail": "Producto Reconocido"}}
Domínguez,A ACIDO EMOLIENTE,Domínguez,A ACIDO EMOLIENTE,"retinoico,ác.",Queratolítico,0.025% cr.x 30 g,15142.01,30-12-2025,2026-01-02T16:29:37,Producto Reconocido,,,,,,{"SIFAR": {"detail": "Producto Reconocido"}}
Veinfar,AGUA DESTILADA,Veinfar,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,268210,11-08-2025,2026-01-02T16:29:40,,,,,,,{}
Domínguez,A ACIDO VITAL,Domínguez,A ACIDO VITAL,"retinoico,ác.",Queratolítico,cr.x 30 g,14783.94,30-12-2025,2026-01-02T16:29:48,Producto Reconocido,,,,,,{"SIFAR": {"detail": "Producto Reconocido"}}
Elea,ABACAVIR ELEA,Elea,ABACAVIR ELEA,abacavir,Antiviral contra HIV,300 mg comp.rec.x 60,103336.2,09-07-2025,2026-01-02T16:30:27,,,,,,,{}
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,abacavir+lamivudina,Antiviral contra HIV,comp.rec.x 30,24500,28-09-2021,2026-01-02T16:30:36,,,,,,Importado,{}
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,1 g comp.x 16,22917.6,23-09-2025,2026-01-02T16:30:42,,,Cobertura Monto Fijo,15472.39,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 15472.39}}"
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,500 mg comp.x 21,9545.45,23-09-2025,2026-01-02T16:30:42,,,Cobertura Monto Fijo,2100.24,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 2100.24}}"
Elea,ABARAX,Elea,ABARAX,benznidazol,Antichagásico,100 mg comp.x 100,96494.06,17-12-2025,2026-01-02T16:30:47,Producto Reconocido,,Producto Reconocido,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Producto Reconocido""}}"
Elea,ABARAX,Elea,ABARAX,benznidazol,Antichagásico,50 mg comp.x 100,60149.6,17-12-2025,2026-01-02T16:30:47,Producto Reconocido,,Producto Reconocido,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Producto Reconocido""}}"
Roemmers,ABAXON,Roemmers,ABAXON,rivaroxabán,Antitrombótico,10 mg x 10 comp.rec.,49985,16-12-2025,2026-01-02T16:30:57,,,Cobertura Monto Fijo,,,,{"IOMA": {"detail": "Cobertura Monto Fijo"}}
Roemmers,ABAXON,Roemmers,ABAXON,rivaroxabán,Antitrombótico,10 mg x 30 comp.rec.,116127,16-12-2025,2026-01-02T16:30:57,,,Cobertura Monto Fijo,,,,"{""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Roemmers,ABAXON,Roemmers,ABAXON,rivaroxabán,Antitrombótico,15 mg x 30 comp.rec.,110483,16-12-2025,2026-01-02T16:30:57,,,Cobertura Monto Fijo,,,,"{""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Roemmers,ABAXON,Roemmers,ABAXON,rivaroxabán,Antitrombótico,2.5 mg x 30 comp.rec.,59765,16-12-2025,2026-01-02T16:30:57,,,Cobertura Monto Fijo,,,,"{""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Roemmers,ABAXON,Roemmers,ABAXON,rivaroxabán,Antitrombótico,20 mg x 30 comp.rec.,119577,16-12-2025,2026-01-02T16:30:57,,,Cobertura Monto Fijo,,,,"{""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Teva Argentina,ABELCET,Teva Argentina,ABELCET,anfotericina b complejo lipídico,Antibiótico Antimicótico,100 mg f.a.x 20 ml,694469.82,01-12-2025,2026-01-02T16:31:07,,,,,,Importado,{}
Biotechno Pharma,ABERIC,Biotechno Pharma,ABERIC,"abiraterona,acetato",Antineoplásico,250 mg comp.x 120,8546235.47,28-05-2025,2026-01-02T16:31:17,,,,,,,{}
B-Life,ABINTRA,B-Life,ABINTRA,arginina+asoc.,Alimentos propós.médico específ.,sob.x 27 g,29430.73,29-09-2025,2026-01-02T16:31:27,,,,,,Importado,{}
Celnova Argentina,ABIRANOVA,Celnova Argentina,ABIRANOVA,"abiraterona,acetato",Antineoplásico,250 mg comp.x 120,8427456.46,23-12-2025,2026-01-02T16:31:38,,,,,,,{}
Lepetit,AMOXITRAL,Lepetit,AMOXITRAL,amoxicilina,Antibiótico,500 mg susp.x 90 ml,8546.43,23-09-2025,2026-01-02T16:31:40,,,Cobertura Monto Fijo,4877.48,3668.95,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3668.95, ""AF"": 4877.48}}"
Glenmark,ABIRATERONA GLENMARK,Glenmark,ABIRATERONA GLENMARK,"abiraterona,acetato",Antineoplásico,250 mg comp.x 120,9371297.08,17-11-2025,2026-01-02T16:31:58,,,,,,Importado,{}
Duncan,ABLOOM,Duncan,ABLOOM,amlodipina,Antianginoso Antihipertensivo,10 mg comp.x 30,17549.54,02-08-2025,2026-01-02T16:32:07,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Duncan,ABLOOM 5,Duncan,ABLOOM 5,amlodipina,Antianginoso Antihipertensivo,5 mg comp.x 30,6687.34,09-02-2024,2026-01-02T16:32:17,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,Coadyuvante en oncología,0.02 mg iny.a.x 8,376065.5,30-12-2025,2026-01-02T16:32:27,,,,,,,{}
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,Coadyuvante en oncología,0.2 mg iny.a.x 8,376065.5,30-12-2025,2026-01-02T16:32:27,,,,,,,{}
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,Coadyuvante en oncología,2 mg iny.a.x 8,376065.5,30-12-2025,2026-01-02T16:32:27,,,,,,,{}
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,Coadyuvante en oncología,20 mg iny.a.x 8,376065.5,30-12-2025,2026-01-02T16:32:27,,,,,,,{}
Valuge,ABRALUX,Valuge,ABRALUX,cera sintetica+glicerina,Abrasivo de limpieza,cr.x 60 g (VL),29314.51,01-01-2026,2026-01-02T16:32:37,,,,,,,{}
Medisol,AMOXOL 1000,Medisol,AMOXOL 1000,amoxicilina,Antibiótico,1000 mg comp.x 10,9800,15-12-2025,2026-01-02T16:32:39,Producto Reconocido,,Cobertura Monto Fijo,6524,3276,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3276.0, ""AF"": 6524.0}}"
