"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12025053AZ","Salic Ointment","AVERROES PHARMACEUTICALS SDN. BHD."
"2","MAL12025054AZ","Betacylic Ointment","Y.S.P. INDUSTRIES (M) SDN. BHD."
"3","MAL12075080XZ","XORLYX 2 Salicylic Acid 2% w/w Ointment","Xorix Sdn Bhd"
"4","MAL13085051AZ","Axcel MOMETASONE 0.1% OINTMENT","KOTRA PHARMA (M) SDN. BHD."
"5","MAL13055071XZ","XORLYX 5 Salicylic Acid 5% w/w Ointment","Xorix Sdn Bhd"
"6","MAL15045072X","iGesic Ointment","IKOP SDN BHD"
"7","MAL13115131XZ","XORLYX 10 Salicylic Acid 10% w/w Ointment","Xorix Sdn Bhd"
"8","MAL13115133XZ","XORLYX 20 Salicylic Acid 20% w/w Ointment","Xorix Sdn Bhd"
"9","MAL16035026AZ","Xorsoint 0.1 Betamethasone 17 valerate 0.1% w/w ointment","Xorix Sdn Bhd"
"10","MAL16105034AZ","BEZONE OINTMENT 0.1% W/W","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"11","MAL16125043AZ","DEFUZIN OINTMENT 2% W/W","XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD."
"12","MAL17065003XC","Zam-Buk Ointment","BAYER CO. (MALAYSIA) SDN. BHD."
"13","MAL19962043T","HERBAL OINTMENT AMAKO 20GM","HERBAL LAND MANUFACTURING SDN BHD"
"14","MAL19973467T","PYP PI YAN PING OINTMENT 20GM","San Jiu Bio-Pharma Sdn. Bhd."
"15","MAL19962190T","LUCAS PAPAW OINTMENT","PINK & BLUE TRADING CO. SDN. BHD."
"16","MAL20002069T","PILEX OINTMENT","HIMALAYA WELLNESS MALAYSIA SDN. BHD."
"17","MAL20040849T","CHEEZHENG QINGPENG OINTMENT","HAI-O ENTERPRISE BERHAD"
"18","MAL04103429T","DXN Zhimeko Ointment","DXN PHARMACEUTICAL SDN. BHD."
"19","MAL05032665T","E-PLUS OINTMENT NUTMEG COMPLEX","EASY PLUS PHARMACEUTICAL (M) SDN. BHD."
"20","MAL06111463T","PALAMAS HERBAL OINTMENT","HERBAL LAND MANUFACTURING SDN BHD"
"21","MAL07090944T","Mayinglong Ointment","BUMARI SDN. BHD."
"22","MAL11030135T","JingWanHong Ointment","BUMARI SDN. BHD."
"23","MAL19913120X","MOPIKO (OINTMENT)","WENG SENG HENG MEDICAL HALL SDN. BHD."
"24","MAL19950124XC","ANTIPAIN OINTMENT","TERAPUTICS SDN BHD"
"25","MAL19912914XC","SEN BOO SKIN OINTMENT","YI YUAN  MEDICAL SUPPLY"
"26","MAL19911406X","DIAMOND NUTMEG OINTMENT","DYNAPHARM (M) SDN. BHD."
"27","MAL19921238X","TIGER BALM WHITE OINTMENT","TIGER BALM (M) SDN. BHD."
"28","MAL19963162XC","VICKS VAPORUB (VAPORISING OINTMENT)","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"29","MAL19970697XC","SAW HONG CHOON SKIN OINTMENT","SYARIKAT HONG CHOON KOK SDN. BHD."
"30","MAL19973775X","TIGER BALM PLUS OINTMENT","TIGER BALM (M) SDN. BHD."
"31","MAL19984125XC","NIXODERM OINTMENT","SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD"
"32","MAL19988549X","PRIME NUTMEG MEDICATED OINTMENT","PRIME PHARMACEUTICAL SDN. BHD."
"33","MAL20033984X","HEMOSOL OINTMENT","PRIME PHARMACEUTICAL SDN. BHD."
"34","MAL06021262X","UNI-PAIN OINTMENT","UNIMED SDN. BHD."
"35","MAL19871349ACZ","PROCTOSEDYL OINTMENT","ZUELLIG PHARMA SDN. BHD."
"36","MAL19870593AZ","DIPROCEL OINTMENT 0.05% W/W","ORGANON MALAYSIA SDN. BHD."
"37","MAL19871132AZ","XYLOPROCT OINTMENT","Aspen Medical Products Malaysia Sdn Bhd"
"38","MAL19910106ARZ","MAXITROL STERILE OPHTHALMIC OINTMENT","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"39","MAL19910820AZ","FUCIDIN OINTMENT","DKSH MALAYSIA SDN. BHD."
"40","MAL19921382AZ","DAIVONEX OINTMENT","DKSH MALAYSIA SDN. BHD."
"41","MAL19921132ARZ","TOBRADEX EYE OINTMENT","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
