prefix,title,active_substance,manufacturer,document_type,price_text,reimbursement,url,url_with_id,packs_scraped,error
a,"piperacill/tazobac inf 50/6,25mg/ml pomp 120ml ahz",PIPERACILLINE/TAZOBACTAM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+120ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+120ML+AHZ&id=037576a1a0cd64413ac1893d2299d763,success,
a,"cefuroxim infvlst 41,67mg/ml pomp 120ml ahz",CEFUROXIM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=CEFUROXIM+INFVLST+41%2C67MG%2FML+POMP+120ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=CEFUROXIM+INFVLST+41%2C67MG%2FML+POMP+120ML+AHZ&id=0999864e764466deaddf2eee2989ada1,success,
a,heparine injvlst 500ie/ml ampul 2ml msz,HEPARINE,Maasstad Ziekenhuis Apotheek,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=HEPARINE+INJVLST+500IE%2FML+AMPUL+2ML+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=HEPARINE+INJVLST+500IE%2FML+AMPUL+2ML+MSZ&id=19c1123d5ab5c480b68e3e004b45805b,success,
a,"morfine/bupi inj 0,04mg/5mg/ml in gluc8% a 3ml msz",BUPIVACAINE/MORFINE,Maasstad Ziekenhuis Apotheek,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=MORFINE%2FBUPI+INJ+0%2C04MG%2F5MG%2FML+IN+GLUC8%25+A+3ML+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=MORFINE%2FBUPI+INJ+0%2C04MG%2F5MG%2FML+IN+GLUC8%25+A+3ML+MSZ&id=245930e751c445a7d542d6d6b4c47cf1,success,
a,bupivac/sufentanil inf 1mg/1mcg/ml zak 100ml a+,BUPIVACAINE/SUFENTANIL,A+ APOTHEEK,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVAC%2FSUFENTANIL+INF+1MG%2F1MCG%2FML+ZAK+100ML+A%2B,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVAC%2FSUFENTANIL+INF+1MG%2F1MCG%2FML+ZAK+100ML+A%2B&id=45c20f6d2a827b9195154c20596316e8,success,
a,"bupivacaine/morfin inf 1,25mg/20mcg/ml fl 50ml a+",BUPIVACAINE/MORFINE,A+ APOTHEEK,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVACAINE%2FMORFIN+INF+1%2C25MG%2F20MCG%2FML+FL+50ML+A%2B,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVACAINE%2FMORFIN+INF+1%2C25MG%2F20MCG%2FML+FL+50ML+A%2B&id=4b219a8a3409345915250d89c8af623f,success,
a,"piperacillin/tazobac inf 60/7,5mg/ml cas 100ml ahz",PIPERACILLINE/TAZOBACTAM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILLIN%2FTAZOBAC+INF+60%2F7%2C5MG%2FML+CAS+100ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILLIN%2FTAZOBAC+INF+60%2F7%2C5MG%2FML+CAS+100ML+AHZ&id=53f5850fe5ceec9c3b2f5dd36d9901e9,success,
a,azijnzuur wondspoeling 1% msz,AZIJNZUUR,Maasstad Ziekenhuis Apotheek,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=AZIJNZUUR+WONDSPOELING+1%25+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=AZIJNZUUR+WONDSPOELING+1%25+MSZ&id=5d8394d322739484d849649ff87f942a,success,
a,"cefazoline infvlst 12,5mg/ml pomp 120ml(5ml/u) ahz",CEFAZOLINE,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=CEFAZOLINE+INFVLST+12%2C5MG%2FML+POMP+120ML%285ML%2FU%29+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=CEFAZOLINE+INFVLST+12%2C5MG%2FML+POMP+120ML%285ML%2FU%29+AHZ&id=61ebbc996cf5ce42404a8ff98e599398,success,
a,"meropenem infvlst 12,5mg/ml cassette 100ml ahz",MEROPENEM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=MEROPENEM+INFVLST+12%2C5MG%2FML+CASSETTE+100ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=MEROPENEM+INFVLST+12%2C5MG%2FML+CASSETTE+100ML+AHZ&id=643b3f23d9288620d80fadf884cf536f,success,
a,"ceftazidim infvlst 8,7mg/ml pomp 115ml ahz",CEFTAZIDIM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=CEFTAZIDIM+INFVLST+8%2C7MG%2FML+POMP+115ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=CEFTAZIDIM+INFVLST+8%2C7MG%2FML+POMP+115ML+AHZ&id=7435456a9abe2da41048fa8838d5ed13,success,
a,"piperacill/tazobac inf 50/6,25mg/ml pomp 240ml ahz",PIPERACILLINE/TAZOBACTAM,APOTHEEK HAAGSE ZIEKENHUIZEN,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+240ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+240ML+AHZ&id=90db2b1b427e644a794909fd42b65f24,success,
a,"natriumhypochloriet smeersel 0,25% msz",NATRIUMHYPOCHLORIET,Maasstad Ziekenhuis Apotheek,Geneesmiddel,"€ 0,01 per verpakking",Vergoed,https://www.medicijnkosten.nl/medicijn?artikel=NATRIUMHYPOCHLORIET+SMEERSEL+0%2C25%25+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=NATRIUMHYPOCHLORIET+SMEERSEL+0%2C25%25+MSZ&id=9cc71f38ccb638aa1640f7c6fd324d60,success,
