input_company,input_product_name,company,product_name,active_ingredient,therapeutic_class,description,price_ars,date,scraped_at,SIFAR_detail,PAMI_AF,IOMA_detail,IOMA_AF,IOMA_OS,import_status,coverage_json
Medisol,ACIMED,Medisol,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 28 (VL),6900.0,2025-06-06,2026-01-07T19:03:19,,,Cobertura Monto Fijo,1873.73,5026.27,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 5026.27, ""AF"": 1873.73}}"
Klonal,AGUA DESTILADA,Klonal,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,438703.7,2025-10-23,2026-01-07T19:03:33,,,,,,,{}
Veinfar,AGUA DESTILADA,Veinfar,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,268210.0,2025-08-11,2026-01-07T19:03:50,,,,,,,{}
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,1 g comp.x 16,24060.0,2026-01-07,2026-01-07T19:04:05,,,Cobertura Monto Fijo,16614.79,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 16614.79}}"
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,500 mg comp.x 21,10020.0,2026-01-07,2026-01-07T19:04:05,,,Cobertura Monto Fijo,2574.79,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 2574.79}}"
Lepetit,AMOXITRAL,Lepetit,AMOXITRAL,amoxicilina,Antibiótico,500 mg susp.x 90 ml,9400.0,2026-01-07,2026-01-07T19:04:20,,,Cobertura Monto Fijo,5731.05,3668.95,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3668.95, ""AF"": 5731.05}}"
Medisol,AMOXOL 1000,Medisol,AMOXOL 1000,amoxicilina,Antibiótico,1000 mg comp.x 10,9800.0,2025-12-15,2026-01-07T19:04:35,Producto Reconocido,,Cobertura Monto Fijo,6524.0,3276.0,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3276.0, ""AF"": 6524.0}}"
Sanitas,AMOXOL 1000,Sanitas,AMOXOL 1000,amoxicilina,Antibiótico,1000 mg comp.x 14,15858.0,2025-12-15,2026-01-07T19:04:51,,,,,,,{}
Cassará,AMOXOL 500,Cassará,AMOXOL 500,amoxicilina,Antibiótico,pvo.p/susp.oral x 120 ml,11400.0,2025-11-17,2026-01-07T19:05:06,,,Cobertura Monto Fijo,6606.63,4793.37,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 4793.37, ""AF"": 6606.63}}"
Cassará,AMOXOL 500,Cassará,AMOXOL 500,amoxicilina,Antibiótico,pvo.p/susp.oral x 90 ml,7800.0,2025-11-17,2026-01-07T19:05:06,Producto Reconocido,,Cobertura Monto Fijo,4131.05,3668.95,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3668.95, ""AF"": 4131.05}}"
Medisol,AMOXOL 500,Medisol,AMOXOL 500,amoxicilina,Antibiótico,500 mg comp.x 10,4400.0,2025-02-24,2026-01-07T19:05:23,Producto Reconocido,,Cobertura Monto Fijo,2844.0,1556.0,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 1556.0, ""AF"": 2844.0}}"
Fabop,ATIBAX,Fabop,ATIBAX,ciprofloxacina,Antibiótico,500 mg comp.x 90,42584.04,2025-12-03,2026-01-07T19:05:38,,,,,,,{}
Savant Generic,ATIBAX,Savant Generic,ATIBAX,ciprofloxacina,Antibiótico,500 mg comp.rec.x 10,1093.89,2021-02-03,2026-01-07T19:05:54,Producto Reconocido,437.56,Cobertura Monto Fijo,0.0,4960.2,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {""AF"": 437.56}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 4960.2, ""AF"": 0.0}}"
ISA,+50,ISA,+50,vit.+asoc.,Energizante psicofísico,comp.x 30 (VL),11533.0,2025-11-10,2026-01-07T19:06:10,,,,,,,{}
