PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
2189741,ARGENTINA,Boehringer Ingelheim,SPIRIVA,tiotropium bromide,,,,,,30 caps/inhaler
423,ARGENTINA,Novartis,TYKERB,lapatinib,,,,,,250 mg caps.x 140
535,ARGENTINA,Novartis,SANDOSTATIN,octreotide,,,,,,0.10 mg a.x 5 x 1 ml
544,ARGENTINA,Novartis,TASIGNA,nilotinib,,,,,,150 mg caps.x 120
545,ARGENTINA,Novartis,TASIGNA,nilotinib,,,,,,200 mg caps.x 120
891,ARGENTINA,Boehringer Ingelheim,TRAYENTA DUO,linagliptin+metformin,,,,,,2.5/1000 mg comp.x 60
892,ARGENTINA,Boehringer Ingelheim,TRAYENTA DUO,linagliptin+metformin,,,,,,2.5/850 mg comp.x 60
893,ARGENTINA,Boehringer Ingelheim,TRAYENTA,linagliptin,,,,,,comp.rec.x 30
175283,ARGENTINA,Pfizer,V FEND,voriconazole,,,,,,50 mg comp.rec.x 10
175284,ARGENTINA,Pfizer,V FEND,voriconazole,,,,,,200 mg comp.rec.x 10
175285,ARGENTINA,Pfizer,V FEND,voriconazole,,,,,,200 mg IV liof.f.a.x 1
175440,ARGENTINA,PharmaDorf,TRITACE,ramipril,,,,,,10 mg tablets x 30
175441,ARGENTINA,PharmaDorf,TRITACE,ramipril,,,,,,2.5 mg tablets x 30
175443,ARGENTINA,PharmaDorf,TRITACE,ramipril,,,,,,5 mg tablets x 30
175472,ARGENTINA,Servier,TRIPLIXAM,perindopril+indapamide+amlodipine,,,,,,10/2.5/5mg rec. tablets x30
175875,ARGENTINA,Beta,ATEROCLAR DUO,atorvastatin+ezetimibe,,,,,,10/10 mg blst.x 30+30
175876,ARGENTINA,Beta,ATEROCLAR DUO,atorvastatin+ezetimibe,,,,,,20/10 mg blst.x 30+30
175992,ARGENTINA,Eurolab,UROCETINA,tamsulosin,,,,,,0.4 mg caps.lib.prol.x30
176062,ARGENTINA,Lazar,TUMULAN,dutasteride,,,,,,0.5 mg tablets x 30
182839,ARGENTINA,GlaxoSmithKline Biopharma,TIVICAY,dolutegravir,,,,,,50 mg tablets x 30
204083,ARGENTINA,Craveri,TRYPTALGIN,amitriptyline,,,,,,75 mg comp.rec.x 30
204086,ARGENTINA,Bago,TRYPTANOL 25,amitriptyline,,,,,,25 mg tablets x 100
207665,ARGENTINA,Craveri,TRYPTALGIN,amitriptyline,,,,,,25 mg comp.rec.x 30
212292,ARGENTINA,Craveri,TRYPTALGIN,amitriptyline,,,,,,10 mg comp.rec.x 30
212294,ARGENTINA,Bago,TRYPTANOL 25,amitriptyline,,,,,,25 mg tablets x 30
233755,ARGENTINA,Bausch & Lomb Arg.,OCUPROST,latanoprost,,,,,,gts.oft.x 2.5 ml
234135,ARGENTINA,Ferring,UTROGESTAN,progesterone,,,,,,200 mg caps.x 14
