PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
,ARGENTINA,ISA,+50,vit.+assoc.,2025-11-10,11533.00,,,,comp.x 30 (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,chocolate x 907 g (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,strawberry x 907 g (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,vanilla x 907 g (VL)
,ARGENTINA,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,2026-01-07,15590.67,,,,comp. rec. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 FOCUS,magnesium+assoc.,2026-01-07,22851.48,,,,comp. rec. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 MAGNESIO CITRATO,magnesium citrate,2026-01-07,16539.37,,,,comp. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,2026-01-07,19364.53,,,,gummies x 90 (VL)
,ARGENTINA,Laboratorio Millet,102 MUJER,vitamins + minerals,2026-01-07,21178.92,,,,caps.bl.x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,17612.71,,,,comp.x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,30649.61,,,,comp.x 60 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,42692.17,,,,comp.x 90 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,2026-01-07,14761.68,,,,sob.x 15 (VL)
,ARGENTINA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,2026-01-07,37017.37,,,,over x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,2026-01-07,17675.41,,,,comp.rec. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,2026-01-07,19831.10,,,,envelopes x 30 (VL)
,ARGENTINA,ISA,4 X 4,sildenafil,2025-11-10,5504.00,,,,50 mg comp.rec.x 4
,ARGENTINA,Dominguez,5-ASA 1000,mesalazine,2025-12-30,178508.14,PAMI-only,,60999.77,1 g sachet x 30
,ARGENTINA,Dominguez,5-ASA 1000,mesalazine,2025-12-30,203371.09,,,,1 g sup.x 30
,ARGENTINA,Dominguez,5-ASA 2000,mesalazine,2025-12-30,320088.38,IOMA,168111.53,151976.85,2 g sachet x 30
,ARGENTINA,Dominguez,5-ASA 4000,mesalazine,2025-12-30,533343.03,IOMA,276177.94,257165.09,4 g sachet x 30
,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,91364.63,IOMA,46348.48,45016.15,400 mg tablets x 30
,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,173721.84,IOMA,88127.59,85594.25,400 mg tablets x 60
,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,35948.24,IOMA,18236.23,17712.01,400 mg sup.x 10
,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,102904.51,IOMA,52202.57,50701.94,400 mg sup.x 30
,ARGENTINA,Dominguez,5-ASA 500,mesalazine,2025-12-30,94240.66,IOMA,40452.43,53788.23,500 mg tablets x 30
,ARGENTINA,Dominguez,5-ASA 500,mesalazine,2025-12-30,169638.17,IOMA,74600.66,95037.51,500 mg tablets x 60
,ARGENTINA,Dominguez,5-ASA 800,mesalazine,2025-12-30,137131.56,IOMA,69565.65,67565.91,800 mg tablets x 30
,ARGENTINA,Dominguez,5-ASA 800,mesalazine,2025-12-30,237150.37,IOMA,116272.65,120877.72,800 mg tablets x 60
,ARGENTINA,Coloplast,ACCESORIOS PARA FISTULAS,accessory,2025-11-01,374537.98,,,,box x 10 code 14041 (VL)
,ARGENTINA,Roche Diabetes,ACCU-CHEK ACTIVE KIT,glucose meter,2025-02-28,113233.00,IMPORTED,,,meter x 1 (VL)
,ARGENTINA,Roche Diabetes,ACCU-CHEK FASTCLIX KIT,glucose meter,2024-12-04,43436.00,IMPORTED,,,kit x 1 (VL)
