Generic Name,Currency,Ex Factory Wholesale Price,Region,Marketing Authority,Local Pack Description,Formulation,Fill Size,Strength,Strength Unit,LOCAL_PACK_CODE
ADALIMUMAB,CAD,1428.48,NORTH AMERICA,AbbVie,Sol. Inj. S.C 50 mg/mL (0.8 ml),Sol. Inj. S.C,2,50,MG,02258595
ADALIMUMAB,CAD,1428.48,NORTH AMERICA,AbbVie,Sol. Inj. S.C 50 mg/mL (0.8 ml),Sol. Inj. S.C,2,50,MG,99100385
DENOSUMAB,CAD,330.0,NORTH AMERICA,Amgen,Sol. Inj. S.C.(ser) 60 mg/mL,Sol. Inj. S.C.(ser),1,60,MG,02343541
DENOSUMAB,CAD,538.45,NORTH AMERICA,Amgen,Sol. Inj. S.C. 120 mg/1.7 mL,Sol. Inj. S.C.,1,120,MG,02368153
ÉTANERCEPT,CAD,1437.13,NORTH AMERICA,Amgen,Sol. Inj. S.C 50 mg/mL (1 ml),Sol. Inj. S.C,4,50,MG,02274728
ÉTANERCEPT,CAD,1437.13,NORTH AMERICA,Amgen,Sol. Inj. S.C 50 mg/mL (1 ml),Sol. Inj. S.C,4,50,MG,99100373
FILGRASTIM,CAD,1731.89,NORTH AMERICA,Amgen,Sol. Inj. 300 mcg/mL (1.0 ml),Sol. Inj.,10,300,MCG,01968017
FILGRASTIM,CAD,2771.02,NORTH AMERICA,Amgen,Sol. Inj. 300 mcg/mL (1.6 ml),Sol. Inj.,10,300,MCG,99001454
GLATIRAMÈRE,CAD,1296.0,NORTH AMERICA,Teva Innov,Sol. Inj. S.C.(ser) 20 mg/mL,Sol. Inj. S.C.(ser),30,20,MG,02245619
INFLIXIMAB,CAD,940.0,NORTH AMERICA,Janss. Inc,Pd. Perf. I.V. 100 mg,Pd. Perf. I.V.,1,100,MG,02244016
RANIBIZUMAB,CAD,1575.0,NORTH AMERICA,Novartis,Sol. Inj. 10 mg/mL (0.23 ml),Sol. Inj.,1,10,MG,02296810
RANIBIZUMAB,CAD,1575.0,NORTH AMERICA,Novartis,Sol. Inj. (ser) 10 mg/mL (0.165 ml),Sol. Inj. (ser),1,10,MG,02425629
RITUXIMAB,CAD,453.1,NORTH AMERICA,Roche,Sol. Perf. I.V. 10 mg/mL,Sol. Perf. I.V.,1,10,MG,02241927
RITUXIMAB,CAD,2265.5,NORTH AMERICA,Roche,Sol. Perf. I.V. 10 mg/mL,Sol. Perf. I.V.,1,10,MG,02241927
TOCILIZUMAB,CAD,1420.0,NORTH AMERICA,Roche,Sol. Inj. S.C. (ser) 162 mg/0.9 mL,Sol. Inj. S.C. (ser),4,162,MG,02424770
TOCILIZUMAB,CAD,1420.0,NORTH AMERICA,Roche,Sol. Inj. S.C. (stylo) 162 mg/0.9 mL,Sol. Inj. S.C. (stylo),4,162,MG,02483327
TOCILIZUMAB,CAD,179.2,NORTH AMERICA,Roche,Sol. Perf. I.V. 20 mg/mL (4 ml),Sol. Perf. I.V.,1,20,MG,02350092
TOCILIZUMAB,CAD,448.0,NORTH AMERICA,Roche,Sol. Perf. I.V. 20 mg/mL (10 ml),Sol. Perf. I.V.,1,20,MG,02350106
TOCILIZUMAB,CAD,896.0,NORTH AMERICA,Roche,Sol. Perf. I.V. 20 mg/mL (20 ml),Sol. Perf. I.V.,1,20,MG,02350114
USTEKINUMAB,CAD,4311.72,NORTH AMERICA,Janss. Inc,Sol. Inj. S.C. (ser) 45 mg/0.5 mL,Sol. Inj. S.C. (ser),1,45,MG,02320673
USTEKINUMAB,CAD,4311.72,NORTH AMERICA,Janss. Inc,Sol. Inj. S.C. (ser) 90 mg/1 mL,Sol. Inj. S.C. (ser),1,90,MG,02320681
