detail_url,product_name,brand_name,manufacturer,administration_form,strengths_raw,pack_presentation,currency,price_per_day,reimbursed_per_day,product_type,brand_full,ddd_text,price_per_week,price_per_month,price_per_six_months,extra_payment_per_day,table_type,unit_type,unit_amount
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,Efudix,GENERIEK,Mylan bv,,,5 ml INJECTIEVLOEISTOF 50 mg / ml,€,6.46,1.88,,"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml",,,,,4.58,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,Efudix,TOLAK,Mylan bv,,,CREME 40 mg /G,€,27.12,1.81,,"TOLAK ,
        CREME 40 mg /G",,,,,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,Efudix,EFUDIX,Mylan bv,,,CREME 50 mg /G,€,17.23,1.15,,"EFUDIX ,
        CREME 50 mg /G",,,,,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,Fluorouracil,GENERIEK,Diverse fabrikanten,,,5 ml INJECTIEVLOEISTOF 50 mg / ml,€,6.46,1.88,(als Na-zout),"GENERIEK , 5 ml INJECTIEVLOEISTOF 50 mg / ml",,,,,4.58,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,Fluorouracil,TOLAK,Diverse fabrikanten,,,CREME 40 mg /G,€,27.12,1.81,(als Na-zout),"TOLAK ,
        CREME 40 mg /G",,,,,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,Fluorouracil,EFUDIX,Diverse fabrikanten,,,CREME 50 mg /G,€,17.23,1.15,(als Na-zout),"EFUDIX ,
        CREME 50 mg /G",,,,,0.0,dermatica,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aardbeiblad_wijnstokblad,Hepatodoron,,Weleda,,,,,,,,,,,,,,,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,Abacavir/lamivudine,GENERIEK,Diverse fabrikanten,,,TABLET 600/300 mg,€,2.09,2.09,,"GENERIEK ,
        TABLET 600/300 mg",1 stuks,14.63,62.7,380.38,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,Abacavir/lamivudine,KIVEXA,Diverse fabrikanten,,,TABLET 600/300 mg,€,9.39,9.39,,"KIVEXA ,
        TABLET 600/300 mg",1 stuks,65.73,281.7,,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,Abacavir,ZIAGEN,Diverse fabrikanten,,,DRANK 20 mg / ml,€,11.28,11.28,,"ZIAGEN ,
        DRANK 20 mg / ml","0,6 g",78.96,338.4,,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,Abacavir,GENERIEK,Diverse fabrikanten,,,TABLET 300 mg,€,7.73,7.73,,"GENERIEK ,
        TABLET 300 mg","0,6 g",54.11,231.9,,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine_zidovudine,Trizivir,TRIZIVIR,ViiV Healthcare bv.,,,TABLET 300/150/300 mg,€,14.91,14.91,,"TRIZIVIR ,
        TABLET 300/150/300 mg",2 stuks,104.37,447.3,,0.0,Per dag Per week Per maand Per half jaar,,
