"#","Registration No / Notification No","Product Name","Holder"
"1","MAL14035008XCZ","Nicorette Invisi Transdermal Patch 15mg/16 hours","JNTL (MALAYSIA) SDN. BHD."
"2","MAL14035009XCZ","Nicorette Invisi Transdermal Patch 25mg/16 hours","JNTL (MALAYSIA) SDN. BHD."
"3","MAL14035012XCZ","Nicorette Invisi Transdermal Patch 10mg/16 hours","JNTL (MALAYSIA) SDN. BHD."
"4","MAL13035014T","Wantong Jingu Patch","TONGHUA DONG BAO (M) SDN. BHD."
"5","MAL13075056TC","NutriWorks Flexi-Patch Foot Patch","KUALA LUMPUR PHARMACY (W.O.) SDN. BHD."
"6","MAL13055069X","Salonpas Pain Relief Patch","Hisamitsu Pharmaceutical Malaysia Sdn. Bhd."
"7","MAL14075044ACRZ","EXELON PATCH 15","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"8","MAL15085067X","Counterpain Patch Hot","HOE PHARMACEUTICALS SDN. BHD."
"9","MAL15085068X","Counterpain Patch","HOE PHARMACEUTICALS SDN. BHD."
"10","MAL17107029AZ","Rivamensa Patch 10","MEDISPEC (M) SDN. BHD."
"11","MAL17107030AZ","Rivamensa Patch 5","MEDISPEC (M) SDN. BHD."
"12","MAL09032037XR","Panaflex Pain Relief Patch","Haleon Malaysia Sdn. Bhd."
"13","MAL20081795ACRZ","EXELON PATCH 10","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"14","MAL20081794ACRZ","EXELON PATCH 5","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"15","MAL20081824ACRZ","EVRA TRANSDERMAL PATCH","ABBOTT LABORATORIES (M) SDN. BHD."
"16","MAL09072774AZ","Fentanyl HEXAL MAT 25 mcg/h Transdermal Patch","IMEKS PHARMA SDN. BHD."
"17","MAL09072775AZ","Fentanyl HEXAL MAT 50 mcg/h Transdermal Patch","IMEKS PHARMA SDN. BHD."
"18","MAL18086099XC","TIGER BALM BACK PAIN PATCH","TIGER BALM (M) SDN. BHD."
"19","MAL18076038TC","KINGERS BAMBOO PLUS FOOT PATCH","NANG HIN MEDICAL SDN. BHD."
"20","MAL18076072TC","KINGERS GINGER PLUS FOOT PATCH","NANG HIN MEDICAL SDN. BHD."
"21","MAL20046063ARZ","LOXOTOP PAP 100mg Patch","ZUELLIG PHARMA SDN. BHD."
"22","MAL20116001AZ","LOCOA 40MG TRANSDERMAL PATCH","HOE PHARMACEUTICALS SDN. BHD."
"23","MAL22046015AZ","Rivacure Patch 10","SUN PHARMACEUTICAL SDN BHD"
"24","MAL22046014AZ","Rivacure Patch 5","SUN PHARMACEUTICAL SDN BHD"
"25","MAL21066034XR","Panaflex Cool Patch","Haleon Malaysia Sdn. Bhd."
"26","MAL20126089TC","CSL Badu Pimple Patch","NANG HIN MEDICAL SDN. BHD."
"27","MAL21056109TC","KINOHIMITSU FOOTOX FOOT PATCH","Kino Biotech (M) Sdn Bhd"
"28","MAL22076010XR","Panaflex Hot Patch","Haleon Malaysia Sdn. Bhd."
"29","MAL22076128TC","KINOHIMITSU FOOTOX FOOT PATCH EUCALYPTUS & LEMON PLUS","Kino Biotech (M) Sdn Bhd"
"30","MAL22096104TC","KINGERS ARGYI PLUS FOOT PATCH","Gab Sdn Bhd"
"31","MAL22096105TC","KINGERS LEMONGRASS + FOOT PATCH","Gab Sdn Bhd"
"32","MAL22126165TC","KINGERS BAMBOO GINGER PLUS FOOT PATCH","Gab Sdn Bhd"
"33","MAL22126163TC","KINOHIMITSU FOOTOX FOOT PATCH LAVENDER PLUS","Kino Biotech (M) Sdn Bhd"
"34","MAL23086021X","Counterpain Patch Aroma S","HOE PHARMACEUTICALS SDN. BHD."
"35","MAL23086022X","Counterpain Patch Aroma R","HOE PHARMACEUTICALS SDN. BHD."
"36","MAL23116071T","Nolevaa Pain Relief Patch","AVELON HEALTHCARE SDN. BHD."
"37","MAL23106037X","PainFix Relief Patch For Muscle & Joint Pain","REFORMS PHARMA SDN. BHD."
"38","MAL24096074X","Hundredplast Koyok Pain Relief Hydrogel Patch - Cool","THP MEDICAL SDN. BHD."
"39","MAL25016031X","Hundredplast Koyok Pain Relief Hydrogel Patch - Warm","THP MEDICAL SDN. BHD."
"40","MAL25086039X","J.Bio Pain Relief Cool Patch","J. BIO MEDIC MARKETING SDN. BHD."
"41","MAL25046037X","Salonpas-HOT Patch","Hisamitsu Pharmaceutical Malaysia Sdn. Bhd."
