product_id,edition_code,product_code,brand_name,manufacturer,raw_line,page_no
1,unknown,02238162,Diastat 1,mL (5 mg) Bausch H.,"02238162 Diastat 1 mL (5 mg) Bausch H. 2 142,18 71,0900",238
2,unknown,99113825,Diastat 2,mL (10 mg) Bausch H.,"99113825 Diastat 2 mL (10 mg) Bausch H. 2 142,18 71,0900",238
3,unknown,99113826,Diastat 3,mL (15 mg) Bausch H.,"99113826 Diastat 3 mL (15 mg) Bausch H. 2 142,18 71,0900",238
4,unknown,01968823,Lidodan Visqueuse,Odan 50,"01968823 Lidodan Visqueuse Odan 50 ml 13,50 0,2700",279
5,unknown,02245345,AndroGel BGP,Pharma,"02245345 AndroGel BGP Pharma 30 65,13 2,1710",312
6,unknown,02463792,Taro-Testosterone Gel,Taro,"02463792 Taro-Testosterone Gel Taro 30 50,18 1,6727",312
7,unknown,02245346,AndroGel BGP,Pharma,"02245346 AndroGel BGP Pharma 30 115,17 3,8390",312
8,unknown,02463806,Taro-Testosterone Gel,Taro,"02463806 Taro-Testosterone Gel Taro 30 88,73 2,9577",312
9,unknown,02280248,Testim 1%,Paladin,"02280248 Testim 1% Paladin 30 88,73 2,9577",312
10,unknown,02297809,Metrogel Galderma,55,"02297809 Metrogel Galderma 55 g 33,00 0,6000",335
11,unknown,02221926,Topicort Bausch,H. 60,"02221926 Topicort Bausch H. 60 g 26,82 0,4470",341
12,unknown,02221934,Topicort Bausch,H. 60,"02221934 Topicort Bausch H. 60 g 34,59 0,5765",341
13,unknown,02236997,Lyderm Taro,60,"02236997 Lyderm Taro 60 g 18,45 0,3075",342
14,unknown,02161966,Lidex Onguent,Bausch H. 60,"02161966 Lidex Onguent Bausch H. 60 g 18,21 0,3035",342
15,unknown,02236996,Lyderm Taro,60,"02236996 Lyderm Taro 60 g 18,21 0,3035",342
16,unknown,00921084,DuoDERM Gel,Convatec 30,"00921084 DuoDERM Gel Convatec 30 g 6,64 0,2213",345
17,unknown,99100795,Cutimed Gel,BSN Med 15,"99100795 Cutimed Gel BSN Med 15 g 2,95 0,1967",346
18,unknown,99100365,Nu-Gel 3M,15,"99100365 Nu-Gel 3M 15 g 3,80 0,2533",346
19,unknown,99100152,Purilon Gel,Coloplast 8,"99100152 Purilon Gel Coloplast 8 g 2,25 0,2813",346
20,unknown,99100300,Woun'dres Coloplast,28,"99100300 Woun'dres Coloplast 28 g 3,70 0,1321",346
21,unknown,00907936,Intrasite S.,& N. 8,"00907936 Intrasite S. & N. 8 g 2,73 0,3413",346
22,unknown,02270811,Finacea Leo,50,"02270811 Finacea Leo 50 g 30,00 0,6000",402
23,unknown,02319012,Dovobet Gel,Leo 80,"02319012 Dovobet Gel Leo 80 g 105,14 1,3143",406
24,unknown,02525178,Taro-Calcipotriol/ Taro,60,"02525178 Taro-Calcipotriol/ Taro 60 g 71,59 1,1932",406
25,unknown,02244126,Dovobet Leo,120,"02244126 Dovobet Leo 120 g 151,60 1,2633",406
26,unknown,02427419,Teva-Betamethasone/ Teva,Can 60,"02427419 Teva-Betamethasone/ Teva Can 60 g 64,43 1,0738",406
27,unknown,01926462,Vitamin A,Acid Gel Doux Bausch H. 25,"01926462 Vitamin A Acid Gel Doux Bausch H. 25 g 7,41 0,2964",516
