molecule_id,edition_code,section_id,inn_name,flags_raw,page_no
1,unknown,,LA MÉTHODE DU PRIX LE PLUS BAS NE S’APPLIQUE PAS,,1
2,unknown,13,COÛT DU,,7
3,unknown,13,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,7
4,unknown,13,FORMAT,,7
5,unknown,14,DIPHENHYDRAMINE (CHLORHYDRATE DE),,7
6,unknown,14,FLUNARIZINE (CHLORHYDRATE DE),X,7
7,unknown,15,COÛT DU,,11
8,unknown,15,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,11
9,unknown,15,FORMAT,,11
10,unknown,16,MÉBENDAZOLE,X,11
11,unknown,16,PRAZIQUANTEL,X,11
12,unknown,16,PYRANTEL (PAMOATE DE),,11
13,unknown,17,AMIKACINE (SULFATE D'),X,11
14,unknown,17,TOBRAMYCINE (SULFATE DE),X,11
15,unknown,17,COÛT DU,,12
16,unknown,17,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,12
17,unknown,17,FORMAT,,12
18,unknown,18,CÉFADROXIL (MONOHYDRATE DE),X,12
19,unknown,18,CÉFAZOLINE SODIQUE,X,12
20,unknown,18,CÉFÉPIME (CHLORHYDRATE DE),X,12
21,unknown,18,CEFIXIME,X,12
22,unknown,18,COÛT DU,,13
23,unknown,18,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,13
24,unknown,18,FORMAT,,13
25,unknown,18,CÉFOTAXIME SODIQUE,X,13
26,unknown,18,CEFPROZIL,X,13
27,unknown,18,CEFTAZIDIME (PENTAHYDRATE DE),X,13
28,unknown,18,COÛT DU,,14
29,unknown,18,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,14
30,unknown,18,FORMAT,,14
31,unknown,18,CEFTRIAXONE SODIQUE,X,14
32,unknown,18,CÉFUROXIME AXETIL,X,14
33,unknown,18,COÛT DU,,15
34,unknown,18,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,15
35,unknown,18,FORMAT,,15
36,unknown,18,CÉFUROXIME SODIQUE,X,15
37,unknown,18,CÉPHALEXINE (MONOHYDRATE DE),X,15
38,unknown,18,COÛT DU,,16
39,unknown,18,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,16
40,unknown,18,FORMAT,,16
41,unknown,19,CÉFOXITINE SODIQUE,X,16
42,unknown,19,COÛT DU,,17
43,unknown,19,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,17
44,unknown,19,FORMAT,,17
45,unknown,19,ERTAPÉNEM SODIQUE,X,17
46,unknown,19,IMIPÉNEM/ CILASTATINE SODIQUE,X,17
47,unknown,19,MEROPENEM,X,17
48,unknown,19,COÛT DU,,18
49,unknown,19,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,18
50,unknown,19,FORMAT,,18
51,unknown,20,AZITHROMYCINE,X,18
52,unknown,20,COÛT DU,,19
53,unknown,20,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,19
54,unknown,20,FORMAT,,19
55,unknown,20,CLARITHROMYCINE,X,19
56,unknown,20,"250 207,95",R,19
57,unknown,20,"250 103,04",R,19
58,unknown,20,COÛT DU,,20
59,unknown,20,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,20
60,unknown,20,FORMAT,,20
61,unknown,21,AMOXICILLINE,X,20
62,unknown,21,COÛT DU,,21
63,unknown,21,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,21
64,unknown,21,FORMAT,,21
65,unknown,21,AMOXICILLINE/ CLAVULANATE DE POTASSIUM,X,21
66,unknown,21,COÛT DU,,22
67,unknown,21,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,22
68,unknown,21,FORMAT,,22
69,unknown,21,AMPICILLINE,X,22
70,unknown,21,AMPICILLINE SODIQUE,X,22
71,unknown,21,COÛT DU,,23
72,unknown,21,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,23
73,unknown,21,FORMAT,,23
74,unknown,21,CLOXACILLINE SODIQUE,X,23
75,unknown,21,PÉNICILLINE G (BENZATHINE),X,23
76,unknown,21,PÉNICILLINE G SODIQUE,X,23
77,unknown,21,COÛT DU,,24
78,unknown,21,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,24
79,unknown,21,FORMAT,,24
80,unknown,21,PHÉNOXYMÉTHYLPÉNICILLINE (BASE OU SEL POTASSIQUE),X,24
81,unknown,21,PIPÉRACILLINE SODIQUE/ TAZOBACTAM SODIQUE,X,24
82,unknown,21,COÛT DU,,25
83,unknown,21,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,25
84,unknown,21,FORMAT,,25
85,unknown,22,CIPROFLOXACINE (CHLORHYDRATE DE),X,25
86,unknown,22,COÛT DU,,26
87,unknown,22,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,26
88,unknown,22,FORMAT,,26
89,unknown,22,COÛT DU,,27
90,unknown,22,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,27
91,unknown,22,FORMAT,,27
92,unknown,22,LÉVOFLOXACINE,X,27
93,unknown,22,MOXIFLOXACINE (CHLORHYDRATE DE),X,27
94,unknown,22,NORFLOXACINE,X,27
95,unknown,22,COÛT DU,,28
96,unknown,22,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,28
97,unknown,22,FORMAT,,28
98,unknown,23,SULFASALAZINE,X,28
99,unknown,23,TRIMÉTHOPRIME/ SULFAMÉTHOXAZOLE,X,28
100,unknown,24,DOXYCYCLINE (HYCLATE DE),X,28
101,unknown,24,COÛT DU,,29
102,unknown,24,CODE MARQUE DE COMMERCE FABRICANT FORMAT PRIX UNITAIRE,,29
103,unknown,24,FORMAT,,29
104,unknown,24,MINOCYCLINE (CHLORHYDRATE DE),X,29
105,unknown,24,TÉTRACYCLINE (CHLORHYDRATE DE),X,29
106,unknown,25,CLINDAMYCINE (CHLORHYDRATE DE),X,29
107,unknown,25,CLINDAMYCINE (PHOSPHATE DE),X,29
108,unknown,25,COÛT DU,,30
