Registration No,Product Name,Holder
MAL20034830X,MUCIL 100,IMEKS PHARMA SDN. BHD.
MAL19860458AZ,MOXILEN CAPSULE 250MG,KOMEDIC SDN BHD
MAL19984025AZ,DOMI INJECTION 5MG (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL21017001AZ,INJECSOL LIG2P (Lignocaine Hydrochloride Injection 2% w/v with Preservative),AIN MEDICARE SDN. BHD.
MAL06061524XC,GESB Liniment Oil,GAMAT EMAS SDN BHD
MAL20076014ARZ,ERDOMED® Hard Capsules 300mg,HYPHENS PHARMA SDN. BHD.
MAL19016090ACRZ,Erysaa Prefilled Syringe 4000IU/0.4mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985171AZ,AKOSET INJECTION 2ML AMP,DUOPHARMA (M) SENDIRIAN BERHAD
MAL08010687ACZ,[TIMEOUT ERROR],
MAL20002269AZ,UNOCEF INJECTION 1000MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20031943AZ,Tuberculin PPD RT 23 AJV,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL20014357AZ,INFUSOL D50,AIN MEDICARE SDN. BHD.
MAL09062132X,Appeton Essentials Antioxidant,KOTRA PHARMA (M) SDN. BHD.
MAL20012703ARZ,INTAXEL INJECTION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL08042447AZ,Clamentin Injection 1.2g,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940741X,AXOL LIQUID 3MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985960AZ,"YSP Nystatin Capsule 500,000 units",Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05032522AZ,Promedyl DM Linctus,Duopharma Marketing Sdn. Bhd.
MAL21066021AZ,LYCAN INJECTION 2% W/V,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06100579AZ,N/A,N/A
MAL20000367AZ,IMACH INJECTION 10ML,SM PHARMACEUTICALS SDN. BHD.
MAL15045138AZ,Pharmaniaga Furosemide 20mg/2mL Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19970964AZ,LARTIL INJECTION 1ML (12.5 MG/ML),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061552AZ,Frotin Pessaries,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020722X,OK Orang Kampung Minyak Hijau,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
