Registration No,Product Name,Holder
MAL20014216AZ,AXCEL CEPHALEXIN-250 CAPSULE,KOTRA PHARMA (M) SDN. BHD.
MAL20076034ACZ,Vobrax Capsules 200mg,Asumed Biotech Sdn. Bhd.
MAL19990579AZ,DOSANAC EMULSION GEL,SPG PHARMA (MALAYSIA) SDN BHD
MAL19986556XC,TIGER & STORK BRAND MEDICATED OIL,WENG HARNG ENTERPRISE
MAL17107026AZ,Shinallerg Eye Drop,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900462AZ,MABRON CAPSULES 50MG,KOMEDIC SDN BHD
MAL20034631ACZ,BACTIFLOX-500 LACTAB,MEPHARM (MALAYSIA) SDN. BHD.
MAL19871725AZ,DIPHENDRYL EXPECTORANT,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL07122833X,Coenzyme Q10 75mg,HERBAL SCIENCE SDN. BHD.
MAL09062132X,Appeton Essentials Antioxidant,KOTRA PHARMA (M) SDN. BHD.
MAL18086102AZ,N/A,N/A
MAL19993078AZ,OMILOCK CAPSULE 20MG,SM PHARMACEUTICALS SDN. BHD.
MAL20116003ACRZ,Nocdurna Oral Lyophilisate for Sublingual 50 mcg,Ferring Sdn. Bhd.
MAL19046022NC,JANIPRO I-Visoo Capsule,Janipro (M) Sdn Bhd
MAL19870958AZ,HERPESAN GEL 2%,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20020722X,OK Orang Kampung Minyak Hijau,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20021164AZ,ATEHEXAL 50,IMEKS PHARMA SDN. BHD.
MAL19912626X,POTCIT MIXTURE,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19992766XZ,INFUSOL W,AIN MEDICARE SDN. BHD.
MAL19912674X,Calsonate 500mg Capsule,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20013182X,Shine Multivitamin and Mineral Capsule,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20026015NC,JANIPRO SAMUCIL Capsule,Janipro (M) Sdn Bhd
MAL05121153AZ,Zocol 150mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL19985172AZ,ANIKEF STERILE 750MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014356AZ,INFUSOL D40,AIN MEDICARE SDN. BHD.
MAL22026016X,AIN ChlorAL (Isopropyl Alcohol 75% v/v And Chlorhexidine Gluconate 0.5% w/v Hand Disinfectant),AIN MEDICARE SDN. BHD.
MAL19890329AZ,BETAMOX CAPSULE 250MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL17107076ACRZ,MINIRIN Oral Lyophilisate for sublingual 120mcg,Ferring Sdn. Bhd.
MAL11085007XZ,RinsCap CIPA ( CHLORHEXIDINE GLUCONATE 2% w/v and ISOPROPYL ALCOHOL 70% v/v ),AIN MEDICARE SDN. BHD.
MAL20002288X,Uphaplast Medicated Plaster,Duopharma Marketing Sdn. Bhd.
MAL21066033XZ,RinsCap ALco+ (Isopropyl Alcohol 75% v/v and Chlorhexidine Gluconate 0.5% w/v Hand Disinfectant),AIN MEDICARE SDN. BHD.
MAL19016091ACRZ,Erysaa Prefilled Syringe 2000IU/0.5mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL19860568AZ,MEDOMYCIN CAPSULE 100MG,KOMEDIC SDN BHD
MAL19871957AZ,MONOCLOX CAPSULE 250MG,KOMEDIC SDN BHD
MAL05041842X,AVM-Artrisa 500mg Capsule,AV MANUFACTURING SDN.BHD
MAL19992399AZ,N/A,N/A
MAL20086021X,Rohto Eye Wash (Distilled Witch Hazel 13%v/v),ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL19920729AZ,PERITONIL H2,AIN MEDICARE SDN. BHD.
