Registration No,Product Name,Holder
MAL09111765XZ,Flavettes Vitamin C Blackcurrant 250mg,Duopharma Marketing Sdn. Bhd.
MAL19921172XZ,ARFEN 250 SUPPOSITORIES,KOMEDIC SDN BHD
MAL19989041XZ,YSP Bisacodyl Suppositories 5 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL23036031XC,Lyzodase Troche,Vismedic Sdn. Bhd.
MAL19986556XC,TIGER & STORK BRAND MEDICATED OIL,WENG HARNG ENTERPRISE
MAL20002296XRZ,VITAMIN C-1000 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
MAL19900415AZ,N/A,N/A
MAL20031769X,APPETON ESSENTIALS NATAL CARE,KOTRA PHARMA (M) SDN. BHD.
MAL10120020ACZ,N/A,N/A
MAL19992768AZ,INFUSOL QSD1,AIN MEDICARE SDN. BHD.
MAL19921171XZ,ARFEN 125 SUPPOSITORIES,KOMEDIC SDN BHD
MAL20021163AZ,ATEHEXAL 25,IMEKS PHARMA SDN. BHD.
MAL20016152XC,Geliga Balm Cap Kris,SYARIKAT MYP SDN. BHD.
MAL19992771AZ,INFUSOL HS,AIN MEDICARE SDN. BHD.
MAL07061572XZ,Enerlyte Oral Rehydration Salts (Natural),Duopharma Marketing Sdn. Bhd.
MAL09100308X,OK Orang Kampung Bam Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL19900659AZ,CLOPIXOL-ACUPHASE INJ 50MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL19992399AZ,N/A,N/A
MAL19993046AZ,INFUSOL HSD5,AIN MEDICARE SDN. BHD.
MAL19912381XZ,PINETARSOL GEL,EGO PHARM MALAYSIA SDN. BHD.
MAL19870138AZ,HEPARINOL 1000 IU/mL,AIN MEDICARE SDN. BHD.
MAL20046133X,Alsoft A Hand Disinfectant 0.2% w/v,Goodmaid Chemicals Corp. Sdn. Bhd.
MAL20013175X,Three Legs Wintergreen Liniment,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL20014330ACZ,AMIOHEXAL 200,IMEKS PHARMA SDN. BHD.
MAL19983954X,MINYAK HANGAT AFIAT (LINIMENT),Syarikat Minyak Afiat Sdn Bhd
MAL20014360AZ,INFUSOL QSD10,AIN MEDICARE SDN. BHD.
MAL19985560AZ,VOREN SUPPOSITORIES 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13075046N,APPETON MULTIVITAMIN OPTIGROW PLUS,KOTRA PHARMA (M) SDN. BHD.
MAL19940741X,AXOL LIQUID 3MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962172XZ,SHINE VITAMIN C-100 (ORANGE FLAVOUR),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19912398XR,N/A,N/A
MAL08051617XZ,AXPAIN-650 CAPLET,KOTRA PHARMA (M) SDN. BHD.
MAL18086102AZ,N/A,N/A
MAL06100580AZ,N/A,N/A
MAL19096031X,E-zyme B6 Soothing Liquid,AV MANUFACTURING SDN.BHD
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13035064AZ,SII Tetanus Toxoid Vaccine Adsorbed,SM PHARMACEUTICALS SDN. BHD.
MAL19016091ACRZ,Erysaa Prefilled Syringe 2000IU/0.5mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061552AZ,Frotin Pessaries,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20033496AZ,OLFEN-50,MEPHARM (MALAYSIA) SDN. BHD.
MAL20021183X,OK ORANG KAMPUNG MINYAK PALA PLUS,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20031763X,N/A,N/A
MAL17107026AZ,Shinallerg Eye Drop,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19870958AZ,HERPESAN GEL 2%,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL22026016X,AIN ChlorAL (Isopropyl Alcohol 75% v/v And Chlorhexidine Gluconate 0.5% w/v Hand Disinfectant),AIN MEDICARE SDN. BHD.
MAL20014356AZ,INFUSOL D40,AIN MEDICARE SDN. BHD.
MAL19993044AZ,INFUSOL D10,AIN MEDICARE SDN. BHD.
MAL20021164AZ,ATEHEXAL 50,IMEKS PHARMA SDN. BHD.
MAL20000738AZ,KETAZON SHAMPOO,SPG PHARMA (MALAYSIA) SDN BHD
MAL06071077AZ,Sonap Forte Caplet 550mg,IMEKS PHARMA SDN. BHD.
MAL19920712AZ,INFUSOL S3,AIN MEDICARE SDN. BHD.
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,GNC LIVEWELL MALAYSIA SDN. BHD.
