Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,MAL04010359XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL04030533X,Flavettes Vitamin C with Calcium Time Release 1000mg,MAL04030533X,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL04080003XZ,Appeton A to Z Kid's Vitamin C 30mg Tablet (Blackcurrant),MAL04080003XZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL04091675XZ,Appeton A To Z Kid's Vitamin C 30mg Tablet (Strawberry),MAL04091675XZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL04103441AZ,Perinace Tablet 4 mg,MAL04103441AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL04125482AZ,YSP Ibuprofen Suspension 20mg/ml,MAL04125482AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL04125483XZ,Aqua Cream,MAL04125483XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,MAL04125487AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL04125501X,GNC Natural E 400 IU Softgel,MAL04125501X,GNC LIVEWELL MALAYSIA SDN. BHD.,"UNIT 30-01 LEVEL 30. TOWER A, VERTICAL BUSINESS SUITE, AVENUE 3, BANGSAR SOUTH NO.8 JALAN KERINCHI 59200 KUALA LUMPUR MALAYSIA",0327839191,NUTRA MANUFACTURING INC,1050 WOODRUFF ROAD 29607 UNITED STATES
MAL04125504AZ,Zolterol SR Tablet 100mg,MAL04125504AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL04125505AZ,Zolterol SR Tablet 75mg,MAL04125505AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05012310AZ,IMDEX 60MG CR TABLET,MAL05012310AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,MAL05023177XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,MAL05023182ACZ,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.,"UNIT 9-1, LEVEL 9 WISMA AVERIS, AVENUE 5, BANGSAR SOUTH CITY, NO.8, JALAN KERINCHI, 59200 KUALA LUMPUR MALAYSIA",603-22414889,INTERTHAI PHARMACEUTICAL MANUFACTURING LTD,"1899 PHAHOLYOTHIN ROAD, LADYAO, CHATUCHAK, BANGKOK, 10900 THAILAND"
MAL05032522AZ,Promedyl DM Linctus,MAL05032522AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05032527XCR,Decostriol 0.25 mcg capsule,MAL05032527XCR,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Catalent Germany Eberbach GmbH,GAMMELSBACHER STR. 2 69412 EBERBACH GERMANY
MAL05032538ACZ,Carin Tablet 10mg,MAL05032538ACZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05032545AZ,Carinox Capsule,MAL05032545AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05041842X,AVM-Artrisa 500mg Capsule,MAL05041842X,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
