Russian,English
????????,Novocaine
???????????,Ceftriaxone
?????????,Spazmonet
?????????®,Spazmonet®
????????,Intelence
????????®,Intelence®
?????????? ????????,Betahistine Medisorb
?????????? ????????,Sevoflurane Medisorb
??????? ???????? ????????,Calcium gluconate Medisorb
????????? ????????,Ibuprofen Medisorb
???????????? ????????,Atorvastatin Medisorb
????????????? ????????,Spironolactone Medisorb
?????????? ????????,Drotaverine Medisorb
?????????,Amlodipine
????????? ????????,Amlodipine Medisorb
???????? 99mTc,Technefit 99mTc
"????????, 99mTc","Pentatech, 99mTc"
???????????? ?????????????,Human chorionic gonadotropin
??????????,Ceftazidime
?????????,Ibuprofen
?????????®,KOMBALGIN®
??????????,Metoprolol
??????????-????,Diclofenac-AKOS
?????????,Moflaxia
??????????-????,Atazanavir-Krka
???????? ??????,Cordipin retard
??????????,Bupivacaine
?????? ??????,Sodium chloride
???????®,Pentasa®
?????????,Selezolid
????????????,Metronidazole
????????,ELOKTATE
????????,Panangin
??????????????,Moxifloxacin
??????????????,Ciprofloxacin
???????????,CAPREOMYCIN
????????®,Panangin®
????????+??????????,Imipenem+Cilastatin
?????????,Cefazolin
?????????????,Levofloxacin
??????????????????? 200/0.5,Hydroxyethyl starch 200/0.5
??????? ???????,Ringer's solution
???????,Glucose
??????,Ringer
????????,Cefinvic
??????????????? ???????,Aminocaproic acid
???????????-??????,Ceftriaxone-LEKSVM
??????????+??????????,Ampicillin+Sulbactam
??????????,Ampicillin
?????????,Kanamycin
??????????,Ofloxacin
??????,Cetrin
??????????,Vancomycin
?????????,Pozimycin
????????,Diphenhydramine
???????-??,PIMOCEV-AG
????????? ??,Piracetam DS
?????????,Diclofarm
???????? ??,Lidocaine DS
?????????? ??,Ketoprofen DS
?????????? ??,Drotaverine DS
??????? ?,Levolet R
???????® ?,Levolet® R
??????????,CASPOMINEER
????????,Biseptol
"???-?????-??? ??????????????? ????????? ??????? ??? ???????????? ?????????????? ????????, ?????????? ??????? SARS-CoV-2",Gam-COVID-Vac: A combined vector vaccine for the prevention of coronavirus infection caused by the SARS-CoV-2 virus.
??????? 1.75,Maninil 1.75
????????®,Tigerase®
???????????? ????????,Metronidazole Medisorb
???????,Rickling
??????????,DeTriFerol
????????,Eralfon
????????,Amikacin
????????,Euphyllin
???????????,Haloperidol
?????????,Bakcefort
??????????,Fosfomycin
??????????,Eculizumab
???????,Jakavi
???????®,Jakavi®
