REGNO,Holder
MAL05041842X,AV MANUFACTURING SDN.BHD
MAL19985960AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890541AZ,Lundbeck Malaysia Sdn. Bhd.
MAL16115040AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19993047AZ,AIN MEDICARE SDN. BHD.
MAL20031769X,KOTRA PHARMA (M) SDN. BHD.
MAL07091058X,AV MANUFACTURING SDN.BHD
MAL20040565AZ,KOMEDIC SDN BHD
MAL20001914XZ,SM PHARMACEUTICALS SDN. BHD.
MAL09080813T,KOTRA PHARMA (M) SDN. BHD.
MAL18026038XC,JWP Medical Sdn. Bhd.
MAL19987401X,Leung Kai Fook Medical Sdn. Bhd.
MAL20013500XZ,KOTRA PHARMA (M) SDN. BHD.
MAL17107026AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19860247AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19890330AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900491AZ,KOMEDIC SDN BHD
MAL19910003AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20076054XC,Vismedic Sdn. Bhd.
MAL19900659AZ,Lundbeck Malaysia Sdn. Bhd.
MAL20021165AZ,IMEKS PHARMA SDN. BHD.
MAL19920712AZ,AIN MEDICARE SDN. BHD.
MAL18106134AZ,HYPHENS PHARMA SDN. BHD.
MAL20014357AZ,AIN MEDICARE SDN. BHD.
MAL15095004N,N/A
MAL20013759XC,CAMBERT(M) SDN. BHD.
MAL13075046N,KOTRA PHARMA (M) SDN. BHD.
MAL19962172XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06091431XC,CAMBERT(M) SDN. BHD.
MAL19988492AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20013175X,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL20132309AZ,SM PHARMACEUTICALS SDN. BHD.
MAL20021163AZ,IMEKS PHARMA SDN. BHD.
MAL19870138AZ,AIN MEDICARE SDN. BHD.
MAL19086002AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL05072030AZ,IMEKS PHARMA SDN. BHD.
MAL19912742AZ,Ferring Sdn. Bhd.
MAL10100038X,EGO PHARM MALAYSIA SDN. BHD.
MAL19860391AZ,KOMEDIC SDN BHD
MAL21026126NC,Janipro (M) Sdn Bhd
MAL06100580AZ,N/A
MAL19026071NCR,Janipro (M) Sdn Bhd
