"#","Registration No / Notification No","Product Name","Holder"
"1","MAL14085016AZ","FLUTIMATE 50 Fluticasone Pressurised Metered-Dose Inhaler 50mcg/dose (CFC-Free)","MEDISPEC (M) SDN. BHD."
"2","MAL17065016ACZ","Healol Salbutamol Inhaler (Salbutamol 100mcg/dose)","HEALOL PHARMACEUTICALS SDN. BHD."
"3","MAL18016060ACZ","Avacort HFA 200mcg Metered Dose Inhaler","Nano Medic Care Sdn. Bhd."
"4","MAL16115014AZ","BIOMOL 100 mcg/dose HFA METERED DOSE INHALER","BIOCARE MANUFACTURING SDN. BHD."
"5","MAL05092475TC","Hurix's Cool Inhaler (2ml)","JIN BIN CORPORATION SDN. BHD."
"6","MAL19910630X","DYNA INHALER","DYNAPHARM (M) SDN. BHD."
"7","MAL20000201XE","AXE BRAND INHALER","Leung Kai Fook Medical Sdn. Bhd."
"8","MAL20014391X","AXE BRAND INHALER","Leung Kai Fook Medical Sdn. Bhd."
"9","MAL20033689X","SIANGPURE INHALER","TEONG HUAT MEDICAL SDN. BHD."
"10","MAL05032554XC","Vicks Inhaler","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"11","MAL20033350AZ","BERODUAL N METERED DOSE INHALER","BOEHRINGER INGELHEIM (MALAYSIA) SDN. BHD."
"12","MAL20033948AZ","ATROVENT N METERED DOSE INHALER  20MCG/PUFF","BOEHRINGER INGELHEIM (MALAYSIA) SDN. BHD."
"13","MAL20051456ACZ","ALVESCO 80 INHALER (120 PUFFS)","DKSH MALAYSIA SDN. BHD."
"14","MAL20051457ACZ","ALVESCO 160 INHALER (120 PUFFS)","DKSH MALAYSIA SDN. BHD."
"15","MAL20051458ACZ","ALVESCO 80 INHALER (60 PUFFS)","DKSH MALAYSIA SDN. BHD."
"16","MAL20051459ACZ","ALVESCO 160 INHALER (60 PUFFS)","DKSH MALAYSIA SDN. BHD."
"17","MAL19962160ACZ","AIROMIR (TM) INHALER","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"18","MAL20000020ACZ","QVAR 50 INHALER","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"19","MAL20000019ACZ","QVAR 100 INHALER","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"20","MAL20041029ACZ","ASTHALIN HFA METERED DOSE INHALER 100MCG / ACTUATION","CIPLA MALAYSIA SDN BHD"
"21","MAL06111295AZ","Beclate-100 Inhaler (CFC Free)","CIPLA MALAYSIA SDN BHD"
"22","MAL07090894ACZ","Bonair HFA Inhaler 100mcg/actuation","STERILINE SDN. BHD."
"23","MAL08080386ACZ","BESOMID 100 MCG/ ACTUATION  HFA- METERED DOSE INHALER","STERILINE SDN. BHD."
"24","MAL07090897AZ","Seroflo-125 inhaler","CIPLA MALAYSIA SDN BHD"
