"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12065064AZ","Flucor Day PE Soft Gelatin Capsule","HOVID BERHAD"
"2","MAL13045022T","Curb n` Beauty Capsule","Bioalpha International Sdn. Bhd."
"3","MAL11055010T","ONE MB Capsule 400mg","SERI MH UMMI SDN BHD"
"4","MAL11075018T","Man Forte Capsule","Bioalpha International Sdn. Bhd."
"5","MAL11055022TC","Herbal Farm Tri-Plex Capsule","Herbal Farm"
"6","MAL11035006T","GENEHERBS APOTEC KACIP FATIMAH PLUS CAPSULE","Bioalpha International Sdn. Bhd."
"7","MAL12035023TC","AllerOff Capsule","Nano Medic Care Sdn. Bhd."
"8","MAL12055070T","GINPLUS CAPSULE","DYNAPHARM HERBAL (M) SDN. BHD."
"9","MAL11035023T","apotec Immu Activ-Plus Capsule","Bioalpha International Sdn. Bhd."
"10","MAL11115036T","GKB Z-Well Capsule","GK BIO INTERNATIONAL SDN. BHD."
"11","MAL14015025T","B-Red Yeast Rice Plus Capsule","Bioalpha International Sdn. Bhd."
"12","MAL11035008T","Sweet-duce Capsule","Bioalpha International Sdn. Bhd."
"13","MAL11055014TC","KB ARCTIUM CAPSULE","KIN BIO GLOBAL SDN BHD"
"14","MAL11125046TC","KB RED RASPBERRY CAPSULE","KIN BIO GLOBAL SDN BHD"
"15","MAL11075027T","B-Multi Mushroom Capsule","Bioalpha International Sdn. Bhd."
"16","MAL11125058TC","LU COMPLEX CAPSULE","KIN BIO GLOBAL SDN BHD"
"17","MAL11085030T","GNC Herbal Plus Rhodiola Extract 340mg Capsule","GNC LIVEWELL MALAYSIA SDN. BHD."
"18","MAL12025016TC","K Plus Capsule","KIN BIO GLOBAL SDN BHD"
"19","MAL11045008NCR","MegaLive Omega 600/300, enteric coated softgel capsules","MegaLive BioSciences Sdn Bhd"
"20","MAL11075028TC","BIO SPEKTRA NIMBA PLUS CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"21","MAL11085020TC","Homesave Pearl Shine 320mg Capsule","HOE HONG NUTRITION SDN BHD"
"22","MAL11125063TC","DND N? 4 INJI PLUS CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"23","MAL11075030TC","DND NO 7 SIMPAAL CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"24","MAL11075026TC","DND N� 10 QAMAS CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"25","MAL11085022T","Nature`s Green Shoulder Pain Capsules","Tong Jum Chew (m) Sdn. Bhd."
"26","MAL11055021TC","U-Pinex U-Aid Capsule","U-PIN MEDIC TRADING SDN. BHD."
"27","MAL12025021TC","U-Pinex U-Care Capsule","U-PIN MEDIC TRADING SDN. BHD."
"28","MAL11125065TC","Herbalist Lok`s Series-A Capsule","Superior Response Sdn. Bhd."
"29","MAL11085016T","Fitne Capsule 400mg","SERI MH UMMI SDN BHD"
"30","MAL12035019TC","StemFlo Capsule","Stemtech Malaysia Holdings Sdn Bhd"
"31","MAL11095035TC","Herbalist Lok�s Series-B Capsule","Superior Response Sdn. Bhd."
"32","MAL11115045TC","Herbalist Lok`s Series-C Capsule","Superior Response Sdn. Bhd."
"33","MAL12015029TC","Herbalist Lok`s Series-E Capsule","Superior Response Sdn. Bhd."
"34","MAL12015022TC","Herbalist Lok`s Series-F Capsule","Superior Response Sdn. Bhd."
"35","MAL11125068T","VEGAPLEX CAPSULE","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"36","MAL12115056AZ","MYCOFIT 250MG CAPSULE","JETPHARMA SDN. BHD."
"37","MAL11095036TC","Herbalist Lok`s Series-J Capsule","Superior Response Sdn. Bhd."
"38","MAL11125090TC","Herbalist Lok`s Series-L Capsule","Superior Response Sdn. Bhd."
"39","MAL11115048TC","JACKEN VITAL MANHERBS CAPSULE","Healthy Lover Resources"
"40","MAL12025025TC","BioLina Tongkat Ali Capsule","Nuvita Sdn. Bhd."
"41","MAL11105015T","O-SEED CAPSULE","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"42","MAL11115049TC","StemMax Capsule","TST (ASIA) SDN. BHD."
"43","MAL11085009NC","Nutriva� Oliferin� Capsule","Nutriva International Sdn. Bhd."
"44","MAL14055161AZ","Flucor Night PE Soft Gelatin Capsule","HOVID BERHAD"
"45","MAL11085028TC","H4LIFE Olive Leaf Extract Capsule 450mg","HEALTH BUILDERS (M) SDN. BHD."
"46","MAL11125074TC","Bitreen Neem 100mg capsule.","TOTAL HEALTH CONCEPT SDN. BHD."
"47","MAL12025003T","GREENLEX MenCare Capsule 300mg","Zhulian Nutraceutical Sdn. Bhd."
"48","MAL12125023TC","MYCARE RED YEAST CAPSULE PLUS","Greentech Empires Enterprise"
"49","MAL11105039N","MAXENTA SHEEP PLACENTA SOFT CAPSULE","Einfach Holding Sdn Bhd"
"50","MAL12025062X","Donna Gluco-C Plus MSM Capsule","Duopharma Marketing Sdn. Bhd."
"51","MAL11095025T","G-ART CAPSULE","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"52","MAL11105040ARZ","Tasigna 150mg Capsule","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"53","MAL12045066TC","BIOFIZZ Tiger Milk Mushroom 420mg Capsule","Nuvita Sdn. Bhd."
"54","MAL12025014T","FABAO 101 (Enhanced Formula) Capsule","YANLING NATURAL HYGIENE SDN. BHD."
"55","MAL11075011NCR","Eurobio� Cholenol Plus Soft Capsule","EUROBIO SDN BHD"
"56","MAL12115077XC","Omacor 1000 mg Soft Capsules","ABBOTT LABORATORIES (M) SDN. BHD."
