WHO_ATC_Code,Local_Pack_Description_MK,Local_Pack_Description_EN,Generic_Name,Marketing_Company_MK,Marketing_Company_EN,Customized_Column_1,Pharmacy_Purchase_Price,Effective_Start_Date
J02AA01,ABELCET концентрат за суспензија за инфузија 5 mg/ml 1 стаклена вијала х 20 ml + игла за еднократна употреба за филтрација/кутија,ABELCET concentrate for suspension for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,AndersonBrecon (UK) Limited,AndersonBrecon (UK) Limited,H,6005.24,11.02.2016
J02AA01,ABELCET LIPID COMPLEX концентрат за дисперзија на инфузија 5 mg/ml 1 стаклена вијала х 20 ml + игла за еднократна употреба за филтрација/кутија,ABELCET LIPID COMPLEX concentrate for dispersion for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,AndersonBrecon (UK) Limited,AndersonBrecon (UK) Limited,H,,
J02AA01,ABELCET LIPID COMPLEX концентрат за дисперзија на инфузија 5 mg/ml 1 стаклена вијала х 20 ml + игла за еднократна употреба за филтрација/кутија,ABELCET LIPID COMPLEX concentrate for dispersion for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,"AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V.","AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V.",H,,
J02AA01,ABELCET LIPID COMPLEX концентрат за дисперзија на инфузија 5 mg/ml 1 стаклена вијала х 20 ml + игла за еднократна употреба за филтрација/кутија,ABELCET LIPID COMPLEX concentrate for dispersion for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,"Merckle GmbH, AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V., Millmount Healthcare Limited","Merckle GmbH, AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V., Millmount Healthcare Limited",H,6005.24,25.09.2020
L01CD01,ABRAXANE прашок за суспензија за инфузија 5 mg/ml 1 вијала х 100 mg/кутија,ABRAXANE powder for suspension for infusion 5 mg/ml 1 vial x 100 mg/box,paclitaxel,Celgene Distribution B.V.,Celgene Distribution B.V.,H,15005.7,16.03.2020
L01CD01,ABRAXANE прашок за суспензија за инфузија 5 mg/ml 1 вијала х 100 mg/кутија,ABRAXANE powder for suspension for infusion 5 mg/ml 1 vial x 100 mg/box,paclitaxel,Celgene Distribution B.V.,Celgene Distribution B.V.,H,14854.42,15.03.2021
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,22400.0,14.12.2011
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,22075.0,05.10.2012
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,20003.89,15.10.2013
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,19650.75,14.03.2014
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,17274.5,17.10.2014
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,16786.65,16.03.2015
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,14351.92,22.10.2015
M05BA08,ACLASTA раствор за инфузија 5 mg/100 ml 1 PE шише х 100 ml/кутија,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,H,12937.56,15.10.2016
L04AC07,ACTEMRA концентрат за раствор за инфузија 200 mg/10 ml 1 вијала х 10 ml/кутија,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,H,23680.27,14.12.2011
L04AC07,ACTEMRA концентрат за раствор за инфузија 200 mg/10 ml 1 вијала х 10 ml/кутија,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,H,22053.0,15.10.2013
