value,count,example_columns
lisdexanfetamina,3,active_ingredient
concizumab,2,active_ingredient
Prevención cardiovascular,2,therapeutic_class
sin sabor pote x300 g (VL),2,description
1 unidad cód. 183910 (VL),1,description
1 unidad cód. 25510 (VL),1,description
150mg/1.5ml lap.prell.x1,1,description
30 mg x 30 cáps.duras,1,description
50 mg x 30 cáps.duras,1,description
60mg/1.5ml lap.prell.x1,1,description
70 mg x 30 cáps.duras,1,description
botella x 1000 ml,1,description
bruma x 100 ml (VL),1,description
báls.óleo argán x 100ml,1,description
Caja x 30 cód. 421565 (VL),1,description
Caja x 30 cód. 421567 (VL),1,description
Caja x 30 cód. 421568 (VL),1,description
Caja x 30 cód. 421571 (VL),1,description
Caja x 30 cód. 421572 (VL),1,description
Caja x 30 cód. 421909 (VL),1,description
Caja x 30 cód. 421910 (VL),1,description
Caja x 30 cód. 421911 (VL),1,description
Caja x 30 cód.421570 (VL),1,description
caja x 6 cód.19021 (VL),1,description
caja x 6 cód.19030 (VL),1,description
chocolate x 930 g (VL),1,description
cítrico pote x 330 g (VL),1,description
frut.acai pote x 300 g (VL),1,description
frutilla pote x 300 g (VL),1,description
lata x 225 g (VL),1,description
libre sulf.báls.x 100 ml,1,description
libre sulf.shamp.x 100ml,1,description
lim.jen.té v. potex300 g (VL),1,description
lim.men.jen pote x 225 g (VL),1,description
lim.men.jen pote x 300 g (VL),1,description
limon. rosa pote x 225 g (VL),1,description
limon. rosa pote x 330 g (VL),1,description
loc.limpiadora x 50 ml (VL),1,description
loción x 50 ml (VL),1,description
lurbinectedina,1,active_ingredient
lámina gel autoadh x 1 (VL),1,description
lámina gel autoadh x 2 (VL),1,description
nar. mango pote x 330 g (VL),1,description
shamp. óleo argán x100ml,1,description
sin sabor pote x 300 g (VL),1,description
sobre x 1 x 5 g (VL),1,description
vainilla x 900 g (VL),1,description
