PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
,ARGENTINA,ISA,+50,vit.+assoc.,2025-11-10,11533.00,,,,comp.x 30 (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,chocolate x 907 g (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,strawberry x 907 g (VL)
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,vanilla x 907 g (VL)
,ARGENTINA,Laboratorio Millet,102 FOCUS,magnesium+assoc.,2026-01-07,22851.48,,,,comp. rec. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,2026-01-07,15590.67,,,,comp. rec. x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,2026-01-07,19364.53,,,,gummies x 90 (VL)
,ARGENTINA,Laboratorio Millet,102 MUJER,vitamins + minerals,2026-01-07,21178.92,,,,30 bl.capsules (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,17612.71,,,,comp.x 30 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,30649.61,,,,comp.x 60 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,42692.17,,,,comp.x 90 (VL)
,ARGENTINA,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,2026-01-07,14761.68,,,,sob.x 15 (VL)
,ARGENTINA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,2026-01-07,37017.37,,,,over x 30 (VL)
,ARGENTINA,ISA,4 X 4,sildenafil,2026-01-20,5779.00,,,,50 mg comp.rec.x 4
,ARGENTINA,Sempre Giovane,A.H.A,"glicolico, evil.+asoc.",2025-05-01,48400.00,,,,cr.x 75 (VL)
,ARGENTINA,Teva Argentina,ABELCET,amphotericin b lipid complex,2025-12-01,694469.82,IMPORTED,,,100 mg f.a.x 20 ml
,ARGENTINA,B-Life,ABINTRA,arginine+assoc.,2026-01-19,30902.26,IMPORTED,,,sachet x 27 g
,ARGENTINA,Duncan,ABLOOM 5,amlodipine,2024-02-09,6687.34,IOMA,8124.75,0.00,5 mg tablets x 30
,ARGENTINA,Eczane,ABRIKAT,acalabrutinib,2026-01-02,17338693.66,,,,100 mg capsules x 60
,ARGENTINA,Jayor,ACALASTATERA,acalabrutinib,2026-01-06,15497872.23,,,,100 mg capsules x 60
,ARGENTINA,Roemmers,ACALIX AP,diltiazem,2026-01-20,31699.00,IOMA,19644.98,12054.02,120 mg capsules x 30
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2026-01-20,33139.00,IOMA,20114.67,13024.33,180 mg capsules x 30
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2026-01-20,47940.00,IOMA,29531.38,18408.62,240 mg capsules x 30
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2026-01-20,53743.00,IOMA,33790.03,19952.97,300 mg capsules x 30
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,14913.25,,,,30 black capsules (VL)
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,26317.50,,,,60 bl. caps. (VL)
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,40353.50,,,,90 bl. caps. (VL)
,ARGENTINA,Coloplast,ACCESORIOS PARA FISTULAS,accessory,2025-11-01,374537.98,,,,box x 10 code 14041 (VL)
,ARGENTINA,Sanitas,ACEITE DE ARGAN EWE,acceptance from argan+vit.e,2026-01-21,18960.00,,,,env.x 50 ml (VL)
,ARGENTINA,Innovapharma,ACEITE DE KRILL,krill oil,2025-12-01,63700.00,IMPORTED,,,60 caps (VL)
,ARGENTINA,Provefarma,ACEITE DE OREGANO,oregano oil+asoc,2025-10-14,19500.00,,,,env.x 30 ml (VL)
,ARGENTINA,Provefarma,ACEITE DE PESCADO OMEGANAT,fish oil,2025-12-01,39000.00,,,,soft capsules x 60 (VL)
