PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
OOS,ARGENTINA,A.M. Farma Activ,ADELGAR SILUETA A.M.,medicinal herbs,,,,,,blist.x 20 x 10 comp.c/u (VL)
OOS,ARGENTINA,A.M. Farma Activ,AJO VITAL,garlic extract,,,,,,comp.x 90 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ALOE VERA A.M.,aloe vera+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ANTIOXIDANTE VITAL A.M.,vit.c+vit.e+beta-carotene+asoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ARANDANO+CENTELLA VITAL A.M.,blueberry+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ARANDANO+SPIRULINA VITAL A.M.,blueberry+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,CARTILAGO VITAL A.M.,shark cartilage,,,,,,500 mg comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,CENTELLA ASIATICA A.M.,centella asiatica+assoc.,,,,,,100 mg comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,CENTELLA ASIATICA A.M.,centella asiatica+assoc.,,,,,,30 mg comp.x 60 (VL)
OOS,ARGENTINA,A.M. Farma Activ,CENTELLA ASIATICA A.M.,centella asiatica+assoc.,,,,,,30mg blist.x 20 x 10 each (VL)
OOS,ARGENTINA,A.M. Farma Activ,COMPLEJO B VITAL A.M.,"vit. b,complex",,,,,,comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,CREATINA VITAL,creatine,,,,,,pvo.x 1000 g (VL)
OOS,ARGENTINA,A.M. Farma Activ,CREATINA VITAL,creatine,,,,,,pvo.x 200 g (VL)
OOS,ARGENTINA,A.M. Farma Activ,ENERGIZANTE A.M.,plant extracts+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ENERGIZANTE A.M.,plant extracts+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ENERGIZANTE VITAL A.M. C/GINSENG,ginseng+vit.+minerals,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,ENERGIZANTE VITAL A.M. C/GINSENG,ginseng+vit.+minerals,,,,,,comp.x 30 (VL)
