input_company,input_product_name,timestamp,records_found
Laboratorio Millet,102 FOCUS,2026-01-02T16:25:21,1
Laboratorio ENA,100% WHEY PROTEIN,2026-01-02T16:25:21,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-02T16:25:22,1
ISA,+50,2026-01-02T16:25:24,1
Laboratorio Millet,102 MAGNESIO,2026-01-02T16:25:24,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-02T16:25:37,1
Laboratorio Millet,102 MUJER,2026-01-02T16:25:47,1
Laboratorio Millet,102 PLUS,2026-01-02T16:25:57,3
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-02T16:26:07,1
Laboratorio Millet,102 SPORT BCAA,2026-01-02T16:26:17,1
Laboratorio Millet,102 VITAMINA C,2026-01-02T16:26:26,2
GlaxoSmithKline Biopharma,3 TC,2026-01-02T16:26:36,2
Lepetit,ACIMED,2026-01-02T16:26:40,4
Elea,3 TC + AZT ELEA,2026-01-02T16:26:47,1
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-02T16:27:08,1
ISA,4 x 4,2026-01-02T16:27:09,1
IQUISA,420 CBD BEAUTY,2026-01-02T16:27:19,1
IQUISA,420 CBD RELAX,2026-01-02T16:27:27,1
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-02T16:27:37,1
Medisol,ACIMED,2026-01-02T16:27:40,1
Cassará,5 FU,2026-01-02T16:27:47,1
Domínguez,5-ASA 1000,2026-01-02T16:27:57,1
Domínguez,5-ASA 2000,2026-01-02T16:28:07,1
Domínguez,5-ASA 400,2026-01-02T16:28:17,1
Domínguez,5-ASA 4000,2026-01-02T16:28:36,1
Domínguez,5-ASA 500,2026-01-02T16:28:37,1
Klonal,AGUA DESTILADA,2026-01-02T16:28:40,1
Domínguez,5-ASA 800,2026-01-02T16:28:47,1
Ariston,5XR 1000,2026-01-02T16:29:06,2
Ariston,5XR 500,2026-01-02T16:29:06,2
Elea,8 HORAS,2026-01-02T16:29:16,2
Domínguez,A ACIDO,2026-01-02T16:29:26,3
Domínguez,A ACIDO EMOLIENTE,2026-01-02T16:29:37,1
Veinfar,AGUA DESTILADA,2026-01-02T16:29:40,1
Domínguez,A ACIDO VITAL,2026-01-02T16:29:48,1
Medipharma,A-VITEL,2026-01-02T16:29:58,1
Medipharma,A-VITEL E,2026-01-02T16:30:07,1
Sempre Giovane,A.H.A,2026-01-02T16:30:18,1
Elea,ABACAVIR ELEA,2026-01-02T16:30:27,1
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,2026-01-02T16:30:36,1
Austral,AMOXITRAL,2026-01-02T16:30:42,2
Elea,ABARAX,2026-01-02T16:30:47,2
Roemmers,ABAXON,2026-01-02T16:30:57,5
Teva Argentina,ABELCET,2026-01-02T16:31:07,1
Biotechno Pharma,ABERIC,2026-01-02T16:31:17,1
B-Life,ABINTRA,2026-01-02T16:31:27,1
Celnova Argentina,ABIRANOVA,2026-01-02T16:31:38,1
Lepetit,AMOXITRAL,2026-01-02T16:31:40,1
Lafedar,ABIRATERON-A,2026-01-02T16:31:57,1
Glenmark,ABIRATERONA GLENMARK,2026-01-02T16:31:58,1
Duncan,ABLOOM,2026-01-02T16:32:07,1
Duncan,ABLOOM 5,2026-01-02T16:32:17,1
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,2026-01-02T16:32:27,4
Valuge,ABRALUX,2026-01-02T16:32:37,1
Medisol,AMOXOL 1000,2026-01-02T16:32:39,1
Bristol,ABRAXANE,2026-01-02T16:32:46,1
Eczane,ABRIKAT,2026-01-02T16:32:57,1
Pfizer,ABRILADA,2026-01-02T16:33:07,1
Pfizer,ABRYSVO,2026-01-02T16:33:17,1
F & F Farma,AC QUAXA,2026-01-02T16:33:27,1
Jayor,ACALASTATERA,2026-01-02T16:33:37,1
Sanitas,AMOXOL 1000,2026-01-02T16:33:43,1
Roemmers,ACALIX,2026-01-02T16:33:46,4
Roemmers,ACALIX AP,2026-01-02T16:33:57,1
Roemmers,ACALIX CRONOS,2026-01-02T16:34:08,3
Siegfried,ACANTEX,2026-01-02T16:34:17,5
Olbia Pharma,ACCELON,2026-01-02T16:34:27,3
Coloplast,ACCESORIOS PARA FISTULAS,2026-01-02T16:34:37,1
Cassará,AMOXOL 500,2026-01-02T16:34:39,2
Roche Diabetes,ACCU-CHEK ACTIVE GLUCOSA,2026-01-02T16:34:49,1
Roche Diabetes,ACCU-CHEK ACTIVE KIT,2026-01-02T16:34:58,1
Roche Diabetes,ACCU-CHEK FASTCLIX,2026-01-02T16:35:08,1
Roche Diabetes,ACCU-CHEK FASTCLIX KIT,2026-01-02T16:35:16,1
Roche Diabetes,ACCU-CHEK FASTCLIX KIT NP,2026-01-02T16:35:26,1
Roche Diabetes,ACCU-CHEK GUIDE,2026-01-02T16:35:37,1
Medisol,AMOXOL 500,2026-01-02T16:35:39,1
Roche Diabetes,ACCU-CHEK GUIDE CONTROL,2026-01-02T16:35:47,1
Roche Diabetes,ACCU-CHEK GUIDE KIT,2026-01-02T16:35:57,1
Roche Diabetes,ACCU-CHEK PERFORMA 25,2026-01-02T16:36:07,1
Roche Diabetes,ACCU-CHEK PERFORMA 50,2026-01-02T16:36:17,1
Roche Diabetes,ACCU-CHEK PERFORMA CONTROL,2026-01-02T16:36:27,1
Roche Diabetes,ACCU-CHEK SOFTCLIX NEW,2026-01-02T16:36:36,1
Fabop,ATIBAX,2026-01-02T16:36:38,1
Roche Diabetes,ACCU-CHEK SOFTCLIX PUNZADOR,2026-01-02T16:36:47,1
Sanitas,ACEITE DE ALMENDRAS EWE,2026-01-02T16:36:57,2
Sanitas,ACEITE DE ALMENDRAS EWE CON GOTERO,2026-01-02T16:37:07,1
Sanitas,ACEITE DE ARGAN EWE,2026-01-02T16:37:17,1
Sidus,ACEITE DE CHIA CORMILLOT,2026-01-02T16:37:27,1
San Ceferino,ACEITE DE COCO NEUTRO,2026-01-02T16:37:37,2
Savant Generic,ATIBAX,2026-01-02T16:37:38,1
Sanitas,ACEITE DE JOJOBA EWE,2026-01-02T16:37:47,1
Innovapharma,ACEITE DE KRILL,2026-01-02T16:37:57,1
Sanitas,ACEITE DE LAVANDA EWE,2026-01-02T16:38:07,1
AMN,ACEITE DE LORENZO,2026-01-02T16:38:17,1
Provefarma,ACEITE DE OREGANO,2026-01-02T16:38:27,1
Provefarma,ACEITE DE PESCADO 1000,2026-01-02T16:38:37,2
Laboratorio ENA,BCAA 2:1:1,2026-01-02T16:38:38,1
Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,2026-01-02T16:38:47,3
Provefarma,ACEITE DE PESCADO OMEGANAT,2026-01-02T16:38:57,1
Sanitas,ACEITE DE RICINO EWE,2026-01-02T16:39:07,2
Sanitas,ACEITE DE TEA TREE OIL EWE,2026-01-02T16:39:17,1
Laboratorio Dicofar,ACEITE ESMERALDA MOONE,2026-01-02T16:39:27,1
Siegfried,ACEMUK,2026-01-02T16:39:36,8
Pharmamerican S.R.L.,BCAA 2:1:1,2026-01-02T16:39:39,1
Siegfried,ACEMUK BIOTIC,2026-01-02T16:39:47,1
Siegfried,ACEMUK BIOTIC DUO,2026-01-02T16:39:57,1
Siegfried,ACEMUK DIA Y NOCHE,2026-01-02T16:40:07,1
Siegfried,ACEMUK GRIP,2026-01-02T16:40:17,1
Siegfried,ACEMUK JARABE,2026-01-02T16:40:27,1
Siegfried,ACEMUK L,2026-01-02T16:40:37,1
Rospaw,ACENOCOUMAROL ROSPAW,2026-01-02T16:40:47,1
Siegfried,ACERPES,2026-01-02T16:40:57,3
Novoplos,ACETA,2026-01-02T16:41:08,1
Teva Argentina,ACETILCISTEINA TEVA,2026-01-02T16:41:17,1
Siegfried,ACI-TIP,2026-01-02T16:41:27,1
Gemepe,ACICLOVIR GEMEPE,2026-01-02T16:41:37,1
Cassará,BETACORT CASSARA,2026-01-02T16:41:41,1
IBC,ACICLOVIR PHARMAVIAL 500,2026-01-02T16:41:46,2
Drawer,ACIDO AMINOCAPROICO DRAWER,2026-01-02T16:41:57,1
A.M. Farma Activ,ACIDO FOLICO,2026-01-02T16:42:07,1
Richmond,ACIDO FOLICO RICHMOND,2026-01-02T16:42:17,2
Vannier,ACIDO FOLICO VANNIER,2026-01-02T16:42:27,3
Provefarma,ACIDO HIALURONICO,2026-01-02T16:42:37,1
Pharmamerican S.R.L.,ACIDO HIALURONICO VITAMIN WAY,2026-01-02T16:42:47,1
IMA,ACIDO ZOLEDRONICO IMA,2026-01-02T16:42:57,1
Microsules Arg.,ACIDO ZOLEDRONICO MICROSULES,2026-01-02T16:43:07,1
Richet,ACIDO ZOLEDRONICO RICHET,2026-01-02T16:43:17,2
Medisol,BETACORT CASSARA,2026-01-02T16:43:26,1
Domínguez,ACIFOL,2026-01-02T16:43:27,2
Domínguez,ACIFOL 10,2026-01-02T16:43:37,2
Domínguez,ACIFOL 5,2026-01-02T16:43:46,2
Domínguez,ACIFOL B12,2026-01-02T16:43:57,2
Domínguez,ACIFOL FE,2026-01-02T16:44:07,2
Domínguez,ACIFOL GOTAS,2026-01-02T16:44:17,1
Andrómaco,ACIFUSIN,2026-01-02T16:44:27,2
Andrómaco,ACIFUSIN B,2026-01-02T16:44:37,1
Novoplos,ACILAC OMEGA 3-6,2026-01-02T16:44:47,1
Sanitas,ACIMED F,2026-01-02T16:44:57,2
Laboratorio Millet,BLUEKING,2026-01-02T16:45:06,3
Lepetit,ACIMED L,2026-01-02T16:45:08,1
Medipharma,ACIPOUN ORAL,2026-01-02T16:45:17,1
Géminis Farmacéutica,ACIVAL,2026-01-02T16:45:27,2
Biosidus S.A.U.,ACLASTA,2026-01-02T16:45:37,1
