PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
182,ARGENTINA,Gador,PROGRAF,tacrolimus,,,,,,1 mg caps.x 100
183,ARGENTINA,Gador,PROGRAF,tacrolimus,,,,,,0.5 mg caps.x 50
184,ARGENTINA,Gador,PROGRAF,tacrolimus,,,,,,5 mg caps.x 50
185,ARGENTINA,Gador,PROGRAF XL,tacrolimus,,,,,,0.5mg caps.acc.prol.x 50
186,ARGENTINA,Gador,PROGRAF XL,tacrolimus,,,,,,1 mg caps.acc.prol.x 50
187,ARGENTINA,Gador,PROGRAF XL,tacrolimus,,,,,,3 mg caps.acc.prol.x 50
188,ARGENTINA,Gador,PROGRAF XL,tacrolimus,,,,,,5 mg caps.acc.prol.x 50
254,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,,,,,,1000 IU fco.amp.liof.x 1
256,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,,,,,,250 IU fco.amp.liof.x 1
257,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,,,,,,500 IU fco.amp.liof.x 1
274,ARGENTINA,Baxter Argentina,EXTRANEAL,icodextrin,,,,,,sol.p/dil.perit.x2000ml
350,ARGENTINA,Bristol,REVLIMID,lenalidomide,,,,,,10 mg caps.x 21
351,ARGENTINA,Bristol,REVLIMID,lenalidomide,,,,,,15 mg caps.x 21
352,ARGENTINA,Bristol,REVLIMID,lenalidomide,,,,,,25 mg caps.x 21
353,ARGENTINA,Bristol,REVLIMID,lenalidomide,,,,,,5 mg caps.x 21
423,ARGENTINA,Novartis,TYKERB,lapatinib,,,,,,250 mg caps.x 140
468,ARGENTINA,Merck Serono,REBIF NF 44 MCG,beta interferon 1a without albumin,,,,,,jga.prell.x 12
469,ARGENTINA,Merck Serono,REBIF NF MULTIDOSIS 44 MCG,beta interferon 1a without albumin,,,,,,iny.x 4 cart.(3 ds. each)
470,ARGENTINA,Organon Arg.,SINGULAIR,montelukast,,,,,,children 4 mg comp.mast.x30
471,ARGENTINA,Organon Arg.,SINGULAIR,montelukast,,,,,,children 5 mg comp.mast.x30
475,ARGENTINA,MSD Argentina SRL,TEMODAL,temozolomide,,,,,,100 mg caps.x 5
476,ARGENTINA,MSD Argentina SRL,TEMODAL,temozolomide,,,,,,140 mg caps.x 5
477,ARGENTINA,MSD Argentina SRL,TEMODAL,temozolomide,,,,,,180 mg caps.x 5
479,ARGENTINA,MSD Argentina SRL,TEMODAL,temozolomide,,,,,,250 mg caps.x 5
489,ARGENTINA,Biosidus S.A.U.,ACLASTA,zoledronic acid,,,,,,5 mg f.a.x 100 ml
516,ARGENTINA,Novartis,GILENYA,fingolimod,,,,,,0.5 mg caps.x 28
525,ARGENTINA,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,,,,,,100 mg caps. x 50
526,ARGENTINA,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,,,,,,25 mg caps.x 50
527,ARGENTINA,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,,,,,,50 mg caps.x 50
528,ARGENTINA,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,,,,,,10 mg caps.x 60
529,ARGENTINA,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,,,,,,100 mg sol.beb.x 50 ml
530,ARGENTINA,Novartis,ONBRIZE BREEZHALER,indacaterol,,,,,,150 mcg caps.p/inh.x30
531,ARGENTINA,Novartis,ONBRIZE BREEZHALER,indacaterol,,,,,,300 mcg caps.p/inh.x30
538,ARGENTINA,Novartis,SEEBRI BREEZHALER,glycopyrronium,,,,,,50 mcg caps.x 30+inh.
544,ARGENTINA,Novartis,TASIGNA,nilotinib,,,,,,150 mg caps.x 120
545,ARGENTINA,Novartis,TASIGNA,nilotinib,,,,,,200 mg caps.x 120
560,ARGENTINA,Novartis,ZOMETA,zoledronic acid,,,,,,4 mg f.a.concent.x1 x5ml
565,ARGENTINA,Pfizer,BENEFIX,factor IX coagulation recomb.,,,,,,1000 IU f.a.x 1
