prefix,source_url,scrape_url,product_group,generic_name,formulation,strength_size,company_name,available_outside_pharmacy,notes,unit_price_vat,pack_price_vat,reimbursement_status,reimbursement_message,ppp_vat,vat_rate,currency,ppp_ex_vat,local_pack_code,local_pack_description,local_pack_url,local_pack_id
a,https://www.medicijnkosten.nl/medicijn?artikel=MORFINE%2FBUPI+INJ+0%2C04MG%2F5MG%2FML+IN+GLUC8%25+A+3ML+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=MORFINE%2FBUPI+INJ+0%2C04MG%2F5MG%2FML+IN+GLUC8%25+A+3ML+MSZ&id=245930e751c445a7d542d6d6b4c47cf1,"MORFINE/BUPI INJ 0,04MG/5MG/ML IN GLUC8% A 3ML MSZ",bupivacaine/morfine,injectievloeistof,"5/0,04mg/ml",maasstad ziekenhuis apotheek,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,"€ 0,00","€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"MORFINE/BUPI INJ 0,04MG/5MG/ML IN GLUC8% A 3ML MSZ",https://www.medicijnkosten.nl/medicijn?artikel=MORFINE%2FBUPI+INJ+0%2C04MG%2F5MG%2FML+IN+GLUC8%25+A+3ML+MSZ&id=245930e751c445a7d542d6d6b4c47cf1,245930e751c445a7d542d6d6b4c47cf1
a,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVAC%2FSUFENTANIL+INF+1MG%2F1MCG%2FML+ZAK+100ML+A%2B,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVAC%2FSUFENTANIL+INF+1MG%2F1MCG%2FML+ZAK+100ML+A%2B&id=45c20f6d2a827b9195154c20596316e8,BUPIVAC/SUFENTANIL INF 1MG/1MCG/ML ZAK 100ML A+,bupivacaine/sufentanil,vloeistof,1mg/1ug/ml,a+ apotheek,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,BUPIVAC/SUFENTANIL INF 1MG/1MCG/ML ZAK 100ML A+,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVAC%2FSUFENTANIL+INF+1MG%2F1MCG%2FML+ZAK+100ML+A%2B&id=45c20f6d2a827b9195154c20596316e8,45c20f6d2a827b9195154c20596316e8
a,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVACAINE%2FMORFIN+INF+1%2C25MG%2F20MCG%2FML+FL+50ML+A%2B,https://www.medicijnkosten.nl/medicijn?artikel=BUPIVACAINE%2FMORFIN+INF+1%2C25MG%2F20MCG%2FML+FL+50ML+A%2B&id=4b219a8a3409345915250d89c8af623f,"BUPIVACAINE/MORFIN INF 1,25MG/20MCG/ML FL 50ML A+",bupivacaine/morfine,vloeistof,"1,25/0,02mg/ml",a+ apotheek,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"BUPIVACAINE/MORFIN INF 1,25MG/20MCG/ML FL 50ML A+",https://www.medicijnkosten.nl/medicijn?artikel=BUPIVACAINE%2FMORFIN+INF+1%2C25MG%2F20MCG%2FML+FL+50ML+A%2B&id=4b219a8a3409345915250d89c8af623f,4b219a8a3409345915250d89c8af623f
a,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILLIN%2FTAZOBAC+INF+60%2F7%2C5MG%2FML+CAS+100ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILLIN%2FTAZOBAC+INF+60%2F7%2C5MG%2FML+CAS+100ML+AHZ&id=53f5850fe5ceec9c3b2f5dd36d9901e9,"PIPERACILLIN/TAZOBAC INF 60/7,5MG/ML CAS 100ML AHZ",piperacilline/tazobactam,vloeistof,"60/7,5mg/ml",apotheek haagse ziekenhuizen,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"PIPERACILLIN/TAZOBAC INF 60/7,5MG/ML CAS 100ML AHZ",https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILLIN%2FTAZOBAC+INF+60%2F7%2C5MG%2FML+CAS+100ML+AHZ&id=53f5850fe5ceec9c3b2f5dd36d9901e9,53f5850fe5ceec9c3b2f5dd36d9901e9
a,https://www.medicijnkosten.nl/medicijn?artikel=AZIJNZUUR+WONDSPOELING+1%25+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=AZIJNZUUR+WONDSPOELING+1%25+MSZ&id=5d8394d322739484d849649ff87f942a,AZIJNZUUR WONDSPOELING 1% MSZ,azijnzuur,spoeling,10mg/ml,maasstad ziekenhuis apotheek,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,AZIJNZUUR WONDSPOELING 1% MSZ,https://www.medicijnkosten.nl/medicijn?artikel=AZIJNZUUR+WONDSPOELING+1%25+MSZ&id=5d8394d322739484d849649ff87f942a,5d8394d322739484d849649ff87f942a
a,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+120ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+120ML+AHZ&id=037576a1a0cd64413ac1893d2299d763,"PIPERACILL/TAZOBAC INF 50/6,25MG/ML POMP 120ML AHZ",piperacilline/tazobactam,vloeistof,"50/6,25mg/ml",apotheek haagse ziekenhuizen,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"PIPERACILL/TAZOBAC INF 50/6,25MG/ML POMP 120ML AHZ",https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+120ML+AHZ&id=037576a1a0cd64413ac1893d2299d763,037576a1a0cd64413ac1893d2299d763
a,https://www.medicijnkosten.nl/medicijn?artikel=HEPARINE+INJVLST+500IE%2FML+AMPUL+2ML+MSZ,https://www.medicijnkosten.nl/medicijn?artikel=HEPARINE+INJVLST+500IE%2FML+AMPUL+2ML+MSZ&id=19c1123d5ab5c480b68e3e004b45805b,HEPARINE INJVLST 500IE/ML AMPUL 2ML MSZ,heparine,injectievloeistof,500ie/ml,maasstad ziekenhuis apotheek,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,"€ 0,00","€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,HEPARINE INJVLST 500IE/ML AMPUL 2ML MSZ,https://www.medicijnkosten.nl/medicijn?artikel=HEPARINE+INJVLST+500IE%2FML+AMPUL+2ML+MSZ&id=19c1123d5ab5c480b68e3e004b45805b,19c1123d5ab5c480b68e3e004b45805b
a,https://www.medicijnkosten.nl/medicijn?artikel=CEFUROXIM+INFVLST+41%2C67MG%2FML+POMP+120ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=CEFUROXIM+INFVLST+41%2C67MG%2FML+POMP+120ML+AHZ&id=0999864e764466deaddf2eee2989ada1,"CEFUROXIM INFVLST 41,67MG/ML POMP 120ML AHZ",cefuroxim,vloeistof,"41,67mg/ml",apotheek haagse ziekenhuizen,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"CEFUROXIM INFVLST 41,67MG/ML POMP 120ML AHZ",https://www.medicijnkosten.nl/medicijn?artikel=CEFUROXIM+INFVLST+41%2C67MG%2FML+POMP+120ML+AHZ&id=0999864e764466deaddf2eee2989ada1,0999864e764466deaddf2eee2989ada1
a,https://www.medicijnkosten.nl/medicijn?artikel=CEFAZOLINE+INFVLST+12%2C5MG%2FML+POMP+120ML%285ML%2FU%29+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=CEFAZOLINE+INFVLST+12%2C5MG%2FML+POMP+120ML%285ML%2FU%29+AHZ&id=61ebbc996cf5ce42404a8ff98e599398,"CEFAZOLINE INFVLST 12,5MG/ML POMP 120ML(5ML/U) AHZ",cefazoline,vloeistof,"12,5mg/ml",apotheek haagse ziekenhuizen,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 190,06",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 190,06",0.09,EUR,174.366972477064,,"CEFAZOLINE INFVLST 12,5MG/ML POMP 120ML(5ML/U) AHZ",https://www.medicijnkosten.nl/medicijn?artikel=CEFAZOLINE+INFVLST+12%2C5MG%2FML+POMP+120ML%285ML%2FU%29+AHZ&id=61ebbc996cf5ce42404a8ff98e599398,61ebbc996cf5ce42404a8ff98e599398
a,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+240ML+AHZ,https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+240ML+AHZ&id=90db2b1b427e644a794909fd42b65f24,"PIPERACILL/TAZOBAC INF 50/6,25MG/ML POMP 240ML AHZ",piperacilline/tazobactam,vloeistof,"50/6,25mg/ml",apotheek haagse ziekenhuizen,Nee,Dit geneesmiddel is alleen op recept verkrijgbaar.,,"€ 0,01",Fully reimbursed,Dit middel wordt volledig vergoed door uw zorgverzekeraar. Aan de vergoeding van dit geneesmiddel zijn voorwaarden verbonden.,"€ 0,01",0.09,EUR,0.009174311927,,"PIPERACILL/TAZOBAC INF 50/6,25MG/ML POMP 240ML AHZ",https://www.medicijnkosten.nl/medicijn?artikel=PIPERACILL%2FTAZOBAC+INF+50%2F6%2C25MG%2FML+POMP+240ML+AHZ&id=90db2b1b427e644a794909fd42b65f24,90db2b1b427e644a794909fd42b65f24
