timestamp,keyword,page_rows,csv_rows,difference,status,reason,csv_file
2026-01-31T12:27:22.491294,Tablet,6121,6121,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_001_Tablet.csv
2026-01-31T12:28:42.933402,Capsule,6774,6774,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_002_Capsule.csv
2026-01-31T12:35:27.247444,Powder,0,0,0,no_csv_button,CSV button not available,
2026-01-31T12:36:47.273349,Granules,1030,1030,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_004_Granules.csv
2026-01-31T12:38:05.980144,Syrup,551,551,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_005_Syrup.csv
2026-01-31T12:50:22.712024,Suspension,392,392,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_006_Suspension.csv
2026-01-31T12:51:42.015671,Solution,1448,1448,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_007_Solution.csv
2026-01-31T12:52:59.963904,Drops,144,144,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_008_Drops.csv
2026-01-31T12:53:12.519099,Cream,0,0,0,error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://quest3plus.bpfk.gov.my/pmo2/index.php
Call log:
  - navigating to ""https://quest3plus.bpfk.gov.my/pmo2/index.php"", waiting until ""load""
",
2026-01-31T12:53:17.634135,Ointment,0,0,0,error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://quest3plus.bpfk.gov.my/pmo2/index.php
Call log:
  - navigating to ""https://quest3plus.bpfk.gov.my/pmo2/index.php"", waiting until ""load""
",
2026-01-31T12:56:03.772443,Gel,0,0,0,no_csv_button,CSV button not available,
2026-01-31T12:57:21.293148,Lotion,74,74,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_012_Lotion.csv
2026-01-31T12:58:38.918350,Paste,16,16,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_013_Paste.csv
2026-01-31T12:59:58.054530,Spray,104,104,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_014_Spray.csv
2026-01-31T13:01:16.553228,Injection,1352,1352,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_015_Injection.csv
2026-01-31T13:02:34.190153,Infusion,490,490,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_016_Infusion.csv
2026-01-31T13:03:52.323262,Inhaler,49,49,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_017_Inhaler.csv
2026-01-31T13:05:12.309571,Nebulizer,2,2,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_018_Nebulizer.csv
2026-01-31T13:05:20.152007,Suppository,0,0,0,error,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://quest3plus.bpfk.gov.my/pmo2/index.php
Call log:
  - navigating to ""https://quest3plus.bpfk.gov.my/pmo2/index.php"", waiting until ""load""
",
2026-01-31T13:06:40.518382,Pessary,9,9,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_020_Pessary.csv
2026-01-31T13:07:57.906185,Patch,41,41,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_021_Patch.csv
2026-01-31T13:09:15.794231,Implant,2,2,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_022_Implant.csv
2026-01-31T13:10:34.445728,Lozenge,126,126,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_023_Lozenge.csv
2026-01-31T13:11:53.998490,Chewable,473,473,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_024_Chewable.csv
2026-01-31T13:14:37.954489,Oral,0,0,0,no_csv_button,CSV button not available,
2026-01-31T13:15:54.908248,Cream,463,463,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_009_Cream.csv
2026-01-31T13:17:13.664885,Ointment,151,151,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_010_Ointment.csv
2026-01-31T13:19:57.533906,Gel,0,0,0,no_csv_button,CSV button not available,
2026-01-31T13:21:16.871878,Suppository,15,15,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_019_Suppository.csv
2026-01-31T13:24:02.934854,Oral,0,0,0,no_csv_button,CSV button not available,
