"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11015004T","GKB Cordyceps Sinensis 344.75mg Chewable Tablet","GK BIO INTERNATIONAL SDN. BHD."
"2","MAL12055028AZ","Montelair 5mg Chewable Tablet","HOVID BERHAD"
"3","MAL11085018TC","Grenhouss Spirulina & Chlorella Chewable Tablet","Nuvita Sdn. Bhd."
"4","MAL13025015T","DNG YAMATO CLAM CHEWABLE TABLET","DYNAPHARM HERBAL (M) SDN. BHD."
"5","MAL12025029T","BIOBAY ORIGIN GINKGO BILOBA EXTRACT 100MG CHEWABLE TABLET","THE ORIGIN FOODS SDN. BHD."
"6","MAL18016089HAR","Comfortis Plus (Spinosad + Milbemycin oxime) Chewable Tablets for Dogs 9.1-18kg","ELANCO MALAYSIA SDN BHD"
"7","MAL14055150AZ","Montiget Chewable Tablets 4mg","MEDISPEC (M) SDN. BHD."
"8","MAL11105038NCR","VitaHealth Kids DHA + Colostrum Chewable Softgel","VITAHEALTH BIOTECH SDN BHD"
"9","MAL14055148AZ","Montiget Chewable tablets 5mg","MEDISPEC (M) SDN. BHD."
"10","MAL11125038NZ","VITASEN C 30 Chewable Tablet","WINWA MEDICAL SDN. BHD."
"11","MAL12085074AZ","Aspira Chewable Tablet 5mg","PHARMANIAGA MANUFACTURING BERHAD"
"12","MAL18016094HAR","Comfortis Plus (Spinosad + Milbemycin oxime) Chewable Tablets for Dogs 18.1-27kg","ELANCO MALAYSIA SDN BHD"
"13","MAL12115029NC","DAY-CAL Calcium, Vitamin D3, and Magnesium Tablet  Chewable Tablet","MEDISPEC (M) SDN. BHD."
"14","MAL18016104HAR","Comfortis Plus (Spinosad + Milbemycin oxime) Chewable Tablets for Dogs 2.3-4.5kg","ELANCO MALAYSIA SDN BHD"
"15","MAL15015050AZ","Montelukast Sandoz 4mg Chewable Tablet","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"16","MAL15015051AZ","Montelukast Sandoz 5mg Chewable Tablet","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"17","MAL18016113HAR","Comfortis Plus (Spinosad + Milbemycin oxime) Chewable Tablets for Dogs 4.6-9kg","ELANCO MALAYSIA SDN BHD"
