search_inn_used,page_no,page_url,trade_name,inn,dosage_form,atc_code_or_category,marketing_authorization_holder,producer_raw,registration_certificate_number,max_selling_price,max_selling_price_currency,import_price,import_price_currency,contract_currency_info_raw,max_price_registration_info_raw,date_of_changes_raw,details_url,scraped_at_utc
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"AMLODIEIN/VALSARTAN AL
instructions:
patient
specialist",Valsartan and amlodipine,"film-coated tablets, 10 mg/160 mg in blister pack No. 14x2;
film-coated tablets, 5 mg/160 mg in blister packs No. 14x2, No. 14x4, No. 14x7;
film-coated tablets, 5mg/80mg in blister pack No. 14x2","Hemofarm A.D., Republic of Serbia/ Stada Arzneimittel AG, Germany","Stada Arzneimittel AG, Germany",11400/25,04.06.2025,,,,,,,,,2026-01-14T04:07:45.899140+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"AMLODIEIN/VALSARTAN/HYDROCHLORTHIAZIDE AL
instructions:
patient
specialist","Valsartan, amlodipine and hydrochlorothiazide","film-coated tablets, 5 mg/160 mg/12.5 mg in blister pack No. 14x2","Hemofarm A.D., Republic of Serbia/ Stada Arzneimittel AG, Germany","Stada Arzneimittel AG, Germany",11383/25,02.04.2025,,,,,,,,,2026-01-14T04:07:45.899239+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"VALAROX
instructions:
patient
specialist",Rosuvastatin and valsartan,"film-coated tablets, 10 mg/160 mg in blisters in packaging No. 10x3;
film-coated tablets, 10 mg/80 mg in blisters in packaging No. 10x3;
film-coated tablets, 20 mg/160 mg in blisters in packaging No. 10x3;
film-coated tablets, 20 mg/80 mg in blisters in packaging No. 10x3","KRKA, d.d., Novo mesto, Slovenia","KRKA, d.d., Novo mesto, Slovenia",10818/20/24,12.05.2020,,,,,,,,,2026-01-14T04:07:45.899357+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"VALODIE
instructions:
patient
specialist",Amlodipine and Valsartan,"film-coated tablets, 10 mg/160 mg in blisters in packaging No. 7x4, No. 10x3, No. 10x6;
film-coated tablets, 5 mg/160 mg in blisters in packaging No. 7x4, No. 10x3, No. 10x6;
film-coated tablets, 5mg/80mg in blisters in packaging No. 14x2, No. 10x3, No. 10x6","KRKA-RUS LLC, Russian Federation","KRKA, d.d., Novo mesto, Slovenia",10345/15/20/25,02.07.2020,,,,,,,,,2026-01-14T04:07:45.899466+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"VALSAMLODIN
instruction:
the specialist
the patient",Valsartan and amlodipine,"film-coated tablets, 160 mg/10 mg in blister pack No. 14x2","State Enterprise ACADEMFARM, Republic of Belarus","State Enterprise ACADEMFARM, Republic of Belarus",25/07/2496,18.08.2020,,,,,,,,,2026-01-14T04:07:45.899555+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,VALSARTAN,Valsartan,substance,"Zhuhai Rundu Pharmaceutical Co., Ltd., China","Pharmtechnology LLC, Republic of Belarus",2607/20,09.10.2020,,,,,,,,,2026-01-14T04:07:45.899623+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,VALSARTAN,Valsartan,substance,"Second Pharma Co., Ltd, China","Lekpharm LLC, Republic of Belarus",1608/12/17,27.06.2017,,,,,,,,,2026-01-14T04:07:45.899685+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,VALSARTAN,Valsartan,substance,"Teva API India Ltd., India","State Enterprise ACADEMFARM, Republic of Belarus",1712/13/18,01.03.2018,,,,,,,,,2026-01-14T04:07:45.899749+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,VALSARTAN,Valsartan,substance,"Zhuhai Rundu Pharmaceutical Co., Ltd., China","Open Joint Stock Company Borisov Medical Preparations Plant, Republic of Belarus",2395/18,30.05.2018,,,,,,,,,2026-01-14T04:07:45.899810+00:00
Valsartan,1,https://www.rceth.by/Refbank/reestr_lekarstvennih_sredstv/results,"VALSARTAN
instruction:
the specialist
the patient",Valsartan,"film-coated tablets, 160 mg in blister pack No. 10x3;
film-coated tablets, 80 mg in blister pack No. 10x3","Open Joint Stock Company Borisov Medical Preparations Plant, Republic of Belarus","Open Joint Stock Company Borisov Medical Preparations Plant, Republic of Belarus",24/06/3352,17.06.2024,,,,,"04/22/2025
LP-№009928-RG-BY",,,,2026-01-14T04:07:45.899890+00:00
