input_company,input_product_name,timestamp,records_found
Laboratorio ENA,100% WHEY PROTEIN,2025-10-29T03:57:39,3
Laboratorio Millet,102 FOCUS,2025-10-29T03:57:47,1
Laboratorio Millet,102 MAGNESIO,2025-10-29T03:57:55,1
Laboratorio Millet,102 MAGNESIO CITRATO,2025-10-29T03:58:02,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2025-10-29T03:58:08,1
Laboratorio Millet,102 MUJER,2025-10-29T03:58:16,1
Laboratorio Millet,102 PLUS,2025-10-29T03:58:23,3
Laboratorio Millet,102 SPORT BCAA,2025-10-29T03:58:32,1
Laboratorio Millet,102 VITAMINA C,2025-10-29T03:58:42,2
Elea,3 TC + AZT ELEA,2025-10-29T03:59:16,0
IQUISA,420 CBD RELAX,2025-10-29T03:59:41,1
IQUISA,420 CBD TETITA FELIZ PACK,2025-10-29T03:59:44,1
Cassará,5 FU,2025-10-29T03:59:49,1
Domínguez,5-ASA 1000,2025-10-29T03:59:52,2
Domínguez,5-ASA 2000,2025-10-29T03:59:57,1
Domínguez,5-ASA 4000,2025-10-29T04:00:05,1
Domínguez,5-ASA 400,2025-10-29T04:00:05,4
ISA,+50,2025-11-04T21:34:57,1
Laboratorio Millet,102 PLUS EFERVESCENTE,2025-11-04T21:35:09,1
GlaxoSmithKline Biopharma,3 TC,2025-11-04T21:35:18,2
GlaxoSmithKline Biopharma,3 TC COMPLEX,2025-11-04T21:35:27,1
ISA,4 x 4,2025-11-04T21:35:36,1
IQUISA,420 CBD BEAUTY,2025-11-04T21:35:46,1
Domínguez,5-ASA 500,2025-11-04T21:36:00,2
Domínguez,5-ASA 800,2025-11-04T21:36:11,2
Ariston,5XR 1000,2025-11-04T21:36:22,2
Ariston,5XR 500,2025-11-04T21:36:34,2
Elea,8 HORAS,2025-11-04T21:36:46,2
Domínguez,A ACIDO,2025-11-04T21:36:56,3
Domínguez,A ACIDO EMOLIENTE,2025-11-04T21:37:04,1
Domínguez,A ACIDO VITAL,2025-11-04T21:37:13,1
Medipharma,A-VITEL,2025-11-04T21:37:22,3
Medipharma,A-VITEL E,2025-11-04T21:37:31,1
Sempre Giovane,A.H.A,2025-11-04T21:37:39,1
Elea,ABACAVIR ELEA,2025-11-04T21:37:48,1
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,2025-11-04T21:37:57,1
Elea,ABARAX,2025-11-04T21:38:08,2
Roemmers,ABAXON,2025-11-04T21:38:22,5
Teva Argentina,ABELCET,2025-11-04T21:38:31,1
Biotechno Pharma,ABERIC,2025-11-04T21:38:41,1
B-Life,ABINTRA,2025-11-04T21:38:49,1
Celnova Argentina,ABIRANOVA,2025-11-04T21:38:58,1
Lafedar,ABIRATERON-A,2025-11-04T21:39:06,1
Glenmark,ABIRATERONA GLENMARK,2025-11-04T21:39:16,1
Duncan,ABLOOM,2025-11-04T21:39:26,1
Duncan,ABLOOM 5,2025-11-04T21:39:36,1
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,2025-11-04T21:39:45,4
Valuge,ABRALUX,2025-11-04T21:39:55,1
Bristol,ABRAXANE,2025-11-04T21:40:03,1
Eczane,ABRIKAT,2025-11-04T21:40:13,1
Pfizer,ABRILADA,2025-11-04T21:40:20,1
Pfizer,ABRYSVO,2025-11-04T21:40:29,1
F & F Farma,AC QUAXA,2025-11-04T21:40:40,1
Jayor,ACALASTATERA,2025-11-04T21:40:49,1
Roemmers,ACALIX,2025-11-04T21:41:01,4
Roemmers,ACALIX AP,2025-11-04T21:41:11,1
Roemmers,ACALIX CRONOS,2025-11-04T21:41:23,3
Siegfried,ACANTEX,2025-11-04T21:41:36,5
Olbia Pharma,ACCELON,2025-11-04T21:41:46,3
Roche Diabetes,ACCU-CHEK ACTIVE GLUCOSA,2025-11-04T21:41:56,2
Roche Diabetes,ACCU-CHEK ACTIVE KIT,2025-11-04T21:42:05,1
Roche Diabetes,ACCU-CHEK FASTCLIX,2025-11-04T21:42:15,2
Roche Diabetes,ACCU-CHEK FASTCLIX KIT,2025-11-04T21:42:23,1
Roche Diabetes,ACCU-CHEK FASTCLIX KIT NP,2025-11-04T21:42:31,1
Roche Diabetes,ACCU-CHEK GUIDE,2025-11-04T21:42:41,2
Roche Diabetes,ACCU-CHEK GUIDE CONTROL,2025-11-04T21:42:50,1
Roche Diabetes,ACCU-CHEK GUIDE KIT,2025-11-04T21:42:58,1
Roche Diabetes,ACCU-CHEK PERFORMA 25,2025-11-04T21:43:11,1
Roche Diabetes,ACCU-CHEK PERFORMA 50,2025-11-04T21:43:19,1
Roche Diabetes,ACCU-CHEK PERFORMA CONTROL,2025-11-04T21:43:30,1
Roche Diabetes,ACCU-CHEK SMART PIX 2,2025-11-04T21:43:38,1
Roche Diabetes,ACCU-CHEK SOFTCLIX NEW,2025-11-04T21:43:46,2
Roche Diabetes,ACCU-CHEK SOFTCLIX PUNZADOR,2025-11-04T21:43:55,1
Sanitas,ACEITE DE ALMENDRAS EWE,2025-11-04T21:44:04,2
Sanitas,ACEITE DE ALMENDRAS EWE CON GOTERO,2025-11-04T21:44:13,1
Sanitas,ACEITE DE ARGAN EWE,2025-11-04T21:44:22,1
Sidus,ACEITE DE CHIA CORMILLOT,2025-11-04T21:44:32,1
San Ceferino,ACEITE DE COCO NEUTRO,2025-11-04T21:51:45,2
Sanitas,ACEITE DE JOJOBA EWE,2025-11-04T21:51:53,1
Innovapharma,ACEITE DE KRILL,2025-11-04T21:52:02,1
Sanitas,ACEITE DE LAVANDA EWE,2025-11-04T21:52:10,1
AMN,ACEITE DE LORENZO,2025-11-04T21:52:19,1
Provefarma,ACEITE DE OREGANO,2025-11-04T21:52:28,1
Provefarma,ACEITE DE PESCADO 1000,2025-11-04T21:52:36,2
Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,2025-11-04T21:52:44,3
Sanitas,ACEITE DE RICINO EWE,2025-11-04T21:52:52,2
Sanitas,ACEITE DE TEA TREE OIL EWE,2025-11-04T21:53:00,1
Laboratorio Dicofar,ACEITE ESMERALDA MOONE,2025-11-04T21:53:09,1
Siegfried,ACEMUK,2025-11-04T21:53:23,8
Siegfried,ACEMUK BIOTIC,2025-11-04T21:53:32,1
Domínguez,ACIFOL,2025-11-04T21:55:15,2
Domínguez,ACIFOL 10,2025-11-04T21:55:25,2
Domínguez,ACIFOL 5,2025-11-04T21:55:37,2
Domínguez,ACIFOL B12,2025-11-04T21:55:46,2
Domínguez,ACIFOL FE,2025-11-04T21:55:55,2
Domínguez,ACIFOL GOTAS,2025-11-04T21:56:04,1
Andrómaco,ACIFUSIN,2025-11-04T21:56:14,2
Andrómaco,ACIFUSIN B,2025-11-04T21:56:25,1
Novoplos,ACILAC OMEGA 3-6,2025-11-04T21:56:34,1
Lepetit,ACIMED,2025-11-04T21:56:44,4
Medisol,ACIMED,2025-11-04T21:56:52,1
Sanitas,ACIMED F,2025-11-04T21:57:02,2
Lepetit,ACIMED L,2025-11-04T21:57:10,1
Medipharma,ACIPOUN ORAL,2025-11-04T21:57:18,1
