Registration No,Product Name,Holder
MAL20031943AZ,Tuberculin PPD RT 23 AJV,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19051007AZ,N/A,N/A
MAL07061565X,Appeton Essentials MV21 Caplet,KOTRA PHARMA (M) SDN. BHD.
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL19872182AZ,METRONOL (METRONIDAZOLE 0.5% INJ),AIN MEDICARE SDN. BHD.
MAL19912973ACZ,SALOFALK ENEMAS,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20041269AZ,N/A,N/A
MAL20014330ACZ,AMIOHEXAL 200,IMEKS PHARMA SDN. BHD.
MAL09111765XZ,Flavettes Vitamin C Blackcurrant 250mg,Duopharma Marketing Sdn. Bhd.
MAL20001062XZ,UPHALYTE ORAL REHYDRATION SALTS (ORANGE),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19989041XZ,YSP Bisacodyl Suppositories 5 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19920731AZ,PERIZOL 2G,AIN MEDICARE SDN. BHD.
MAL19983954X,MINYAK HANGAT AFIAT (LINIMENT),Syarikat Minyak Afiat Sdn Bhd
MAL19993046AZ,INFUSOL HSD5,AIN MEDICARE SDN. BHD.
MAL19991202XZ,APPETON ESSENTIALS ACTIV-C 500 (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL19992399AZ,N/A,N/A
MAL20021164AZ,ATEHEXAL 50,IMEKS PHARMA SDN. BHD.
MAL19950126XC,GLYCERIN OF THYMOL,TERAPUTICS SDN BHD
MAL19988492AZ,VOREN PLUS GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973681AZ,OPTIMOL EYE DROP 0.5%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19870561AZ,N/A,N/A
MAL06100580AZ,N/A,N/A
MAL19056129X,E-zyme B6 Troche,AV MANUFACTURING SDN.BHD
MAL20021183X,OK ORANG KAMPUNG MINYAK PALA PLUS,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL13075046N,APPETON MULTIVITAMIN OPTIGROW PLUS,KOTRA PHARMA (M) SDN. BHD.
MAL19984028AZ,BICAFAR 1G STERILE,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05092228AZ,Tidact Gel 1%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08051617XZ,AXPAIN-650 CAPLET,KOTRA PHARMA (M) SDN. BHD.
MAL17107075ACRZ,MINIRIN Oral Lyophilisate for sublingual 60mcg,Ferring Sdn. Bhd.
MAL19920729AZ,PERITONIL H2,AIN MEDICARE SDN. BHD.
MAL09100308X,OK Orang Kampung Bam Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20086021X,Rohto Eye Wash (Distilled Witch Hazel 13%v/v),ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL20046133X,Alsoft A Hand Disinfectant 0.2% w/v,Goodmaid Chemicals Corp. Sdn. Bhd.
MAL06071077AZ,Sonap Forte Caplet 550mg,IMEKS PHARMA SDN. BHD.
MAL08082444XZ,B-cobal Film-coated tab,AV MANUFACTURING SDN.BHD
MAL19985172AZ,ANIKEF STERILE 750MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20013996ACZ,MESPORIN-1000 I.V. VIALS,MEPHARM (MALAYSIA) SDN. BHD.
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL20031763X,N/A,N/A
MAL20001914XZ,Scabitone Emulsion,SM PHARMACEUTICALS SDN. BHD.
MAL20034832X,MUCIL 200,IMEKS PHARMA SDN. BHD.
MAL20001834X,SIMCONE,IMEKS PHARMA SDN. BHD.
MAL20031731AZ,OLFEN-75 SR/RETARD DEPOTABS,MEPHARM (MALAYSIA) SDN. BHD.
MAL20013492XRZ,VITAMIN C-500 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
