mfr_code,manufacturer_name
AAP,A A Pharma Inc.
ABB,Abbott Laboratories Limited
ABD,Abbott Diabetes Care
ABV,AbbVie Corporation
ACC,Accel Pharma Inc.
ACH,Accord Healthcare Inc.
ACO,Acon Laboratories Incorporated
ACP,"Accelera Pharma Canada, Inc."
ACT,Actelion Pharmaceutiques Canada Inc.
ACV,Actavis Pharma Company
ADC,Ascensia Diabetes Care Canada Inc.
ALC,Alcon Canada Inc.
ALH,Altius Healthcare Inc.
ALK,ALK-Abello A/S
ALL,Allergan Inc.
AMB,Ambicare Pharmaceuticals Inc.
AMC,"Allmedicus Co., Ltd."
AMD,Amdipharm Limited
AMG,Amgen Canada Inc.
AMP,Amphastar Pharmaceuticals Inc.
ANA,Analog Pharma Canada Inc.
ANG,Angita Pharma Inc.
APC,Acerus Pharmaceuticals Corporation
APO,ApoPharma Inc.
APU,Atnahs Pharma UK Limited
APX,Apotex Inc.
ARA,ARA Pharmaceuticals Inc.
ARZ,Aralez Pharmaceuticals Canada Inc.
ASE,Astellas Pharma Canada Inc.
ASI,Aspen Pharmacare Canada Inc.
ASN,Aspen Pharma Trading Limited
AST,Astra Pharma Inc.
ATO,Aton Pharma Inc.
AUR,Auro Pharma Inc.
AVE,Aventis Pharma
AVP,Avir Pharma Inc.
AYE,"Ayerst Laboratories, Division of Ayerst, McKenna & Harrison"
AZC,AstraZeneca
BAH,"Bayer Inc., Health Care Division"
BAR,Barr Laboratories Inc.
BAX,Baxter Corporation
BAY,"Bayer Inc., Consumer Care Division"
BCL,Biosimilar Collaborations Ireland Limited
BED,BD Consumer Healthcare
BFI,Axcan Pharma Inc.
BGP,BGP Pharma ULC
BHC,Bausch Health Canada Inc.
BIG,Biogen Idec Canada Inc.
BIM,BioMarin International Ltd.
BIN,Bionime Corporation
BIO,Biovail Pharmaceuticals Canada
BJH,Draxis Health Inc.
BLI,Bausch & Lomb Inc.
BMP,Biomed Pharma
BOE,Boehringer-Ingelheim (Canada) Ltd./Ltee
BQU,Bristol Myers Squibb Canada Inc
BSH,Bausch & Lomb Canada Inc
BWE,Burroughs Wellcome Inc.
CAM,"Ajinomoto Cambrooke, Inc."
CBF,C.B. Fleet Company Inc.
CCI,Clement Clark International Ltd.
CCP,CellChem Pharmaceuticals Inc.
CDC,"Church & Dwight Canada Corp., Inc."
CEH,Celltrion Healthcare Co. Ltd.
CEI,Celltrion Inc.
CHE,Cheplapharm Arzneimittel GmbH
CIP,Cipher Pharmaceuticals Inc.
COB,Cobalt Pharmaceuticals Company
COP,Covis Pharma GmbH
COV,Covis Pharma B.V.
CPL,Clay-Park Labs Inc.
CRY,Crystaal Corp.
CYI,Cytex Pharmaceutical Co.
DES,Desbergers Limited
DEX,Dexcom Inc.
DRR,Dr. Reddy's Laboratories Inc.
DUI,Duchesnay Inc.
ECL,ECL Pharma Group Ltd.
EDO,Endo
EHS,Entra Health Systems.
EIS,Eisai Limited
ELA,"Elan Pharmaceuticals, Inc."
ELV,Elvium Life Sciences
ETH,Ethypharm Inc.
EUP,Eugia Pharma Inc.
EVL,Endo Ventures Ltd.
FAM,Famy Care Ltd
FEI,Ferring Inc.
FKC,Fresenius Kabi Canada Ltd.
FOM,Formative Pharma Inc.
FOU,Fournier Pharma Inc.
FRS,"Merck Frosst Canada & Cie, Merck Frosst Canada & Co."
GAC,Galderma Canada Inc
GCH,GlaxoSmithKline Consumer Healthcare Inc.
GEI,"Geigy Pharmaceuticals,Division of Ciba-Geigy Canada Ltd."
GEM,"Genmed, A Division of Pfizer Canada Inc."
GIL,"Gilead Sciences Canada, Inc."
GLA,Glaxo Canada Inc.
GLP,Glenmark Pharmaceuticals Canada Inc.
GLW,Glaxo Wellcome Inc.
GMP,Generic Medical Partners Inc.
GPB,"G Pohl Boskamp GMBH & Co KG, hohenlockstedt"
GPE,Glenwood GmbH Pharmazeutische Erzeugnisse
