input_company,input_product_name,timestamp,records_found
Fresenius Kabi,PARACETAMOL KABI,2026-01-04T23:42:00,6
Lafedar,PARACETAMOL LAFEDAR,2026-01-04T23:42:01,2
Monserrat,PARACETAMOL MONSERRAT Y ECLAIR,2026-01-04T23:42:02,1
Adium,PARACETAMOL RAFFO 500,2026-01-04T23:42:02,1
Sant Gall,PARACETAMOL SANT GALL FRIBURG GOTAS,2026-01-04T23:42:05,1
Schafer,PARACETAMOL SCHAFER GOTAS,2026-01-04T23:42:07,1
Teva Argentina,PARACETAMOL TEVA,2026-01-04T23:42:08,5
Tuteur,PARITOL,2026-01-04T23:42:17,1
Pierre Fabre Oral Care,PARODIUM,2026-01-04T23:42:19,1
Varifarma,PHELINUN,2026-01-04T23:43:01,1
Lafarmen,PICOLINATO DE CROMO,2026-01-04T23:43:01,1
Medisol,PITIRIAX,2026-01-04T23:43:10,1
AMN,PKU GMPRO POLVO SABOR VAINILLA,2026-01-04T23:43:12,1
Laboratorios Bernabó,PLAC OUT MANTENIMIENTO,2026-01-04T23:43:16,2
Roemmers,PLIDEX AP,2026-01-04T23:43:17,1
LKM,PLUSTAXANO ANHIDRO 20,2026-01-04T23:43:19,1
Poen,POENTIMOL,2026-01-04T23:43:20,1
Austral,POLI B FUERTE,2026-01-04T23:43:22,1
Lepetit,POLILEP,2026-01-04T23:43:24,2
MSD Argentina SRL,PNEUMOVAX 23,2026-01-04T23:43:25,1
Varifarma,PONATIB,2026-01-04T23:43:30,2
Adium,PONAZIC,2026-01-04T23:43:32,2
Biosidus S.A.U.,POSACONAZOL SDZ,2026-01-04T23:43:34,1
Trb-Pharma,POLIRREUMIN,2026-01-04T23:43:34,1
Innovapharma,POTASIUM,2026-01-04T23:43:36,1
Sanofi-Aventis,PRALUENT,2026-01-04T23:43:37,2
Elea,PRAXANT,2026-01-04T23:43:38,2
Aspen,PRAXED,2026-01-04T23:43:39,2
Domínguez,PRAZODEX,2026-01-04T23:43:39,2
Lafedar,PREDNICORT,2026-01-04T23:43:42,1
Eurofarma,PREDUAL L,2026-01-04T23:43:43,1
Vannier,PREGABALINA VANNIER 75 MG,2026-01-04T23:43:45,1
Bagó,PRESIMAX 50,2026-01-04T23:43:45,2
Lafedar,PRESIPRIL,2026-01-04T23:43:46,1
Servier,PRETERAX 10,2026-01-04T23:43:47,1
Adium,PRIMOSISTON,2026-01-04T23:43:50,1
Elea,PRINCIPIA PRACTIDOSIS,2026-01-04T23:43:51,1
Montpellier,PRIOTIC,2026-01-04T23:43:55,1
Lepetit,PRISONIL 100,2026-01-04T23:43:56,2
Teva Argentina,PROCELAC 10,2026-01-04T23:44:01,1
Monserrat,REFENAX COLIRIO,2026-01-04T23:44:40,1
Neo-Dermos,REFRANE TOTAL,2026-01-04T23:44:42,1
Richmond,RENACENZ,2026-01-04T23:44:50,1
Cepage,RENOVATEURS,2026-01-04T23:44:50,2
Sanofi-Aventis,RENVELA,2026-01-04T23:44:50,2
Lazar,RESTINIL,2026-01-04T23:44:55,1
Cabuchi,REUMOL DICLO FORTE GEL,2026-01-04T23:44:59,1
Novartis,REVOLADE,2026-01-04T23:45:01,2
Géminis Farmacéutica,RODINAC B12 INY,2026-01-04T23:45:13,2
Fecofar,ROSUFEC 20,2026-01-04T23:45:18,1
MSD Argentina SRL,ROTATEQ,2026-01-04T23:45:23,1
Duncan,RUPE N,2026-01-04T23:45:28,1
Bagó,RUBIFEN 10,2026-01-04T23:45:29,1
Duncan,RUPEDIOL,2026-01-04T23:45:30,1
Bagó,SAIKEL 400,2026-01-04T23:45:31,1
Merck Serono,SAIZEN 6 MG,2026-01-04T23:45:34,1
Valmax,SALBUNEB,2026-01-04T23:45:34,2
Merck Serono,SAIZEN 12 MG,2026-01-04T23:45:35,1
Cassará,SALBUTRAL PLUS,2026-01-04T23:45:36,1
Lafedar,SALBUTROP,2026-01-04T23:45:39,1
Dharam Singh,SALDIET DHARAM SINGH,2026-01-04T23:45:40,4
Lazar,SALVICUTAN,2026-01-04T23:45:45,1
Rospaw,SECODAL SUBL,2026-01-04T23:45:58,2
Framingham Pharma,SELE200,2026-01-04T23:46:02,1
Haleon Argentina,SENSODYNE CEPILLO MULTIPROTECCION TB,2026-01-04T23:46:02,2
Abbott Diabetes,SENSOR FREESTYLE LIBRE 2 PLUS,2026-01-04T23:46:06,1
Laboratorio ENA,SHAKER PLUS COMPARTIMENTO,2026-01-04T23:46:12,1
Fecofar,SEPTOCORT,2026-01-04T23:46:15,1
Boehringer Ingelheim,SIFROL ER,2026-01-04T23:46:20,4
Boehringer Ingelheim,SIFROL,2026-01-04T23:46:21,4
Dallas,SINCERUM BIOTIC,2026-01-04T23:46:24,1
Lafedar,SINEQUAN,2026-01-04T23:46:26,1
Elea,SIMPLA,2026-01-04T23:46:30,1
Rontag,SOLFIDIN FLASH,2026-01-04T23:46:36,2
Sempre Giovane,SOLE MIO FILTRO,2026-01-04T23:46:36,1
Teva Argentina,SOLIFENACINA TEVA,2026-01-04T23:46:39,2
Gemabiotech,SOMACTIVE LF,2026-01-04T23:47:40,2
Trb-Pharma,STOMACINE,2026-01-04T23:47:59,1
IBC,SUCCINILCOLINA PHARMAVIAL,2026-01-04T23:48:00,2
Microsules Arg.,SULOCTEN D,2026-01-04T23:48:06,1
Bayer Consumer,SUPRADYN KIDS,2026-01-04T23:48:11,2
Nutentar,SUSTENTA DB NEUTRO DHA,2026-01-04T23:48:17,2
Bayer Consumer,SUPRADYN PRONATAL,2026-01-04T23:48:17,2
Panalab,SUPRALER M,2026-01-04T23:48:17,3
Abbvie,SURVANTA,2026-01-04T23:48:20,2
Megalabs Argentina,SUTRICO TAR,2026-01-04T23:48:22,1
Alcon,SYSTANE COMPLETE SP,2026-01-04T23:48:25,1
Craveri,TABTIL,2026-01-04T23:48:28,2
Bayer Consumer,TABCIN 1 G,2026-01-04T23:48:28,2
Genomma Lab.,TAFIROL MAX,2026-01-04T23:48:33,1
Bagó,TALNIDOL 50,2026-01-04T23:48:34,2
Genomma Lab.,TAFIROL,2026-01-04T23:48:35,5
Takeda Argentina S.A.,TAKHZYRO,2026-01-04T23:48:35,2
Aspen,TALOSIN,2026-01-04T23:48:38,2
Microsules Arg.,TAMOXIFENO MICROSULES,2026-01-04T23:48:39,1
Bagó,TALNIF,2026-01-04T23:48:41,1
Richet,TAMSULOSINA RICHET,2026-01-04T23:48:41,2
Rossmore Pharma,TANESA,2026-01-04T23:48:41,3
Finadiet,TANSILOPROST,2026-01-04T23:48:44,2
Megalabs Argentina,TANVIMIL E,2026-01-04T23:48:44,8
Megalabs Argentina,TANVIMIL EBA,2026-01-04T23:48:46,3
Megalabs Argentina,TANVIMIL FOLICO,2026-01-04T23:48:46,7
Megalabs Argentina,TANVIMIL ISOFLAVONAS DUO,2026-01-04T23:48:47,2
Adium,TECTA,2026-01-04T23:48:51,1
Richet,TELMISARTAN RICHET,2026-01-04T23:48:52,2
Roemmers,TAURAL F 10,2026-01-04T23:48:55,2
Siegfried,TELPRES PLUS,2026-01-04T23:48:57,2
Bioprofarma Bagó,TEMASTE,2026-01-04T23:48:59,4
Lagos,TARGEL PLUS,2026-01-04T23:49:01,1
Eczane,TEMOXAN 250,2026-01-04T23:49:04,1
Richmond,TENOMID,2026-01-04T23:49:06,1
Techsphere,TEPENAC,2026-01-04T23:49:07,1
Siegfried,TENARON FLEX,2026-01-04T23:49:07,2
Vannier,TERAZOSINA VANNIER,2026-01-04T23:49:09,1
Panalab,TEREKOL PULSO,2026-01-04T23:49:12,2
Tuteur,TERFANIB,2026-01-04T23:49:13,1
Bayer (PH),TESTOVIRON DEPOT,2026-01-04T23:49:16,1
Lafedar,TETRABENZ,2026-01-04T23:49:18,1
Siegfried,TETRALGIN,2026-01-04T23:49:18,3
AstraZeneca,TEZSPIRE,2026-01-04T23:49:22,1
Siegfried,TETRALGIN APC,2026-01-04T23:49:23,2
Austral,TIAMINA 300,2026-01-04T23:49:26,1
Casasco,TIARIX,2026-01-04T23:49:27,2
Pharmamerican S.R.L.,TISANA ADELGAZANTE SAINT GOTTARD,2026-01-04T23:49:30,1
Pharmamerican S.R.L.,TISANA DIURETICO SAINT GOTTARD,2026-01-04T23:49:32,1
Pharmamerican S.R.L.,TISANA PRESION SAINT GOTTARD,2026-01-04T23:49:32,1
GlaxoSmithKline Biopharma,TIVICAY,2026-01-04T23:49:35,2
Lab Internacional Argentino,TOBRATLAS DEXA,2026-01-04T23:49:38,1
Gador,TOBLAPTIN,2026-01-04T23:49:39,2
Roemmers,TOGREL,2026-01-04T23:49:40,4
Poen,TOLF,2026-01-04T23:49:40,1
Ariston,TONIBRAL,2026-01-04T23:49:41,1
Adium,TOPICTAL,2026-01-04T23:49:43,6
Omicron,TOSCALMIN TE,2026-01-04T23:49:44,2
Temis-Lostaló,TOTAL MAGNESIANO VITAMINA C,2026-01-04T23:49:45,2
Eurofarma,TRACTOLAX,2026-01-04T23:49:49,2
Janssen-Cilag,TRAMACET,2026-01-04T23:49:51,1
Bagó,TRAMA KLOSIDOL 100,2026-01-04T23:49:52,2
Janssen-Cilag,TREMFYA,2026-01-04T23:49:54,1
Provefarma,TREONATO DE MAGNESIO 1000,2026-01-04T23:49:55,1
Bagó,TRIFACILINA 1000,2026-01-04T23:50:01,2
Craveri,TRYPTALGIN,2026-01-04T23:50:11,3
Ariston,TUBARINE GEL,2026-01-04T23:50:15,1
Lazar,TUMULAN,2026-01-04T23:50:16,1
Pfizer,TYGACIL,2026-01-04T23:50:17,1
GlaxoSmithKline Biopharma,TWINRIX,2026-01-04T23:50:17,1
IMA,TYGARONA,2026-01-04T23:50:20,1
Novartis,TYKERB,2026-01-04T23:50:21,1
Biogen,TYSABRI SC,2026-01-04T23:50:22,1
Novartis,ULTIBRO BREEZHALER,2026-01-04T23:50:26,1
Biofactor,UMAN ALBUMIN,2026-01-04T23:50:27,1
Genomma Lab.,UNESIA,2026-01-04T23:50:32,1
Adium,UNIFLOX 750,2026-01-04T23:50:33,1
Genomma Lab.,UNESIA LAKESIA AMOROLFINA LACA,2026-01-04T23:50:34,1
Pharmamerican S.R.L.,UP FOR WOMAN VITAMIN WAY,2026-01-04T23:50:36,1
Pharmamerican S.R.L.,UP FOR MEN VITAMIN WAY,2026-01-04T23:50:37,1
Casasco,URALOS PLUS,2026-01-04T23:50:37,1
B-Life,URC MED A FORMULA,2026-01-04T23:50:39,1
Bagó,UROSEPTAL,2026-01-04T23:50:42,1
Sidus,VAGISAN COMPUESTO,2026-01-04T23:50:48,1
Panalab,VALCATIL PIEL,2026-01-04T23:50:49,1
Casasco,VALCAS,2026-01-04T23:50:49,6
Fecofar,URTIKALMA,2026-01-04T23:50:52,1
Biopas Argentina,VALIXA,2026-01-04T23:50:54,1
GlaxoSmithKline Biopharma,VALTREX,2026-01-04T23:50:55,3
Valmax,VALMAFILO,2026-01-04T23:50:55,2
Celtyc,VANCOMICINA CELTYC 500,2026-01-04T23:50:59,1
Northia,VANCOMICINA NORTHIA,2026-01-04T23:51:04,2
Richet,VANCOMICINA RICHET,2026-01-04T23:51:05,2
Valuge,VANSAME,2026-01-04T23:51:06,3
Schafer,VANCOMICINA ENTEROCAPS SCHAFER,2026-01-04T23:51:08,2
Savant Generic,VARINON,2026-01-04T23:51:14,1
Varifarma,VARITRINOX,2026-01-04T23:51:14,1
Servier,VASTAREL LP,2026-01-04T23:51:18,1
Baliarda,VEFREN 400,2026-01-04T23:51:25,2
Biosintex,VENZIDIAK GEL,2026-01-04T23:51:25,1
GlaxoSmithKline Biopharma,VENTOLIN,2026-01-04T23:51:26,1
Provefarma,VEGAONE 2000,2026-01-04T23:51:26,1
Soubeiran Chobet,VERALDID,2026-01-04T23:51:30,2
Siegfried,VERAL,2026-01-04T23:51:31,1
Bayer (PH),VERQUVO,2026-01-04T23:51:31,3
L.D.A.,VERRUCLEAN,2026-01-04T23:51:36,1
Laboratorio Merlino,VERRUDERM,2026-01-04T23:51:36,1
