Company,Local Product Name,Generic Name,Local Pack Description,PCID
GLAXOSMITHKLINE,LAMIVUDINE & ZIDOVUDINE,3 TC COMPLEX,150MG / 300MG COMP. X 60,508015
GLAXOSMITHKLINE,LAMIVUDINE,3TC,2400 MG ORAL SOLUTION,182827
GLAXOSMITHKLINE,LAMIVUDINE,3TC,150 MG TABLETS,182828
ELEA,LAMIVUDINE & ZIDOVUDINE,3TC-AZT,3TC-AZT ELEA COMPRIMIDO RECUBIERTO 1 AMPOLLA por 60 UNIDADES,1608749
DOMINGUEZ,MESALAZINE,5-ASA 1000,1 G UNDER 30,330504
DOMINGUEZ,MESALAZINE,5-ASA 2000,2 G UNDER 30,330505
DOMINGUEZ,MESALAZINE,5-ASA 4000,4 G SOB.X 30,1483950
DOMINGUEZ,MESALAZINE,5-ASA 400,400 MG SUP.X 10,330511
DOMINGUEZ,MESALAZINE,5-ASA,5-ASA 1000 1000 MG SUP.X 30,1996982
DOMINGUEZ,MESALAZINE,5-ASA 400,400 MG SUP.X 30,330514
DOMINGUEZ,MESALAZINE,5-ASA 400,400 MG COMP.X 30,330518
DOMINGUEZ,MESALAZINE,5-ASA 500,500 MG COMP.X 30,330519
DOMINGUEZ,MESALAZINE,5-ASA 800,800 MG COMP.X 30,330521
DOMINGUEZ,MESALAZINE,5-ASA 400,400 MG COMP.X 60,330522
DOMINGUEZ,MESALAZINE,5-ASA 500,500 MG COMP.X 60,330523
DOMINGUEZ,MESALAZINE,5-ASA 800,800 MG COMP.X 60,330525
DOMINGUEZ,MESALAZINE,5-ASA 500,5-ASA 500 COMPRIMIDO DE LIBERACION RETARDADA BLISTER por 500 UNIDADES 500 MG,1675394
CASSARA,FLUOROURACIL,5-FU,5 FU UNG.X 20 G,2061024
ELEA,ESZOPICLONE,8 HORAS,8 HORAS COMPRIMIDO RECUBIERTO BLISTER POR 30 UNIDADES 3 MG,1725030
ELEA,ESZOPICLONE,8 HORAS,2 MG COMP.REC. X 30,341067
ELEA,ABACAVIR,ABACAVIR,ABACAVIR ELEA COMPRIMIDO RECUBIERTO FRASCO por 60 UNIDADES ENVASE DE EXPENDIO INSTITUCIONAL (LICITACIONES PUBLICAS DE MINISTERIOS),147049
TRB PHARMA,ABACAVIR & LAMIVUDINE,ABACAVIR LAMIVUDINA TRB PHARMA,ABACAVIR LAMIVUDINA TRB PHARMA COMP.REC.X 30,1476596
ELEA,BENZNIDAZOLE,ABARAX,ABARAX 12.5 COMPRIMIDO DISGREGABLE BLISTER POR 100 UNIDADES,1844113
ELEA,BENZNIDAZOLE,ABARAX,100 MG COMP X 100,684540
ELEA,BENZNIDAZOLE,ABARAX,50 MG COMP X 100,684541
ROEMMERS,RIVAROXABAN,ABAXON,10 MG X 10 COMP.REC.,1704952
ROEMMERS,RIVAROXABAN,ABAXON,ABAXON 10 COATED TABLET BLISTER per 30 UNITS,1914820
ROEMMERS,RIVAROXABAN,ABAXON,ABAXON 2.5 COATED TABLET BLISTER for 30 UNITS,1608120
CELNOVA,ABIRATERONE,ABIRANOVA,250 mg comp.x 120,684892
GLENMARK,ABIRATERONE,ABIRATERONA,250 MG COMP.X 120,1467976
LAFEDAR,ABIRATERONE,ABIRATERONA LAFEDAR,ABIRATERONA LAFEDAR COMPRIMIDO BLISTER POR 120 UNIDADESMG250MG,1180902
BRISTOL MYERS SQUIBB,PACLITAXEL,ABRAXANE,INFUSION SET 100 MG,349
PFIZER,ADALIMUMAB,ABRILADA,ABRILADA 40MG/0.8ML LAP.PRELL.X 2,1476597
PFIZER,RESPIRATORY SYNCYTIAL VIRUS VACCINES,ABRYSVO,ABRYSVOFCO.A.LIOF.X1+DISOLV.X1,2127726
JAYOR,ACALABRUTINIB,ACALASTATERA,ACALASTATERA 100 MG C¡PS.X 60,2038416
