"#","Registration No / Notification No","Product Name","Holder"
"1","MAL17015024ACRZ","Dexaltin Oral Paste","PHARMAFORTE (MALAYSIA) SDN. BHD."
"2","MAL19992035T","MA'AJUN PETANI (PASTE)","SYARIKAT ZULKIFLI BAMADHAJ"
"3","MAL19920519AZ","ORALON DENTAL PASTE","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"4","MAL19930493AZ","KENO ORAL PASTE","IMEKS PHARMA SDN. BHD."
"5","MAL19984055AZ","DYNA ORAPASTE","DYNAPHARM (M) SDN. BHD."
"6","MAL19990624AZ","ORREPASTE","HOE PHARMACEUTICALS SDN. BHD."
"7","MAL20033509AZ","ORREPASTE PLUS","HOE PHARMACEUTICALS SDN. BHD."
"8","MAL16120024T","Makjun Wahisham Delima Klasik Paste","WAHISHAM DELIMA SDN. BHD."
"9","MAL20061575XCZ","Polylab Zinc Paste BP 25 % w/w","POLYLAB BIOTECH SDN. BHD."
"10","MAL17050019T","NR MAWAR SEGAR PASTE","MISB RESOURCES SDN. BHD."
"11","MAL21036128TC","MEDI MADU 38G PASTE","BEE LAB SDN. BHD."
"12","MAL21076035HX","Dentisept 2 mg/g Adhesive Dental Paste","My Vet Care Sdn Bhd"
"13","MAL22046022ACZ","MEDINAZINE ORAPASTE 0.1%W/W","World Medicare Supplies Sdn Bhd"
"14","MAL21096115TC","Lipasterol Capsule","NUTRICHAMPZ (M) SDN BHD"
"15","MAL23126033HA","IVERPASTE 18.7MG/G ORAL PASTE","RANGE PHARMA SDN. BHD."
"16","MAL24126032XC","Parodontax Daily Fluoride Toothpaste","Haleon Malaysia Sdn. Bhd."
