Registration No / Notification No,Product Name,Holder
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL04030533X,Flavettes Vitamin C with Calcium Time Release 1000mg,Duopharma Marketing Sdn. Bhd.
MAL04080003XZ,Appeton A to Z Kid's Vitamin C 30mg Tablet (Blackcurrant),KOTRA PHARMA (M) SDN. BHD.
MAL04091675XZ,Appeton A To Z Kid's Vitamin C 30mg Tablet (Strawberry),KOTRA PHARMA (M) SDN. BHD.
MAL04103441AZ,Perinace Tablet 4 mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04125482AZ,YSP Ibuprofen Suspension 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125483XZ,Aqua Cream,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125501X,GNC Natural E 400 IU Softgel,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04125504AZ,Zolterol SR Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL04125505AZ,Zolterol SR Tablet 75mg,Duopharma Marketing Sdn. Bhd.
MAL05012310AZ,IMDEX 60MG CR TABLET,Duopharma Marketing Sdn. Bhd.
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL05032522AZ,Promedyl DM Linctus,Duopharma Marketing Sdn. Bhd.
MAL05032527XCR,Decostriol 0.25 mcg capsule,IMEKS PHARMA SDN. BHD.
MAL05032538ACZ,Carin Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032545AZ,Carinox Capsule,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05041842X,AVM-Artrisa 500mg Capsule,AV MANUFACTURING SDN.BHD
MAL05041855ACSZ,Salmax CR Tablet 4mg,Duopharma Marketing Sdn. Bhd.
MAL05041880AZ,Aseptone Syrup 5mg/ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
