PCID Mapping,Package Number,Country,Company,Product Group,Local Product Name,Generic Name,Description,Indication,Pack Size,Effective Start Date,Effective End Date,Currency,Ex Factory Wholesale Price,Ex Factory Wholesale Price Less Rebate,Ex Factory Hospital Price,Ex Factory Hospital Price Less Rebate,Ex Factory to Pharmacy Price,Pharmacy Purchase Price,Pharmacy Purchase Price Less Rebate,Public without VAT Price,Public Without VAT Price Less Rebate,Public with VAT Price,Public With VAT Price Less Rebate,VAT Percent,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,Package Notes,Discontinued,Region,WHO ATC Code,Therapeutic Areas,Presentation,Marketing Authority,Local Pack Description,Formulation,Fill Unit,Fill Size,Pack Unit,Strength,Strength Unit,Brand Type,Import Type,Combination Molecule,Source,LOCAL_PACK_CODE,Unit Price
,,MALAYSIA,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,Aqua Cream,"Paraffin, White Soft Cream",,,500,,,MYR,,,,,,,,27.3,,27.3,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,a bottle of 500gm,,,,,,,,,PRICENTRIC,MAL04125483XZ,0.05
,,MALAYSIA,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,Trenlin SR Tablet 400mg,Pentoxifylline 400mg Tablet,,,100,,,MYR,,,,,,,,251.4,,251.4,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,a pack of 100 tablet,,,,,,,,,PRICENTRIC,MAL05032541AZ,2.51
,,MALAYSIA,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,Omesec Capsule 20mg,Omeprazole 20mg Capsule,,,28,,,MYR,,,,,,,,23.9,,23.9,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,,a pack of 28 capsule,,,,,,,,,PRICENTRIC,MAL05041936AZ,0.85
,,MALAYSIA,N/A,,N/A,No Generic,,,60,,,MYR,,,,,,,,105.0,,105.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,N/A,,pack of 60 tablet,,,,,,,,,PRICENTRIC,MAL05092326TC,1.75
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"AMINOPHYLLIN IV-FRESENIUS 250MG/10ML, INJECTION",Aminophylline Anhydrous 250mg/10ml Injection,,,10,,,MYR,,,,,,,,110.5,,110.5,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 10 vials,,,,,,,,,PRICENTRIC,MAL06051295ARZ,11.05
,,MALAYSIA,GAMAT EMAS SDN BHD,,GESB Liniment Oil,Methyl Salicylate 35;%(w/w); Menthol 10;%(w/w); Camphor 5;%(w/w); Eucalyptus Oil 15;%(w/w) Liniment,,,1,,,MYR,,,,,,,,63.0,,63.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,GAMAT EMAS SDN BHD,,bottle of 150ml,,,,,,,,,PRICENTRIC,MAL06061524XC,63.0
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"Promethazine HCl-Fresenius 50mg/2ml, Injection",Promethazine Hydrochloride 50mg/2ml Injection,,,10,,,MYR,,,,,,,,123.5,,123.5,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 10 vials,,,,,,,,,PRICENTRIC,MAL06061701ARZ,12.35
,,MALAYSIA,N/A,,N/A,Irinotecan Hydrochloride Trihydrate 20mg Injection,,,1,,,MYR,,,,,,,,725.0,,725.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,N/A,,pack of 1 vial,,,,,,,,,PRICENTRIC,MAL06081184AZ,725.0
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Neostigmine Methylsulphate-Fresenius 2.5mg/1ml Injection,Neostigmine Methylsulphate 2.5mg/1ml Injection,,,10,,,MYR,,,,,,,,123.5,,123.5,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 10 vials,,,,,,,,,PRICENTRIC,MAL06081214ARZ,12.35
,,MALAYSIA,WENG THYE HENG SDN. BHD.,,Pishuho Medical Plaster,"Methyl Salicylate 4.36% ; Camphor, Synthetic 2.47% ; Menthol Crystal 10.9%",,,10,,,MYR,,,,,,,,2.6,,2.6,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,WENG THYE HENG SDN. BHD.,,10 sheets x 1 box,,,,,,,,,PRICENTRIC,MAL06111319XC,0.26
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"SMOFLIPID 20% , emulsion for infusion",Refined Olive Oil 50mg/1000ml ; Fish Oil 30g/1000ml ; Soy Bean Oil 60g/1000ml ; Medium Chain Triglycerides 60g/1000ml Emulsion For Infusion,,,10,,,MYR,,,,,,,,150.15,,150.15,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 10 bottle of 500ml,,,,,,,,,PRICENTRIC,MAL07010916AR,15.02
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,FRESOFOL 1% MCT/LCT EMULSION FOR INJECTION OR INFUSION,"Propofol/2,6-Diisopropylphenol 1% Emulsion For Infusion",,,5,,,MYR,,,,,,,,84.5,,84.5,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 5 amp of 20ml,,,,,,,,,PRICENTRIC,MAL07010960ARZ,16.9
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,FRESOFOL 2% MCT/LCT EMULSION FOR INJECTION OR INFUSION,"Propofol/2,6-Diisopropylphenol 2% Emulsion For Infusion",,,10,,,MYR,,,,,,,,845.0,,845.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 10 amp of 50ml,,,,,,,,,PRICENTRIC,MAL07010962ARZ,84.5
,,MALAYSIA,KOTRA PHARMA (M) SDN. BHD.,,Appeton Essentials Fish Oil With Omega-3,Fish Oil 500;mg0 Capsule; Others,,,60,,,MYR,,,,,,,,78.15,,78.15,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KOTRA PHARMA (M) SDN. BHD.,,bottle of 60 capsule,,,,,,,,,PRICENTRIC,MAL07021524XCR,1.3
,,MALAYSIA,KOTRA PHARMA (M) SDN. BHD.,,Appeton Essentials MV21G + Selenium,Ferrous Fumarate 16; Magnesium Oxide. 17.45; Dry Vitamin D3 2.7; Ascorbic Acid (Vitamin C) 75; Vitamin E 22; Selenium Fumarate 27.5; Ginseng Extract (Panax Ginseng). 48; Dry Vitamin A Acetate 7.2; Manganese Sulfate Monohydrate 1.54; Thiamine Mononitrate 2.31; Riboflavin (Vitamin B2) 2.04; Pyridoxine Hydrochloride 2.92; Cyanocobalamin 2.4;mcg;1; Folic Acid 0.24; Tricalcium Phosphate 270.27; Potassium Sulphate. 11.1; Copper Sulphate Pentahydrate 1.77; Potassium Iodide 0.98;mcg;1; Inositol 15; Choline Bitartrate 30; Nicotinamide 19.95; Calcium D-Pantothenate 5.71; Zinc Sulphate Heptahydrate 22; tablet; Coated Film,,,30,,,MYR,,,,,,,,65.35,,65.35,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KOTRA PHARMA (M) SDN. BHD.,,box of 30 tablet,,,,,,,,,PRICENTRIC,MAL07061564X,2.18
,,MALAYSIA,KOTRA PHARMA (M) SDN. BHD.,,Appeton Essentials Teengrow,Multivitamin & Minerals tablet,,,30,,,MYR,,,,,,,,54.5,,54.5,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KOTRA PHARMA (M) SDN. BHD.,,box of 30 tablet,,,,,,,,,PRICENTRIC,MAL07081653X,1.82
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Shine Livscore Capsule,Riboflavin. 4.0mg ; Silymarin 150mg ; Pyridoxine Hydrochloride . 4.0mg ; Nicotinamide 12.0mg ; Calcium Pantothenate 8.0mg ; Thiamine Mononitrate 3.9mg Capsule,,,60,,,MYR,,,,,,,,120.0,,120.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 60 capsule,,,,,,,,,PRICENTRIC,MAL08120878X,2.0
