Registration No,Product Name,Holder
MAL20091871AZ,SII Hepatitis-B Vaccine (rDNA)(Adult)-Single Dose 1ml,SM PHARMACEUTICALS SDN. BHD.
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL09080813T,Appeton Essentials Memotab,KOTRA PHARMA (M) SDN. BHD.
MAL20041268AZ,N/A,N/A
MAL04125501X,GNC Natural E 400 IU Softgel,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL20132309AZ,CLOMETRO 7HP,SM PHARMACEUTICALS SDN. BHD.
MAL19984028AZ,BICAFAR 1G STERILE,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19056129X,E-zyme B6 Troche,AV MANUFACTURING SDN.BHD
MAL19984857XZ,APPETON ESSENTIALS ACTIV-C 250 (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL20034570XZ,Flavettes Vitamin C Orange 500mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL19992203XC,GELIGA AROMA,SYARIKAT MYP SDN. BHD.
MAL08051617XZ,AXPAIN-650 CAPLET,KOTRA PHARMA (M) SDN. BHD.
MAL20013455AZ,SII Diphtheria and Tetanus Vaccine Adsorbed (Pediatric)-10 doses,SM PHARMACEUTICALS SDN. BHD.
MAL06100579AZ,N/A,N/A
MAL10120020ACZ,N/A,N/A
MAL19921172XZ,ARFEN 250 SUPPOSITORIES,KOMEDIC SDN BHD
MAL07021524XCR,Appeton Essentials Fish Oil With Omega-3,KOTRA PHARMA (M) SDN. BHD.
MAL20046133X,Alsoft A Hand Disinfectant 0.2% w/v,Goodmaid Chemicals Corp. Sdn. Bhd.
MAL19993049AZ,INFUSOL RG,AIN MEDICARE SDN. BHD.
MAL19950126XC,GLYCERIN OF THYMOL,TERAPUTICS SDN BHD
MAL17107075ACRZ,MINIRIN Oral Lyophilisate for sublingual 60mcg,Ferring Sdn. Bhd.
MAL13075046N,APPETON MULTIVITAMIN OPTIGROW PLUS,KOTRA PHARMA (M) SDN. BHD.
MAL19986556XC,TIGER & STORK BRAND MEDICATED OIL,WENG HARNG ENTERPRISE
MAL20014355AZ,INFUSOL D30,AIN MEDICARE SDN. BHD.
MAL19920581XS,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20012752XR,CO ENZYME Q10 100MG,21ST CENTURY PRODUCTS SDN. BHD.
MAL20021183X,OK ORANG KAMPUNG MINYAK PALA PLUS,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL19016090ACRZ,Erysaa Prefilled Syringe 4000IU/0.4mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL13035064AZ,SII Tetanus Toxoid Vaccine Adsorbed,SM PHARMACEUTICALS SDN. BHD.
MAL19970681ARZ,VITALIPID N INFANT,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20000381AZ,INFUSOL M20,AIN MEDICARE SDN. BHD.
MAL06100580AZ,N/A,N/A
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,Duopharma Marketing Sdn. Bhd.
MAL20013171XC,21ST CENTURY CHILDREN'S VAPOR BALM,21ST CENTURY PRODUCTS SDN. BHD.
MAL20014330ACZ,AMIOHEXAL 200,IMEKS PHARMA SDN. BHD.
MAL20086021X,Rohto Eye Wash (Distilled Witch Hazel 13%v/v),ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL06061524XC,GESB Liniment Oil,GAMAT EMAS SDN BHD
MAL19987004AZ,VOREN SUPPOSITORIES 12.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL20014361AZ,INFUSOL HSD10,AIN MEDICARE SDN. BHD.
MAL20041269AZ,N/A,N/A
MAL19051007AZ,N/A,N/A
MAL06091374XRS,INTRALIPID 20%,FRESENIUS KABI MALAYSIA SDN. BHD
MAL19912973ACZ,SALOFALK ENEMAS,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20031761ARZ,[TIMEOUT ERROR],
MAL20020795AZ,,SM PHARMACEUTICALS SDN. BHD.
MAL05041947XZ,GNC Folic Acid 800 mcg,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL20020899ARZ,N/A,N/A
MAL19970235XC,UBAT MINYAK GELIGA,SYARIKAT MYP SDN. BHD.
MAL19860041ACZ,N/A,N/A
MAL19912742AZ,PENTASA ENEMA,Ferring Sdn. Bhd.
MAL19900491AZ,ALMIRAL 100MG SUPPOSITORIES,KOMEDIC SDN BHD
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL07010967X,Sebitar Scalp Cleansing Treatment,EGO PHARM MALAYSIA SDN. BHD.
MAL20001834X,SIMCONE,IMEKS PHARMA SDN. BHD.
MAL20034631ACZ,BACTIFLOX-500 LACTAB,MEPHARM (MALAYSIA) SDN. BHD.
MAL20016152XC,Geliga Balm Cap Kris,SYARIKAT MYP SDN. BHD.
MAL15095004N,N/A,N/A
MAL17107026AZ,Shinallerg Eye Drop,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20021157AZ,AXCEL FLEMIN JUNIOR EXPECTORANT,KOTRA PHARMA (M) SDN. BHD.
MAL08061682X,Donna Glucosamine 1500mg Sachet,Duopharma Marketing Sdn. Bhd.
MAL19985560AZ,VOREN SUPPOSITORIES 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19921171XZ,ARFEN 125 SUPPOSITORIES,KOMEDIC SDN BHD
MAL20013492XRZ,VITAMIN C-500 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
MAL19973681AZ,OPTIMOL EYE DROP 0.5%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20013500XZ,APPETON ESSENTIALS ACTIV - C 250 (BLACKCURRANT),KOTRA PHARMA (M) SDN. BHD.
