WHO_ATC_Code,Local_Pack_Description_MK,Local_Pack_Description_EN,Generic_Name,Marketing_Company_MK,Marketing_Company_EN,Pharmacy_Purchase_Price,Effective_Start_Date
J02AA01,ABELCET ?????????? ?? ?????????? ?? ???????? 5 mg/ml 1 ???????? ?????? ? 20 ml + ???? ?? ?????????? ???????? ?? ??????????/??????,ABELCET concentrate for suspension for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,AndersonBrecon (UK) Limited,AndersonBrecon (UK) Limited,6005.24,11.02.2016
J02AA01,ABELCET LIPID COMPLEX ?????????? ?? ?????????? ?? ???????? 5 mg/ml 1 ???????? ?????? ? 20 ml + ???? ?? ?????????? ???????? ?? ??????????/??????,ABELCET LIPID COMPLEX concentrate for dispersion for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,AndersonBrecon (UK) Limited,AndersonBrecon (UK) Limited,,
J02AA01,ABELCET LIPID COMPLEX ?????????? ?? ?????????? ?? ???????? 5 mg/ml 1 ???????? ?????? ? 20 ml + ???? ?? ?????????? ???????? ?? ??????????/??????,ABELCET LIPID COMPLEX concentrate for dispersion for infusion 5 mg/ml 1 glass vial x 20 ml + disposable needle for filtration/box,amphotericin B,"Merckle GmbH, AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V., Millmount Healthcare Limited","Merckle GmbH, AndersonBrecon (UK) Limited, TEVA Pharmaceuticals Europe B.V., Millmount Healthcare Limited",6005.24,25.09.2020
L01CD01,ABRAXANE ?????? ?? ?????????? ?? ???????? 5 mg/ml 1 ?????? ? 100 mg/??????,ABRAXANE powder for suspension for infusion 5 mg/ml 1 vial x 100 mg/box,paclitaxel,Celgene Distribution B.V.,Celgene Distribution B.V.,15005.7,16.03.2020
L01CD01,ABRAXANE ?????? ?? ?????????? ?? ???????? 5 mg/ml 1 ?????? ? 100 mg/??????,ABRAXANE powder for suspension for infusion 5 mg/ml 1 vial x 100 mg/box,paclitaxel,Celgene Distribution B.V.,Celgene Distribution B.V.,14854.42,15.03.2021
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,22400,14.12.2011
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,22075,05.10.2012
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,20003.89,15.10.2013
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,19650.75,14.03.2014
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,17274.5,17.10.2014
