PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,rule_label
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,prote?as de suero de leche,01-01-2026,59000.00,,,,chocolate x 907 g (VL),No-scheme
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,prote?as de suero de leche,01-01-2026,59000.00,,,,strawberry x 907 g (VL),No-scheme
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,prote?as de suero de leche,01-01-2026,59000.00,,,,vanilla x 907 g (VL),No-scheme
,ARGENTINA,Megalabs Argentina,TANVIMIL EBA,vit.e+vit.a+assoc.,06-01-2026,46677.60,PAMI-only,,28006.56,c?s.x 100,PAMI-only-AF-as-Copay
,ARGENTINA,Megalabs Argentina,TANVIMIL EBA,vit.e+vit.a+assoc.,06-01-2026,18171.82,PAMI-only,,10903.09,c?s.x 30,PAMI-only-AF-as-Copay
,ARGENTINA,Megalabs Argentina,TANVIMIL EBA,vit.e+vit.a+assoc.,06-01-2026,31066.30,PAMI-only,,18639.78,c?s.x 60,PAMI-only-AF-as-Copay
,ARGENTINA,Laboratorio Millet,102 FOCUS,magnesium+assoc.,07-01-2026,22851.48,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,07-01-2026,15590.67,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO CITRATO,magnesium citrate,07-01-2026,16539.37,,,,comp. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,07-01-2026,19364.53,,,,gummies x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MUJER,vitamins + minerals,07-01-2026,21178.92,,,,c?s.bl.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,07-01-2026,17612.71,,,,comp.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,07-01-2026,30649.61,,,,comp.x 60 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,07-01-2026,42692.17,,,,comp.x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,07-01-2026,37017.37,,,,over x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,07-01-2026,14761.68,,,,sob.x 15 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,07-01-2026,17675.41,,,,comp.rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,07-01-2026,19831.10,,,,envelopes x 30 (VL),No-scheme
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,29-12-2025,219142.56,IMPORTED,,,150 mg comp.rec.x 60,Imported-fallback
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,29-12-2025,95978.22,IMPORTED,,,sol.x 240 ml,Imported-fallback
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudine+zidovudine,29-12-2025,496962.79,IMPORTED,,,comp.rec.x 60,Imported-fallback
,ARGENTINA,Elea,3 TC + AZT ELEA,lamivudine+zidovudine,09-07-2025,69455.63,,,,comp.x 60,No-scheme
,ARGENTINA,ISA,4 X 4,sildenafil,10-11-2025,5504.00,,,,50 mg comp.rec.x 4,No-scheme
,ARGENTINA,IQUISA,420 CBD BEAUTY,cannabidiol,03-12-2024,23375.00,,,,facial cream x 50 ml (VL),No-scheme
,ARGENTINA,Cassar?,5 FU,fluorouracil,15-12-2025,53000.00,IOMA,16298.15,36701.85,ung.x 20 g,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Dom?nguez,5-ASA 1000,mesalazine,30-12-2025,178508.14,PAMI-only,,60999.77,1 g sachet x 30,PAMI-only-AF-as-Copay
,ARGENTINA,Dom?nguez,5-ASA 1000,mesalazine,30-12-2025,203371.09,,,,1 g sup.x 30,No-scheme
