"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12095096XZ","Gamma Benzene Hexachloride Lotion USP 1% w/v (LICSCAB Lotion)","UNIMED SDN. BHD."
"2","MAL13095084XZ","XORTRIM 2 Cetrimide 2% w/v Lotion","Xorix Sdn Bhd"
"3","MAL14115025XZ","A-LICES LOTION 1%w/w","HOE PHARMACEUTICALS SDN. BHD."
"4","MAL20152471HXE","Natural Pet Skin & Coat Antifungal Lotion","WINWA MEDICAL SDN. BHD."
"5","MAL19940584XCZ","SCABICIDE LOTION","ZONTRON PHARMACEUTICALS SDN. BHD."
"6","MAL19910643XZ","DYNA CALAMINE LOTION","DYNAPHARM (M) SDN. BHD."
"7","MAL19912629XZ","DERMOPLEX CALAMINE LOTION","DUOPHARMA MANUFACTURING (BANGI) SDN. BHD."
"8","MAL19913279XZ","SW CALAMINE LOTION","SUNWARD PHARMACEUTICAL SDN. BHD."
"9","MAL19930003XZ","YELLOW LOTION 0.4%","WINWA MEDICAL SDN. BHD."
"10","MAL19910649XZ","DYNA YELLOW LOTION","DYNAPHARM (M) SDN. BHD."
"11","MAL19912081XZ","Prime's Calamine Lotion","PRIME PHARMACEUTICAL SDN. BHD."
"12","MAL19962576XZ","BETA ANTISEPTIC LOTION","WINWA MEDICAL SDN. BHD."
"13","MAL19970106XZ","THREE LEGS YELLOW LOTION","SYARIKAT WEN KEN DRUG SDN. BHD."
"14","MAL19970699XCZ","POLYLAB ACRIFLAVINE LOTION 0.4%","POLYLAB BIOTECH SDN. BHD."
"15","MAL19970702XCZ","POLYLAB CALAMINE LOTION","POLYLAB BIOTECH SDN. BHD."
"16","MAL20014236XZ","SM CALAMINE LOTION","SM PHARMACEUTICALS SDN. BHD."
"17","MAL07081670XCSZ","POLYLAB ACRIFLAVINE LOTION 0.4%","POLYLAB BIOTECH SDN. BHD."
"18","MAL07082988XCSZ","POLYLAB CALAMINE LOTION","POLYLAB BIOTECH SDN. BHD."
"19","MAL10063023XZ","NW Acriflavine Lotion 0.4%","NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)"
"20","MAL10063021XZ","Kalamine Lotion","ROYCE PHARMA MANUFACTURING SDN. BHD."
"21","MAL10043734XZ","Acrisept Lotion 0.2% w/v","WINWA MEDICAL SDN. BHD."
"22","MAL19940137ACZ","ELOMET LOTION 0.1%","ORGANON MALAYSIA SDN. BHD."
"23","MAL19871195AZ","ORAL AID LOTION","DUOPHARMA MANUFACTURING (BANGI) SDN. BHD."
"24","MAL19930491AZ","SELFIDE LOTION","IMEKS PHARMA SDN. BHD."
"25","MAL20002516AZ","T3 Mycin Lotion","HOE PHARMACEUTICALS SDN. BHD."
"26","MAL20000038AZ","REGRO 5% LOTION","DCH AURIGA (MALAYSIA) SDN. BHD."
"27","MAL20033330AZ","CANDID B LOTION","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"28","MAL20021135AZ","BEPROSALIC LOTION","HOE PHARMACEUTICALS SDN. BHD."
"29","MAL20033679ARZ","Azclear Action Medicated Lotion","EGO PHARM MALAYSIA SDN. BHD."
"30","MAL06051304AZ","Re-liv oral lotion","PRIME PHARMACEUTICAL SDN. BHD."
"31","MAL07031079AZ","SW Minoxidil Lotion 3% w/v","SUNWARD PHARMACEUTICAL SDN. BHD."
"32","MAL07090939AZ","Elosone Lotion 0.1%w/v","HOE PHARMACEUTICALS SDN. BHD."
"33","MAL08061562AZ","METASONE LOTION 0.1% W/V","STERILINE SDN. BHD."
"34","MAL08080406AZ","Dermazol Plus Lotion","WINWA MEDICAL SDN. BHD."
"35","MAL10070557AZ","Ezenide Lotion 0.05% w/w","HOE PHARMACEUTICALS SDN. BHD."
"36","MAL19911149XZ","HOVID CALAMINE LOTION","HOVID BERHAD"
"37","MAL19911148XZ","HOVID CALAMINE LOTION WITH MENTHOL","HOVID BERHAD"
"38","MAL19940184XCZ","FLAVISEPT LOTION 0.1% W/V","TERAPUTICS SDN BHD"
"39","MAL19940186XCZ","KALMINE LOTION","TERAPUTICS SDN BHD"
"40","MAL19900300XCZ","CANDINIL LOTION 1% W/V","ZONTRON PHARMACEUTICALS SDN. BHD."
"41","MAL19940222XC","EUSOL LOTION","TERAPUTICS SDN BHD"
"42","MAL19910545XZ","WILISAN YELLOW LOTION 0.4%","CHONG PARK PHARMACEUTICAL SDN BHD"
"43","MAL19912812XZ","MIFULIN LOTION","WINWA MEDICAL SDN. BHD."
"44","MAL19912831XZ","RIDPED LOTION","WINWA MEDICAL SDN. BHD."
"45","MAL19900303XZ","CANDID LOTION 1%W/V","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"46","MAL19912733XZ","SCABOMA LOTION","Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd."
"47","MAL19900301XZ","CANDAZOLE LOTION 1% W/V","HOE PHARMACEUTICALS SDN. BHD."
"48","MAL19911483XZ","CALA-MY LOTION","HOE PHARMACEUTICALS SDN. BHD."
"49","MAL19910650X","DYNA RINGWORM LOTION","DYNAPHARM (M) SDN. BHD."
"50","MAL19912828XZ","CALAZITE LOTION","WINWA MEDICAL SDN. BHD."
"51","MAL19920356XZ","PRITARAX LOTION 10%","PRIME PHARMACEUTICAL SDN. BHD."
"52","MAL19920352XZ","U-IODIN LOTION 10%W/V","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"53","MAL19962882XZ","OXY 10 LOTION","ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD."
"54","MAL19962881XZ","OXY 5 LOTION","ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD."
"55","MAL07010995X","Wintinea Lotion","WINWA MEDICAL SDN. BHD."
"56","MAL07125186X","Freederm Lotion","WINWA MEDICAL SDN. BHD."
"57","MAL10080071XZ","Crotocort Lotion 10% w/w","SM PHARMACEUTICALS SDN. BHD."
"58","MAL10120051XZ","NW ACRIFLAVINE LOTION 0.1%","NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)"
"59","MAL19962491XZ","REXOM WINA CALAMINE LOTION","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"60","MAL17107047X","Tiger Balm Lotion","TIGER BALM (M) SDN. BHD."
"61","MAL17106056XC","Antiphlamine S Lotion","Eucogen Pharma Sdn. Bhd."
"62","MAL18046129XZ","NW CALAMINE LOTION WITH 0.25%w/w MENTHOL","NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)"
"63","MAL18086094XZ","i-Calamine Lotion","INSPIRAPHARMA SDN. BHD."
"64","MAL18086081T","NABISAR LICE LOTION","CAMBRIDGE BIOTEK SDN BHD"
"65","MAL22126042AZ","Melomet Lotion 0.1% w/w","Y.S.P. INDUSTRIES (M) SDN. BHD."
"66","MAL22026120TC","DS PHARMA MASSAGE LOTION","MRZ HERBAL HEALTHY CARE"
"67","MAL23046044XZ","UniScab Lotion 1% w/v","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"68","MAL24096150TC","NURLIFE SEMAMBU PLUS LOTION","SARI TANI DESA"
"69","MAL24126095TC","MHAM ZINGIBER PLUS LOTION","minyak  herba asma mujarab sdn. bhd"
"70","MAL25056040XZ","Jardin Cetridin 2 Cetrimide 2% w/v Lotion","JARDIN MANUFACTURING SDN. BHD."
"71","MAL25056039XZ","Jardin Cetridin 1 Cetrimide 1% w/v Lotion","JARDIN MANUFACTURING SDN. BHD."
"72","MAL25086029X","COUNTERPAIN ROLL ON TOPICAL LOTION","HOE PHARMACEUTICALS SDN. BHD."
"73","MAL25086035X","Menthomcool Lotion","THE ZYFAS PHARMA SDN. BHD."
"74","MAL25126032XCZ","WeKare Yellow Lotion 0.1%w/v","Wen Ken Marketing (M) Sdn Bhd"
